BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-11-23,LBBLPO,0.0,102.0,102.0,102.0,11000.0,1122000.0
2015-02-10,LBBLPO,0.0,102.0,102.0,102.0,48732.0,4970664.0
2015-04-12,LBBLPO,0.0,102.0,102.0,102.0,15435.0,1574370.0
2015-08-25,LBBLPO,0.0,102.0,102.0,102.0,5000.0,510000.0
2016-11-17,LBBLPO,0.0,115.0,115.0,115.0,4000.0,460000.0
2018-02-06,LBBLPO,0.0,105.0,105.0,105.0,50000.0,5250000.0
2018-03-05,LBBLPO,0.0,105.0,105.0,105.0,11000.0,1155000.0
2018-07-09,LBBLPO,0.0,110.0,110.0,110.0,40000.0,4400000.0
2018-09-30,LBBLPO,0.0,110.0,110.0,110.0,76078.0,8368580.0
2018-12-19,LBBLPO,0.0,115.0,110.0,115.0,71506.0,8223190.0
2019-01-06,LBBLPO,0.0,115.0,115.0,115.0,14000.0,1610000.0
2019-01-10,LBBLPO,0.0,115.0,115.0,115.0,43070.0,4953050.0
2019-02-06,LBBLPO,0.0,115.0,113.0,113.0,6000.0,678000.0
2019-06-20,LBBLPO,0.0,113.0,113.0,113.0,3000.0,339000.0
2019-08-05,LBBLPO,0.0,113.0,113.0,113.0,46000.0,5198000.0
2019-11-21,LBBLPO,0.0,113.0,113.0,113.0,71000.0,8023000.0
2020-01-13,LBBLPO,0.0,113.0,113.0,113.0,149145.0,16853385.0
2020-02-27,LBBLPO,0.0,113.0,113.0,113.0,1000.0,113000.0
2020-08-13,LBBLPO,0.0,106.0,106.0,106.0,39553.0,4192618.0
2021-02-09,LBBLPO,0.0,118.0,110.0,118.0,56152.0,6625736.0
2021-07-15,LBBLPO,324.0,324.0,324.0,324.0,3930.0,1273320.0
2021-07-20,LBBLPO,324.0,324.0,324.0,324.0,25000.0,8100000.0
2021-10-26,LBBLPO,262.0,262.0,262.0,262.0,19070.0,4996340.0
2021-10-27,LBBLPO,262.0,262.0,262.0,262.0,247943.0,64961066.0
2021-11-01,LBBLPO,262.0,262.0,262.0,262.0,247943.0,64961066.0
2021-11-03,LBBLPO,262.0,262.0,262.0,262.0,10522.0,2756764.0
2022-03-15,LBBLPO,248.0,248.0,248.0,248.0,40000.0,9920000.0
2022-04-11,LBBLPO,248.0,248.0,248.0,248.0,12491.0,3097768.0
2022-05-11,LBBLPO,248.0,248.0,248.0,248.0,15000.0,3720000.0
2022-05-18,LBBLPO,248.0,248.0,248.0,248.0,12487.0,3096776.0
2022-06-14,LBBLPO,248.0,248.0,248.0,248.0,9170.0,2274160.0
2022-07-24,LBBLPO,248.0,248.0,248.0,248.0,28626.0,7099248.0
2022-09-22,LBBLPO,248.0,248.0,248.0,248.0,11800.0,2926400.0
2022-12-01,LBBLPO,248.0,248.0,248.0,248.0,11407.0,2828936.0
2022-12-20,LBBLPO,248.0,248.0,248.0,248.0,82000.0,20336000.0
2022-12-21,LBBLPO,248.0,248.0,248.0,248.0,1500.0,372000.0
2023-06-04,LBBLPO,182.0,182.0,182.0,182.0,4800.0,873600.0
