BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-07-15,LFC,0.0,306.0,295.0,306.0,533.0,159033.0
2014-07-16,LFC,0.0,335.0,312.0,334.0,2232.0,729539.0
2014-07-17,LFC,0.0,346.0,322.0,328.0,3902.0,1309704.0
2014-07-20,LFC,0.0,322.0,316.0,316.0,696.0,222714.0
2014-07-22,LFC,0.0,310.0,310.0,310.0,72.0,22320.0
2014-07-24,LFC,0.0,304.0,304.0,304.0,83.0,25232.0
2014-07-27,LFC,0.0,298.0,298.0,298.0,202.0,60196.0
2014-07-28,LFC,0.0,293.0,288.0,288.0,228.0,66304.0
2014-07-30,LFC,0.0,316.0,293.0,316.0,2038.0,634259.0
2014-07-31,LFC,0.0,347.0,322.0,347.0,1293.0,440877.0
2014-08-03,LFC,0.0,354.0,340.0,340.0,4754.0,1648281.0
2014-08-05,LFC,0.0,346.0,340.0,345.0,1303.0,447090.0
2014-08-06,LFC,0.0,346.0,335.0,335.0,9005.0,3054087.0
2014-08-07,LFC,0.0,336.0,319.0,319.0,2454.0,812925.0
2014-08-13,LFC,0.0,320.0,320.0,320.0,55.0,17600.0
2014-08-14,LFC,0.0,321.0,315.0,321.0,1951.0,624884.0
2014-08-18,LFC,0.0,320.0,315.0,320.0,880.0,279270.0
2014-08-19,LFC,0.0,337.0,325.0,337.0,1069.0,352711.0
2014-08-20,LFC,0.0,370.0,337.0,370.0,25506.0,9169747.0
2014-08-21,LFC,0.0,370.0,360.0,362.0,10339.0,3785265.0
2014-08-24,LFC,0.0,376.0,360.0,360.0,7190.0,2644382.0
2014-08-25,LFC,0.0,354.0,346.0,346.0,727.0,255731.0
2014-08-26,LFC,0.0,357.0,348.0,348.0,1782.0,624756.0
2014-08-27,LFC,0.0,364.0,353.0,364.0,6882.0,2469535.0
2014-08-28,LFC,0.0,365.0,353.0,353.0,2233.0,803418.0
2014-08-31,LFC,0.0,350.0,334.0,334.0,2466.0,839790.0
2014-09-10,LFC,0.0,328.0,328.0,328.0,54.0,17712.0
2015-09-10,LFC,0.0,325.0,314.0,314.0,200.0,63950.0
2015-12-06,LFC,0.0,308.0,307.0,307.0,400.0,122850.0
2015-12-13,LFC,0.0,310.0,310.0,310.0,1048.0,324880.0
2016-03-10,LFC,0.0,305.0,304.0,305.0,999.0,304566.0
2016-03-24,LFC,0.0,299.0,294.0,294.0,569.0,167336.0
2016-03-27,LFC,0.0,293.0,293.0,293.0,902.0,264286.0
2016-04-20,LFC,0.0,288.0,288.0,288.0,252.0,72576.0
2016-04-21,LFC,0.0,285.0,260.0,260.0,9836.0,2598799.0
2016-04-24,LFC,0.0,255.0,234.0,234.0,12522.0,2955571.0
2016-04-25,LFC,0.0,170.0,170.0,170.0,96.0,16320.0
2016-07-28,LFC,0.0,257.0,237.0,257.0,1263.0,322191.0
2016-07-31,LFC,0.0,282.0,262.0,282.0,2914.0,818148.0
2016-08-01,LFC,0.0,310.0,287.0,310.0,4137.0,1242492.0
2016-08-02,LFC,0.0,341.0,316.0,341.0,10140.0,3449155.0
2016-08-03,LFC,0.0,374.0,314.0,314.0,13331.0,4469588.0
2016-08-04,LFC,0.0,320.0,305.0,305.0,2380.0,502940.0
2016-08-07,LFC,0.0,317.0,294.0,294.0,1616.0,495580.0
2016-08-08,LFC,0.0,299.0,284.0,284.0,1402.0,408178.0
2016-08-09,LFC,0.0,289.0,289.0,289.0,41.0,11849.0
2016-08-10,LFC,0.0,299.0,282.0,282.0,4079.0,1163563.0
2016-08-11,LFC,0.0,292.0,270.0,270.0,4037.0,1137360.0
2016-08-14,LFC,0.0,270.0,255.0,255.0,435.0,114365.0
2016-08-15,LFC,0.0,252.0,250.0,250.0,600.0,150200.0
2016-08-16,LFC,0.0,265.0,254.0,260.0,2592.0,665980.0
2016-08-17,LFC,0.0,270.0,260.0,270.0,1548.0,409980.0
2016-08-22,LFC,0.0,270.0,265.0,265.0,1050.0,280000.0
2016-08-23,LFC,0.0,260.0,260.0,260.0,158.0,41080.0
2016-08-24,LFC,0.0,260.0,260.0,260.0,300.0,78000.0
2016-08-29,LFC,0.0,265.0,265.0,265.0,500.0,132500.0
2016-09-01,LFC,0.0,270.0,265.0,265.0,135.0,35950.0
2016-09-04,LFC,0.0,275.0,268.0,275.0,1881.0,507538.0
2016-09-05,LFC,0.0,275.0,266.0,266.0,1795.0,483993.0
2016-09-06,LFC,0.0,285.0,270.0,280.0,2647.0,731122.0
2016-09-07,LFC,0.0,280.0,275.0,275.0,1661.0,459045.0
2016-09-08,LFC,0.0,275.0,265.0,265.0,1014.0,273280.0
2016-09-11,LFC,0.0,275.0,270.0,270.0,1030.0,278150.0
2016-09-12,LFC,0.0,287.0,270.0,287.0,1065.0,296720.0
2016-09-14,LFC,0.0,297.0,280.0,280.0,1000.0,288500.0
2016-09-18,LFC,0.0,285.0,275.0,275.0,1401.0,392285.0
2016-09-20,LFC,0.0,270.0,270.0,270.0,400.0,108000.0
2016-09-21,LFC,0.0,280.0,275.0,280.0,150.0,41500.0
2016-09-26,LFC,0.0,275.0,271.0,275.0,1893.0,515775.0
2016-09-27,LFC,0.0,270.0,270.0,270.0,150.0,40500.0
2016-09-28,LFC,0.0,265.0,265.0,265.0,233.0,61745.0
2016-09-29,LFC,0.0,263.0,263.0,263.0,248.0,65224.0
2016-10-03,LFC,0.0,260.0,255.0,255.0,1100.0,281000.0
2016-10-05,LFC,0.0,260.0,255.0,255.0,700.0,181000.0
2016-10-06,LFC,0.0,250.0,246.0,250.0,900.0,224680.0
2016-10-23,LFC,0.0,245.0,245.0,245.0,50.0,12250.0
2016-10-24,LFC,0.0,241.0,229.0,229.0,1676.0,393948.0
