BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-07-28,LGILPO,0.0,228.0,227.0,227.0,28542.0,6493305.0
2020-07-27,LGILPO,0.0,266.0,261.0,261.0,112197.0,29294402.0
2020-07-30,LGILPO,0.0,256.0,256.0,256.0,22441.0,5744896.0
2020-11-26,LGILPO,0.0,331.0,331.0,331.0,79050.0,26165550.0
2020-11-29,LGILPO,0.0,331.0,331.0,331.0,104724.0,34663644.0
2020-11-30,LGILPO,0.0,331.0,331.0,331.0,89185.0,29520235.0
2020-12-01,LGILPO,0.0,331.0,331.0,331.0,72709.0,24066679.0
2020-12-16,LGILPO,0.0,331.0,331.0,331.0,114843.0,38013033.0
2020-12-30,LGILPO,0.0,331.0,331.0,331.0,68916.0,22811196.0
2021-01-03,LGILPO,0.0,331.0,331.0,331.0,25906.0,8574886.0
2021-01-05,LGILPO,0.0,331.0,331.0,331.0,12460.0,4124260.0
2021-01-27,LGILPO,0.0,331.0,331.0,331.0,79050.0,26165550.0
2021-03-07,LGILPO,0.0,331.0,331.0,331.0,26355.0,8723505.0
