BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-10-14,LLBS,0.0,307.0,307.0,307.0,41.0,12587.0
2014-10-27,LLBS,0.0,337.0,313.0,337.0,320.0,107240.0
2014-11-02,LLBS,0.0,353.0,353.0,353.0,20.0,7060.0
2014-11-03,LLBS,0.0,367.0,360.0,367.0,30.0,10940.0
2014-11-11,LLBS,0.0,395.0,374.0,395.0,40.0,15380.0
2014-11-17,LLBS,0.0,405.0,405.0,405.0,10.0,4050.0
2014-11-18,LLBS,0.0,445.0,413.0,445.0,163.0,71735.0
2014-11-19,LLBS,0.0,489.0,453.0,489.0,51.0,24039.0
2014-11-20,LLBS,0.0,527.0,498.0,527.0,120.0,61450.0
2014-11-23,LLBS,0.0,579.0,537.0,579.0,51.0,28417.0
2014-11-24,LLBS,0.0,636.0,590.0,636.0,152.0,94437.0
2014-11-25,LLBS,0.0,699.0,648.0,699.0,3404.0,2377820.0
2014-11-30,LLBS,0.0,730.0,638.0,659.0,8526.0,5669045.0
2014-12-01,LLBS,0.0,654.0,618.0,623.0,3619.0,2253085.0
2014-12-02,LLBS,0.0,620.0,593.0,596.0,1721.0,1030375.0
2014-12-03,LLBS,0.0,600.0,585.0,585.0,1176.0,700063.0
2014-12-04,LLBS,0.0,607.0,589.0,590.0,938.0,557270.0
2014-12-07,LLBS,0.0,600.0,585.0,600.0,639.0,380230.0
2014-12-08,LLBS,0.0,610.0,580.0,581.0,672.0,397448.0
2014-12-09,LLBS,0.0,585.0,566.0,580.0,718.0,410417.0
2014-12-10,LLBS,0.0,595.0,578.0,580.0,1625.0,951268.0
2014-12-11,LLBS,0.0,590.0,578.0,590.0,824.0,479980.0
2014-12-14,LLBS,0.0,624.0,598.0,615.0,1044.0,636605.0
2014-12-15,LLBS,0.0,620.0,600.0,620.0,913.0,558171.0
2014-12-16,LLBS,0.0,620.0,582.0,598.0,567.0,340682.0
2014-12-17,LLBS,0.0,620.0,595.0,600.0,1116.0,675531.0
2014-12-18,LLBS,0.0,600.0,581.0,600.0,154.0,91520.0
2014-12-21,LLBS,0.0,608.0,589.0,608.0,605.0,359180.0
2014-12-22,LLBS,0.0,611.0,588.0,590.0,478.0,285394.0
2014-12-23,LLBS,0.0,589.0,570.0,575.0,1667.0,961563.0
2014-12-24,LLBS,0.0,580.0,570.0,580.0,1124.0,647990.0
2014-12-28,LLBS,0.0,601.0,572.0,600.0,1836.0,1084095.0
2014-12-29,LLBS,0.0,600.0,590.0,591.0,414.0,244900.0
2014-12-31,LLBS,0.0,639.0,600.0,639.0,3374.0,2059966.0
2015-01-01,LLBS,0.0,685.0,628.0,669.0,2297.0,1511048.0
2015-01-04,LLBS,0.0,700.0,656.0,698.0,2597.0,1762423.0
2015-01-05,LLBS,0.0,728.0,680.0,717.0,3742.0,2657427.0
2015-01-06,LLBS,0.0,726.0,706.0,720.0,3056.0,2189534.0
2015-01-07,LLBS,0.0,769.0,692.0,769.0,4161.0,3122135.0
2015-01-08,LLBS,0.0,845.0,760.0,845.0,3941.0,3252901.0
2015-01-11,LLBS,0.0,920.0,776.0,851.0,3515.0,2988825.0
2015-01-12,LLBS,0.0,850.0,790.0,818.0,4090.0,3323460.0
2015-01-13,LLBS,0.0,840.0,801.0,840.0,1141.0,925589.0
2015-01-14,LLBS,0.0,855.0,820.0,823.0,1433.0,1198089.0
2015-01-18,LLBS,0.0,810.0,790.0,806.0,1064.0,850324.0
2015-01-19,LLBS,0.0,838.0,795.0,795.0,996.0,809804.0
2015-01-20,LLBS,0.0,816.0,776.0,791.0,466.0,371820.0
2015-01-22,LLBS,0.0,790.0,775.0,775.0,987.0,771764.0
2015-01-25,LLBS,0.0,805.0,760.0,800.0,501.0,394470.0
2015-01-26,LLBS,0.0,816.0,795.0,801.0,1924.0,1542341.0
2015-01-27,LLBS,0.0,803.0,791.0,800.0,656.0,524863.0
2015-01-28,LLBS,0.0,805.0,800.0,801.0,719.0,576347.0
2015-01-29,LLBS,0.0,805.0,799.0,799.0,375.0,300267.0
2015-02-01,LLBS,0.0,790.0,787.0,790.0,246.0,194256.0
2015-02-02,LLBS,0.0,800.0,790.0,800.0,1883.0,1503859.0
2015-02-03,LLBS,0.0,823.0,802.0,817.0,989.0,805035.0
2015-02-04,LLBS,0.0,865.0,812.0,860.0,1802.0,1492513.0
2015-02-05,LLBS,0.0,860.0,829.0,851.0,555.0,467871.0
2015-02-08,LLBS,0.0,835.0,819.0,825.0,562.0,464141.0
2015-02-09,LLBS,0.0,830.0,816.0,830.0,454.0,373252.0
2015-02-10,LLBS,0.0,835.0,822.0,835.0,1278.0,1057840.0
2015-02-11,LLBS,0.0,844.0,825.0,830.0,1091.0,905253.0
2015-02-12,LLBS,0.0,838.0,826.0,838.0,689.0,574730.0
2015-02-15,LLBS,0.0,897.0,840.0,897.0,2738.0,2374377.0
2015-02-16,LLBS,0.0,969.0,900.0,945.0,1621.0,1512573.0
2015-02-18,LLBS,0.0,950.0,912.0,945.0,5379.0,5017120.0
2015-02-22,LLBS,0.0,963.0,880.0,897.0,352.0,319432.0
2015-02-23,LLBS,0.0,950.0,864.0,950.0,2947.0,2630250.0
2015-02-24,LLBS,0.0,1041.0,882.0,1041.0,3661.0,3419453.0
2015-02-25,LLBS,0.0,1021.0,950.0,985.0,7160.0,7022044.0
2015-02-26,LLBS,0.0,1004.0,975.0,995.0,727.0,722478.0
2015-03-01,LLBS,0.0,988.0,945.0,988.0,175.0,167234.0
2015-03-02,LLBS,0.0,995.0,940.0,970.0,4138.0,4041705.0
2015-03-03,LLBS,0.0,988.0,960.0,960.0,2318.0,2238568.0
2015-03-04,LLBS,0.0,973.0,951.0,953.0,840.0,804449.0
2015-03-09,LLBS,0.0,981.0,966.0,966.0,447.0,434728.0
2015-03-10,LLBS,0.0,966.0,922.0,940.0,171.0,161952.0
2015-03-11,LLBS,0.0,945.0,924.0,942.0,485.0,452224.0
2015-03-12,LLBS,0.0,933.0,915.0,925.0,464.0,430283.0
2015-03-15,LLBS,0.0,935.0,908.0,925.0,942.0,870046.0
2015-03-16,LLBS,0.0,930.0,880.0,880.0,350.0,313500.0
2015-03-17,LLBS,0.0,911.0,895.0,909.0,1003.0,905935.0
2015-03-18,LLBS,0.0,910.0,886.0,910.0,411.0,370162.0
2015-03-19,LLBS,0.0,909.0,900.0,909.0,112.0,100890.0
2015-03-22,LLBS,0.0,910.0,890.0,895.0,160.0,143070.0
2015-03-23,LLBS,0.0,900.0,880.0,885.0,594.0,527120.0
2015-03-24,LLBS,0.0,885.0,846.0,875.0,949.0,829315.0
2015-03-25,LLBS,0.0,866.0,845.0,860.0,1162.0,993576.0
2015-03-26,LLBS,0.0,860.0,840.0,850.0,2077.0,1761588.0
2015-03-29,LLBS,0.0,860.0,855.0,860.0,332.0,285320.0
2015-03-30,LLBS,0.0,870.0,858.0,870.0,530.0,459139.0
2015-03-31,LLBS,0.0,880.0,827.0,878.0,502.0,432720.0
2015-04-01,LLBS,0.0,877.0,855.0,860.0,377.0,325964.0
2015-04-02,LLBS,0.0,848.0,827.0,848.0,104.0,86850.0
2015-04-05,LLBS,0.0,833.0,832.0,832.0,123.0,102418.0
2015-04-06,LLBS,0.0,845.0,825.0,845.0,134.0,111788.0
2015-04-07,LLBS,0.0,831.0,831.0,831.0,41.0,34071.0
2015-04-08,LLBS,0.0,870.0,830.0,850.0,950.0,811972.0
2015-04-09,LLBS,0.0,867.0,843.0,860.0,385.0,331300.0
2015-04-12,LLBS,0.0,876.0,846.0,865.0,435.0,374668.0
2015-04-13,LLBS,0.0,872.0,850.0,872.0,438.0,374775.0
2015-04-15,LLBS,0.0,855.0,840.0,841.0,732.0,616780.0
2015-04-16,LLBS,0.0,850.0,840.0,850.0,406.0,343082.0
2015-04-19,LLBS,0.0,833.0,831.0,833.0,67.0,55781.0
2015-04-21,LLBS,0.0,850.0,835.0,845.0,413.0,348285.0
2015-04-22,LLBS,0.0,855.0,835.0,852.0,372.0,316313.0
2015-04-23,LLBS,0.0,852.0,840.0,843.0,568.0,480908.0
2015-06-02,LLBS,0.0,827.0,760.0,760.0,232.0,180429.0
2015-06-03,LLBS,0.0,806.0,750.0,806.0,1434.0,1103158.0
2015-06-04,LLBS,0.0,827.0,812.0,812.0,283.0,233085.0
2015-06-07,LLBS,0.0,835.0,815.0,835.0,53.0,43963.0
2015-06-08,LLBS,0.0,851.0,825.0,826.0,547.0,455612.0
2015-06-09,LLBS,0.0,835.0,829.0,829.0,40.0,33340.0
2015-06-10,LLBS,0.0,821.0,789.0,804.0,1523.0,1214027.0
2015-06-11,LLBS,0.0,804.0,789.0,795.0,80.0,63600.0
2015-06-14,LLBS,0.0,795.0,781.0,790.0,334.0,263737.0
2015-06-15,LLBS,0.0,794.0,766.0,792.0,1976.0,1529281.0
2015-06-16,LLBS,0.0,792.0,777.0,777.0,119.0,92787.0
2015-06-17,LLBS,0.0,792.0,763.0,792.0,213.0,167516.0
2015-06-18,LLBS,0.0,807.0,807.0,807.0,10.0,8070.0
2015-06-22,LLBS,0.0,791.0,766.0,780.0,488.0,377162.0
2015-06-23,LLBS,0.0,780.0,780.0,780.0,22.0,17160.0
2015-06-24,LLBS,0.0,780.0,772.0,774.0,110.0,85180.0
