BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-09-21,LVF2,10.0,10.0,9.99,10.0,500,4997.0
2023-09-26,LVF2,9.81,9.81,9.62,9.62,200,1943.0
2023-09-27,LVF2,9.43,9.43,8.65,8.65,5775,50188.75
2023-10-01,LVF2,8.48,8.48,7.86,7.94,9040,72177.5
2023-10-02,LVF2,7.9,8.05,7.66,7.86,7000,55049.0
2023-10-03,LVF2,7.71,7.73,7.56,7.62,5600,42599.0
2023-10-04,LVF2,7.47,7.74,7.36,7.64,4225,32023.75
2023-10-05,LVF2,7.49,7.65,7.36,7.55,4070,30683.25
2023-10-08,LVF2,7.45,7.62,7.42,7.53,5360,40227.0
2023-10-09,LVF2,7.53,7.79,7.53,7.79,1800,13790.0
2023-10-10,LVF2,7.64,7.85,7.64,7.85,2050,16011.5
2023-10-11,LVF2,7.85,7.86,7.7,7.7,4450,34718.75
2023-10-12,LVF2,7.61,7.75,7.61,7.71,2500,19266.0
2023-10-16,LVF2,7.56,7.85,7.56,7.7,3200,24593.5
2023-10-17,LVF2,7.69,7.69,7.61,7.61,4575,35109.75
2023-10-18,LVF2,7.55,7.76,7.55,7.61,1925,14779.75
2023-10-19,LVF2,7.46,7.66,7.46,7.65,1700,12807.0
2023-10-29,LVF2,7.52,7.65,7.41,7.5,2200,16471.0
2023-10-30,LVF2,7.35,7.54,7.3,7.51,2300,17075.25
2023-10-31,LVF2,7.4,7.67,7.4,7.67,2100,15734.0
2023-11-01,LVF2,7.52,7.67,7.52,7.67,2200,16619.0
2023-11-02,LVF2,7.52,7.52,7.45,7.46,500,3734.0
2023-11-05,LVF2,7.33,7.33,7.23,7.33,1600,11698.0
2023-11-06,LVF2,7.21,7.33,7.12,7.22,2915,21075.75
2023-11-07,LVF2,7.13,7.33,7.13,7.23,1160,8401.6
2023-11-08,LVF2,7.15,7.28,7.15,7.27,1400,10153.0
2023-11-09,LVF2,7.2,7.23,7.09,7.23,500,3588.0
2023-11-20,LVF2,7.11,7.3,7.11,7.3,700,5086.0
2023-11-21,LVF2,7.17,7.3,7.17,7.3,525,3790.25
2023-11-22,LVF2,7.3,7.37,7.19,7.37,3800,27604.0
2023-11-23,LVF2,7.25,7.51,7.25,7.51,2150,15726.0
2023-11-26,LVF2,7.36,7.54,7.36,7.4,2400,17748.0
2023-11-27,LVF2,7.3,7.38,7.3,7.38,1950,14340.0
2023-11-28,LVF2,7.38,7.38,7.3,7.34,1000,7333.0
2023-11-29,LVF2,7.33,7.5,7.33,7.39,885,6547.5
2023-11-30,LVF2,7.39,7.65,7.32,7.65,5700,42906.0
2023-12-03,LVF2,7.51,7.6,7.5,7.5,10400,78030.0
2023-12-04,LVF2,7.6,7.7,7.4,7.7,2700,20607.0
2023-12-05,LVF2,7.56,7.69,7.56,7.63,1700,12924.0
2023-12-06,LVF2,7.6,7.62,7.45,7.48,4100,30844.0
2023-12-07,LVF2,7.35,7.51,7.35,7.48,1700,12597.0
2023-12-11,LVF2,7.45,7.67,7.45,7.54,2180,16378.2
2023-12-12,LVF2,7.55,7.72,7.55,7.72,2100,15967.0
2023-12-13,LVF2,7.63,7.83,7.63,7.83,2350,18188.5
2023-12-14,LVF2,7.72,7.78,7.72,7.78,2900,22463.0
2023-12-17,LVF2,7.78,7.99,7.78,7.86,3300,25920.0
2023-12-18,LVF2,7.8,8.3,7.8,8.14,9835,80283.0
2023-12-19,LVF2,7.98,8.1,7.98,8.03,800,6417.0
2023-12-20,LVF2,7.93,8.16,7.93,8.03,4760,38121.0
2023-12-21,LVF2,7.92,8.07,7.92,7.95,2950,23583.5
2023-12-24,LVF2,7.95,8.16,7.94,8.16,5620,45263.2
2023-12-27,LVF2,8.16,8.43,8.0,8.17,4300,35186.0
2023-12-28,LVF2,8.1,8.26,8.1,8.25,3650,30017.0
2024-01-01,LVF2,8.1,8.12,8.1,8.12,2590,21004.0
2024-01-02,LVF2,8.07,8.22,8.06,8.06,3180,25786.6
2024-01-03,LVF2,7.9,8.15,7.9,8.02,3300,26319.0
2024-01-04,LVF2,7.9,8.18,7.9,8.18,4520,36515.6
2024-01-07,LVF2,8.18,8.35,8.03,8.35,6215,50664.7
2024-01-08,LVF2,8.19,8.65,8.03,8.5,14975,125391.75
2024-01-09,LVF2,8.33,8.4,8.21,8.4,3400,28520.0
2024-01-10,LVF2,8.24,8.56,8.24,8.32,2300,19293.0
2024-01-11,LVF2,8.32,8.48,8.32,8.36,2850,23868.0
2024-01-14,LVF2,8.2,8.46,8.2,8.46,2565,21415.5
2024-01-16,LVF2,8.3,8.3,8.04,8.3,3500,28743.0
2024-01-17,LVF2,8.14,8.4,8.14,8.4,3600,29882.0
2024-01-18,LVF2,8.24,8.28,8.24,8.28,4505,37212.2
2024-01-21,LVF2,8.12,8.28,7.96,8.15,3200,26039.0
2024-01-22,LVF2,7.99,8.21,7.99,8.2,3300,26921.0
2024-01-23,LVF2,8.21,8.21,7.88,8.04,3700,29781.0
2024-01-24,LVF2,7.9,8.26,7.9,8.1,2450,19797.0
2024-01-25,LVF2,8.0,8.42,7.95,8.29,25358,211098.36
2024-01-28,LVF2,8.13,8.14,7.84,8.14,2500,19946.0
