BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-10-11,MANDU,373.2,410.5,373.2,410.5,120801,48090816.0
2023-10-12,MANDU,418.7,451.5,402.0,440.1,53234,23483653.8
2023-10-16,MANDU,431.3,431.3,396.1,407.5,71195,29079421.2
2023-10-17,MANDU,407.5,432.0,407.5,429.6,40342,16847598.0
2023-10-18,MANDU,425.0,460.0,416.5,450.1,24712,10898431.5
2023-10-19,MANDU,450.1,457.0,441.1,446.8,32579,14556051.8
2023-10-29,MANDU,437.9,437.9,421.1,431.5,22589,9657425.2
2023-10-30,MANDU,423.1,454.0,423.1,441.5,20413,8885208.3
2023-10-31,MANDU,440.0,445.2,433.1,442.0,10300,4511765.0
2023-11-01,MANDU,435.0,448.8,435.0,438.0,12368,5426794.0
2023-11-02,MANDU,431.0,436.0,431.0,434.0,9660,4194772.0
2023-11-05,MANDU,435.0,435.0,415.0,424.8,16710,7017474.4
2023-11-06,MANDU,420.0,439.0,417.6,427.0,12244,5233875.9
2023-11-07,MANDU,420.1,445.0,420.1,431.1,14060,6165817.0
2023-11-08,MANDU,439.5,468.0,439.0,460.0,36200,16571840.0
2023-11-09,MANDU,463.0,465.0,446.7,452.0,17631,8018540.0
2023-11-20,MANDU,445.0,474.0,443.0,462.0,26462,12207292.2
2023-11-21,MANDU,459.0,464.8,446.0,462.0,15340,6996732.7
2023-11-22,MANDU,452.9,492.0,452.9,484.5,21333,9953339.4
2023-11-23,MANDU,475.0,520.0,471.0,515.0,24561,12305952.5
2023-11-26,MANDU,510.0,534.0,501.0,531.0,28973,15107771.6
2023-11-27,MANDU,520.4,530.0,497.1,515.2,54021,27764784.7
2023-11-28,MANDU,505.0,525.0,504.9,514.0,18057,9309471.0
2023-11-29,MANDU,514.0,545.0,503.9,523.0,16010,8342634.0
2023-11-30,MANDU,533.4,533.4,499.8,501.2,22157,11218077.0
2023-12-03,MANDU,500.0,508.0,492.0,500.0,12907,6437275.4
2023-12-04,MANDU,495.0,515.0,493.0,506.0,17551,8895253.1
2023-12-05,MANDU,500.0,510.0,485.2,486.0,29374,14553289.7
2023-12-06,MANDU,495.0,504.0,481.0,485.0,15690,7666260.8
2023-12-07,MANDU,475.3,512.0,475.3,507.0,31801,15851777.9
2023-12-10,MANDU,510.0,530.0,510.0,516.0,4610,2430538.5
2023-12-11,MANDU,526.0,536.5,506.0,513.5,39771,20490736.9
2023-12-12,MANDU,510.0,535.3,506.0,529.5,57697,30193318.0
2023-12-13,MANDU,539.0,573.0,522.0,554.1,48659,27046929.9
2023-12-14,MANDU,544.0,575.2,544.0,555.0,19222,10768815.0
2023-12-17,MANDU,544.0,575.0,534.0,575.0,25631,14566786.3
2023-12-18,MANDU,570.0,579.0,550.0,553.0,46249,25957554.1
2023-12-19,MANDU,550.1,572.0,545.0,568.9,37834,21154288.0
2023-12-20,MANDU,580.2,605.0,563.0,592.0,53369,31367076.9
2023-12-21,MANDU,581.0,651.2,581.0,651.0,71420,44760450.4
2023-12-24,MANDU,655.0,716.1,642.1,687.0,69213,47475785.4
2023-12-27,MANDU,700.7,701.0,661.2,685.0,53036,35696529.4
2023-12-28,MANDU,685.0,707.0,666.2,704.9,54518,37674327.8
2024-01-01,MANDU,704.9,747.6,686.0,701.0,40322,28255946.5
2024-01-02,MANDU,687.0,707.8,670.1,707.8,71934,48872704.9
2024-01-03,MANDU,695.0,720.1,673.0,720.1,35844,25145732.5
2024-01-04,MANDU,720.0,775.0,706.0,775.0,76502,56025818.0
2024-01-07,MANDU,782.0,805.8,745.0,795.6,46744,36313478.3
2024-01-08,MANDU,779.7,786.4,762.3,777.0,39975,30917618.5
2024-01-09,MANDU,782.0,782.0,736.0,736.0,77066,58045526.0
2024-01-10,MANDU,722.0,752.0,715.0,728.4,26029,18991447.2
2024-01-11,MANDU,728.4,742.9,707.0,721.0,29185,20831407.0
2024-01-14,MANDU,715.0,746.0,715.0,736.0,25615,18587989.0
2024-01-16,MANDU,746.0,759.9,721.7,750.0,31796,23446845.9
2024-01-17,MANDU,765.0,765.0,719.1,736.0,27012,19914033.0
2024-01-18,MANDU,722.0,729.0,708.0,715.0,20185,14489378.0
2024-01-21,MANDU,722.0,749.9,709.0,709.4,13505,9648867.5
2024-01-22,MANDU,700.1,720.0,690.1,710.0,14210,9968818.6
2024-01-23,MANDU,696.0,722.0,689.0,700.0,13159,9215198.4
2024-01-24,MANDU,687.1,714.0,685.0,700.0,20819,14408684.4
2024-01-25,MANDU,686.0,699.0,680.0,699.0,13068,9007925.0
2024-01-28,MANDU,700.0,710.0,683.0,701.0,8004,5552104.0
