BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-03-27,MBLPO,0.0,100.0,100.0,100.0,170493.0,17049300.0
2012-05-21,MBLPO,0.0,100.0,100.0,100.0,99000.0,9900000.0
2012-10-11,MBLPO,0.0,100.0,100.0,100.0,1093616.0,109361600.0
2012-11-11,MBLPO,0.0,90.0,70.0,70.0,261142.0,19420560.0
2013-01-17,MBLPO,0.0,98.0,98.0,98.0,133812.0,13113576.0
2013-02-20,MBLPO,0.0,97.0,90.0,90.0,221384.0,21353337.0
2013-03-05,MBLPO,0.0,97.0,97.0,97.0,10066.0,976402.0
2013-06-18,MBLPO,0.0,96.0,96.0,96.0,97729.0,9381984.0
2013-07-07,MBLPO,0.0,95.0,95.0,95.0,236717.0,22488115.0
2013-08-15,MBLPO,0.0,95.0,95.0,95.0,38333.0,3641635.0
2013-09-15,MBLPO,0.0,94.0,94.0,94.0,10028.0,942632.0
2013-12-09,MBLPO,0.0,92.0,92.0,92.0,32778.0,3015576.0
2014-08-31,MBLPO,0.0,92.0,92.0,92.0,65809.0,6054428.0
2014-09-28,MBLPO,0.0,98.0,96.0,98.0,37040.0,3615160.0
2014-10-13,MBLPO,0.0,99.0,99.0,99.0,3061.0,303039.0
2014-10-14,MBLPO,0.0,99.0,99.0,99.0,25341.0,2508759.0
2014-10-28,MBLPO,0.0,100.0,100.0,100.0,3061.0,306100.0
2014-11-02,MBLPO,0.0,102.0,102.0,102.0,25341.0,2584782.0
2014-11-03,MBLPO,0.0,104.0,104.0,104.0,8615.0,895960.0
2015-07-13,MBLPO,0.0,282.0,282.0,282.0,2223.0,626886.0
2015-09-15,MBLPO,0.0,287.0,287.0,287.0,38106.0,10936422.0
2016-12-12,MBLPO,0.0,285.0,285.0,285.0,260.0,74100.0
2017-03-19,MBLPO,0.0,285.0,285.0,285.0,13151.0,3748035.0
2017-10-11,MBLPO,0.0,285.0,285.0,285.0,49729.0,14172765.0
2018-10-24,MBLPO,0.0,130.0,130.0,130.0,10246.0,1331980.0
2018-11-04,MBLPO,0.0,130.0,130.0,130.0,1274186.0,165644180.0
2018-12-06,MBLPO,0.0,130.0,130.0,130.0,128881.0,16754530.0
2018-12-13,MBLPO,0.0,130.0,130.0,130.0,156701.0,20371130.0
2018-12-16,MBLPO,0.0,130.0,130.0,130.0,6085.0,791050.0
2018-12-17,MBLPO,0.0,130.0,130.0,130.0,21373.0,1581602.0
2019-01-16,MBLPO,0.0,130.0,130.0,130.0,299966.0,34076137.6
2019-02-03,MBLPO,0.0,130.0,130.0,130.0,522055.0,59305448.0
2019-03-14,MBLPO,0.0,130.0,130.0,130.0,6505.0,845650.0
2019-06-12,MBLPO,0.0,148.0,148.0,148.0,5211.0,771228.0
2019-06-25,MBLPO,0.0,148.0,148.0,148.0,10077.0,1491396.0
2020-09-09,MBLPO,0.0,148.0,148.0,120.0,32578.0,3909360.0
2021-02-18,MBLPO,0.0,120.0,120.0,120.0,20000.0,2400000.0
2021-04-21,MBLPO,0.0,250.0,250.0,250.0,2561.0,640250.0
2021-08-01,MBLPO,250.0,250.0,250.0,250.0,288726.0,72181500.0
2022-04-24,MBLPO,151.0,151.0,151.0,151.0,5451.0,823101.0
2022-07-26,MBLPO,136.0,136.0,136.0,136.0,164131.0,22321816.0
2023-05-10,MBLPO,136.0,136.0,136.0,136.0,83532.0,9188520.0
