BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-04-13,MHCL,141.0,155.1,141.0,155.1,460,67122.5
2023-04-16,MHCL,158.2,170.6,158.2,170.6,490,83129.0
2023-04-17,MHCL,174.0,187.6,174.0,187.6,313,58306.0
2023-04-18,MHCL,186.0,206.3,186.0,206.3,10126,2088122.1
2023-04-20,MHCL,231.4,249.5,231.4,249.5,1839,458050.2
2023-04-23,MHCL,254.4,274.4,239.8,254.0,120512,31195003.2
2023-04-24,MHCL,259.0,259.0,235.5,239.0,52538,12652746.9
2023-04-25,MHCL,235.0,251.7,235.0,246.0,20790,4997754.5
2023-04-26,MHCL,241.3,251.5,237.0,250.0,17748,4373886.4
2023-04-27,MHCL,246.0,246.5,241.5,242.8,14715,3583453.9
2023-04-30,MHCL,238.3,241.0,230.0,232.0,23631,5546600.2
2023-05-02,MHCL,232.0,234.6,222.3,225.0,14972,3376360.9
2023-05-03,MHCL,225.0,225.0,218.0,220.0,8519,1874551.6
2023-05-04,MHCL,217.0,229.5,217.0,227.9,8573,1912897.2
2023-05-07,MHCL,232.4,232.4,216.5,219.0,8520,1875068.9
2023-05-08,MHCL,214.8,220.0,212.0,213.5,14386,3076228.0
2023-05-09,MHCL,212.0,224.0,211.0,216.0,8320,1802114.5
2023-05-10,MHCL,220.0,220.0,214.1,218.0,4895,1056314.0
2023-05-11,MHCL,222.3,235.0,213.0,216.0,5733,1231192.8
2023-05-14,MHCL,220.0,220.0,209.2,210.9,7205,1523539.5
2023-05-15,MHCL,207.0,212.0,206.0,210.0,17348,3618753.3
2023-05-16,MHCL,205.8,213.0,205.8,210.0,5545,1163217.7
2023-05-17,MHCL,206.0,215.0,206.0,213.9,8941,1893101.0
2023-05-18,MHCL,212.5,228.9,210.5,224.0,28558,6365748.1
2023-05-21,MHCL,227.9,232.0,217.8,220.1,24657,5459296.4
2023-05-22,MHCL,215.7,225.0,212.1,222.0,12147,2683724.1
2023-05-23,MHCL,218.0,234.1,218.0,234.1,37997,8669041.2
2023-05-24,MHCL,235.0,236.0,226.4,230.0,13414,3091280.0
2023-05-28,MHCL,230.0,234.0,225.0,225.4,33586,7719546.1
2023-05-30,MHCL,221.1,223.3,213.0,215.3,13389,2907774.0
2023-05-31,MHCL,212.0,218.0,209.0,210.0,17134,3644680.4
2023-06-01,MHCL,210.1,217.5,209.0,217.0,9983,2129507.4
2023-06-04,MHCL,213.0,228.0,211.0,225.0,16071,3574412.3
2023-06-05,MHCL,220.7,229.5,217.0,219.0,7931,1766711.1
2023-06-06,MHCL,215.4,228.0,215.4,226.0,12875,2866198.4
2023-06-07,MHCL,230.0,240.7,226.0,236.0,50252,11863303.6
2023-06-08,MHCL,231.5,244.0,231.5,238.0,22198,5292448.5
2023-06-11,MHCL,234.0,246.6,234.0,246.0,29258,7122249.5
2023-06-12,MHCL,250.9,255.0,236.9,242.9,28687,6975130.8
2023-06-13,MHCL,238.2,249.7,235.7,248.0,29852,7269837.8
2023-06-14,MHCL,243.1,250.9,234.5,235.5,33273,8113869.7
2023-06-15,MHCL,231.1,240.0,231.1,238.0,26485,6239131.1
2023-06-18,MHCL,234.0,246.8,230.0,246.8,34491,8353496.8
2023-06-19,MHCL,251.7,251.7,237.7,239.0,17448,4208778.4
2023-06-20,MHCL,243.0,243.7,233.8,236.0,15302,3644715.5
2023-06-21,MHCL,239.9,239.9,226.4,228.1,14961,3461347.3
2023-06-22,MHCL,225.0,230.4,221.9,226.0,12510,2822655.0
2023-06-25,MHCL,226.0,229.5,213.5,229.5,38034,8345847.7
2023-06-26,MHCL,225.3,241.0,217.6,217.6,23371,5294052.4
2023-06-27,MHCL,214.0,227.4,214.0,223.0,14269,3184752.5
2023-06-28,MHCL,223.0,227.0,216.0,220.5,21048,4689329.4
2023-07-02,MHCL,221.0,221.0,213.7,219.0,13826,2996630.3
2023-07-03,MHCL,215.1,220.0,212.1,217.0,12637,2715385.2
2023-07-04,MHCL,220.0,220.0,212.1,216.8,10030,2146374.0
2023-07-05,MHCL,213.1,219.0,210.2,211.0,13060,2777994.9
2023-07-06,MHCL,210.0,214.5,206.2,210.0,15308,3202892.4
2023-07-09,MHCL,206.6,216.0,206.6,212.0,10454,2211344.5
2023-07-10,MHCL,212.0,216.2,208.0,212.0,11629,2450816.2
2023-07-11,MHCL,207.9,209.9,206.3,208.0,5197,1080614.5
2023-07-12,MHCL,203.9,225.0,201.0,218.0,19055,4128932.7
2023-07-13,MHCL,222.3,223.3,212.0,214.0,8373,1823755.6
2023-07-16,MHCL,218.2,218.2,209.0,209.4,6208,1303347.0
2023-07-17,MHCL,205.6,218.2,205.6,214.0,7510,1586746.0
2023-07-18,MHCL,210.0,215.0,207.8,210.0,8880,1875676.9
2023-07-19,MHCL,206.1,211.0,206.1,210.0,11862,2473438.6
2023-07-20,MHCL,210.0,221.2,207.6,214.0,9102,1935557.6
2023-07-23,MHCL,210.1,216.7,210.1,215.0,10551,2256288.1
2023-07-24,MHCL,215.0,222.3,211.0,215.0,15281,3319481.5
2023-07-25,MHCL,212.0,220.5,211.3,219.0,15761,3417178.1
2023-07-26,MHCL,215.0,220.5,212.7,212.7,4453,966385.7
2023-07-27,MHCL,210.8,219.0,209.0,210.5,11575,2450922.9
2023-07-30,MHCL,210.0,212.0,205.0,208.0,10765,2238827.5
2023-07-31,MHCL,206.1,210.0,205.0,207.0,7358,1528768.7
2023-08-01,MHCL,207.0,214.9,204.0,204.1,10745,2219331.5
2023-08-02,MHCL,202.0,206.7,202.0,204.8,4363,887985.2
2023-08-03,MHCL,204.0,206.8,200.1,205.0,8940,1815281.2
2023-08-06,MHCL,201.0,209.1,192.7,209.1,11382,2233201.9
2023-08-07,MHCL,205.0,205.0,189.2,199.8,10320,2058140.2
2023-08-08,MHCL,195.9,203.0,191.6,193.9,10437,2024336.6
2023-08-09,MHCL,190.2,195.0,187.1,192.1,9310,1768173.5
