BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-14,MKCL,178.8,196.6,178.8,196.6,940,183206.8
2023-12-17,MKCL,200.0,216.2,200.0,216.2,1474,317608.1
2023-12-18,MKCL,220.5,237.8,220.5,237.8,1220,289477.4
2023-12-19,MKCL,242.5,261.5,242.5,261.5,1030,268600.1
2023-12-20,MKCL,266.7,287.6,266.7,287.6,1040,298590.0
2023-12-21,MKCL,288.1,316.3,288.1,316.3,1630,514277.5
2023-12-24,MKCL,322.6,347.9,322.6,347.9,2449,851320.1
2023-12-27,MKCL,354.8,382.6,354.8,382.6,2530,967249.0
2023-12-28,MKCL,390.0,420.8,390.0,420.8,3870,1627262.0
2024-01-01,MKCL,429.2,462.8,429.2,462.8,3530,1631380.4
2024-01-02,MKCL,472.0,509.0,472.0,509.0,4220,2147069.0
2024-01-03,MKCL,519.1,559.9,519.1,559.9,4320,2417760.0
2024-01-04,MKCL,571.0,615.8,571.0,615.8,6280,3864783.8
2024-01-07,MKCL,628.1,677.3,628.1,677.3,3461,2342300.3
2024-01-08,MKCL,690.0,745.0,690.0,745.0,3430,2552337.0
2024-01-09,MKCL,759.9,819.5,759.9,819.5,4511,3695028.6
2024-01-10,MKCL,835.0,901.4,835.0,901.4,3432,3091635.8
2024-01-11,MKCL,910.0,991.5,910.0,991.5,5770,5718412.3
2024-01-14,MKCL,1011.3,1090.6,1011.3,1090.6,4820,5253243.0
2024-01-16,MKCL,1112.4,1199.6,1112.4,1199.6,4820,5777076.1
2024-01-17,MKCL,1199.6,1319.5,1080.0,1080.2,211930,245027850.8
2024-01-18,MKCL,1100.0,1100.1,1010.0,1066.0,82176,86440951.9
2024-01-21,MKCL,1064.0,1112.0,1021.0,1065.0,43187,45894906.6
2024-01-22,MKCL,1046.0,1079.0,1020.0,1040.0,38398,40345211.9
2024-01-23,MKCL,1026.0,1060.8,1026.0,1035.0,32425,33879916.0
2024-01-24,MKCL,1023.0,1055.7,1015.0,1020.0,17945,18476761.3
2024-01-25,MKCL,1015.0,1025.0,973.3,990.0,34647,34493429.6
2024-01-28,MKCL,977.0,1000.0,955.9,969.0,26989,26158633.7
