BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-06-26,MLBBL,0.0,376.0,376.0,376.0,123.0,46248.0
2014-07-03,MLBBL,0.0,386.0,383.0,386.0,49.0,18875.0
2014-07-17,MLBBL,0.0,386.0,386.0,386.0,20.0,7720.0
2014-07-23,MLBBL,0.0,393.0,393.0,393.0,10.0,3930.0
2014-08-06,MLBBL,0.0,400.0,400.0,400.0,10.0,4000.0
2014-08-18,MLBBL,0.0,416.0,408.0,416.0,20.0,8240.0
2014-08-21,MLBBL,0.0,441.0,425.0,441.0,30.0,12990.0
2014-08-24,MLBBL,0.0,457.0,449.0,457.0,20.0,9060.0
2014-08-28,MLBBL,0.0,466.0,466.0,466.0,38.0,17708.0
2014-08-31,MLBBL,0.0,484.0,475.0,484.0,20.0,9590.0
2014-09-07,MLBBL,0.0,508.0,508.0,508.0,10.0,5080.0
2014-09-09,MLBBL,0.0,518.0,518.0,518.0,10.0,5180.0
2014-09-10,MLBBL,0.0,569.0,543.0,569.0,50.0,27930.0
2014-09-11,MLBBL,0.0,597.0,597.0,597.0,10.0,5970.0
2014-09-14,MLBBL,0.0,638.0,626.0,638.0,20.0,12640.0
2014-09-15,MLBBL,0.0,663.0,650.0,663.0,20.0,13130.0
2014-09-16,MLBBL,0.0,729.0,696.0,729.0,40.0,28570.0
2014-09-17,MLBBL,0.0,801.0,743.0,801.0,412.0,321619.0
2014-09-18,MLBBL,0.0,881.0,817.0,881.0,183.0,159623.0
2014-09-21,MLBBL,0.0,969.0,898.0,969.0,681.0,657775.0
2014-09-22,MLBBL,0.0,1007.0,873.0,873.0,2189.0,2018420.0
2014-09-23,MLBBL,0.0,856.0,801.0,805.0,959.0,774875.0
2014-09-24,MLBBL,0.0,821.0,801.0,805.0,262.0,213082.0
2014-09-28,MLBBL,0.0,805.0,777.0,790.0,288.0,227711.0
2014-09-29,MLBBL,0.0,848.0,792.0,848.0,246.0,197872.0
2014-09-30,MLBBL,0.0,864.0,840.0,845.0,519.0,437835.0
2014-10-08,MLBBL,0.0,840.0,840.0,840.0,20.0,16800.0
2014-10-09,MLBBL,0.0,856.0,840.0,845.0,94.0,80045.0
2014-10-12,MLBBL,0.0,877.0,844.0,844.0,203.0,176750.0
2014-10-13,MLBBL,0.0,860.0,844.0,854.0,266.0,226978.0
2014-10-14,MLBBL,0.0,840.0,824.0,830.0,130.0,107700.0
2014-10-15,MLBBL,0.0,841.0,820.0,830.0,113.0,94015.0
2014-10-16,MLBBL,0.0,855.0,835.0,851.0,273.0,231780.0
2014-10-19,MLBBL,0.0,860.0,850.0,850.0,124.0,105710.0
2014-10-20,MLBBL,0.0,850.0,800.0,800.0,278.0,233921.0
2014-10-21,MLBBL,0.0,816.0,801.0,803.0,208.0,167584.0
2014-10-22,MLBBL,0.0,805.0,800.0,805.0,94.0,75420.0
2014-10-26,MLBBL,0.0,885.0,800.0,885.0,89.0,75809.0
2014-10-27,MLBBL,0.0,918.0,890.0,918.0,123.0,111435.0
2014-10-28,MLBBL,0.0,905.0,888.0,905.0,264.0,238272.0
2014-10-30,MLBBL,0.0,887.0,830.0,830.0,188.0,158380.0
2014-11-02,MLBBL,0.0,846.0,829.0,845.0,252.0,210861.0
2014-11-03,MLBBL,0.0,845.0,829.0,829.0,60.0,50380.0
2014-11-04,MLBBL,0.0,830.0,830.0,830.0,40.0,33200.0
2014-11-05,MLBBL,0.0,830.0,830.0,830.0,10.0,8300.0
2014-11-06,MLBBL,0.0,860.0,830.0,860.0,126.0,106134.0
2014-11-10,MLBBL,0.0,845.0,830.0,830.0,119.0,99600.0
2014-11-11,MLBBL,0.0,835.0,787.0,791.0,66.0,53116.0
2014-11-12,MLBBL,0.0,820.0,800.0,820.0,324.0,260800.0
2014-11-13,MLBBL,0.0,825.0,804.0,804.0,171.0,140110.0
2014-11-16,MLBBL,0.0,820.0,800.0,820.0,93.0,75080.0
2014-11-17,MLBBL,0.0,820.0,805.0,820.0,51.0,41540.0
2014-11-18,MLBBL,0.0,804.0,785.0,800.0,272.0,214110.0
2014-11-19,MLBBL,0.0,832.0,800.0,828.0,329.0,268956.0
2014-11-20,MLBBL,0.0,860.0,844.0,847.0,637.0,544481.0
2014-11-23,MLBBL,0.0,720.0,706.0,706.0,120.0,85994.0
2014-12-03,MLBBL,0.0,706.0,706.0,706.0,10.0,7060.0
2014-12-08,MLBBL,0.0,710.0,700.0,700.0,29.0,20400.0
2014-12-09,MLBBL,0.0,700.0,698.0,700.0,113.0,78944.0
2014-12-15,MLBBL,0.0,705.0,705.0,705.0,20.0,14100.0
2014-12-16,MLBBL,0.0,719.0,714.0,714.0,20.0,14330.0
2014-12-17,MLBBL,0.0,718.0,718.0,718.0,10.0,7180.0
2014-12-18,MLBBL,0.0,720.0,720.0,720.0,10.0,7200.0
2014-12-21,MLBBL,0.0,734.0,734.0,734.0,10.0,7340.0
2014-12-22,MLBBL,0.0,777.0,734.0,734.0,972.0,718778.0
2014-12-23,MLBBL,0.0,737.0,720.0,737.0,227.0,164758.0
2014-12-28,MLBBL,0.0,748.0,748.0,748.0,197.0,147356.0
2014-12-29,MLBBL,0.0,805.0,750.0,805.0,1294.0,1005316.0
2014-12-31,MLBBL,0.0,885.0,821.0,885.0,1112.0,953172.0
2015-01-01,MLBBL,0.0,960.0,901.0,960.0,1061.0,993734.0
2015-01-04,MLBBL,0.0,1056.0,978.0,1056.0,686.0,694580.0
2015-01-05,MLBBL,0.0,1141.0,1057.0,1080.0,593.0,649179.0
2015-01-06,MLBBL,0.0,1100.0,1060.0,1060.0,578.0,629593.0
2015-01-07,MLBBL,0.0,1040.0,1020.0,1020.0,178.0,184895.0
2015-01-08,MLBBL,0.0,1060.0,1020.0,1030.0,401.0,415930.0
2015-01-11,MLBBL,0.0,1040.0,1010.0,1040.0,104.0,106400.0
2015-01-12,MLBBL,0.0,1020.0,1000.0,1000.0,20.0,20200.0
2015-01-13,MLBBL,0.0,990.0,980.0,990.0,70.0,68870.0
2015-01-14,MLBBL,0.0,971.0,971.0,971.0,93.0,90303.0
2015-01-18,MLBBL,0.0,974.0,955.0,974.0,20.0,19290.0
2015-01-20,MLBBL,0.0,980.0,980.0,980.0,10.0,9800.0
2015-01-26,MLBBL,0.0,965.0,965.0,965.0,30.0,28950.0
2015-01-27,MLBBL,0.0,946.0,946.0,946.0,90.0,85140.0
2015-01-28,MLBBL,0.0,946.0,946.0,946.0,63.0,59598.0
2015-02-02,MLBBL,0.0,960.0,924.0,924.0,190.0,179340.0
2015-02-03,MLBBL,0.0,933.0,915.0,933.0,95.0,87332.0
2015-02-04,MLBBL,0.0,970.0,951.0,956.0,115.0,109926.0
2015-02-05,MLBBL,0.0,975.0,975.0,975.0,63.0,61425.0
2015-02-09,MLBBL,0.0,975.0,970.0,970.0,160.0,155400.0
2015-02-10,MLBBL,0.0,1013.0,975.0,1013.0,93.0,91435.0
2015-02-11,MLBBL,0.0,1018.0,980.0,1018.0,593.0,590730.0
2015-02-12,MLBBL,0.0,998.0,998.0,998.0,141.0,140718.0
2015-02-15,MLBBL,0.0,979.0,979.0,979.0,63.0,61677.0
2015-02-16,MLBBL,0.0,1054.0,998.0,1035.0,758.0,778652.0
2015-02-18,MLBBL,0.0,1025.0,1021.0,1021.0,173.0,176953.0
2015-02-24,MLBBL,0.0,1001.0,981.0,995.0,80.0,79440.0
2015-02-25,MLBBL,0.0,1014.0,990.0,1000.0,192.0,192920.0
2015-02-26,MLBBL,0.0,1000.0,1000.0,1000.0,10.0,10000.0
2015-03-01,MLBBL,0.0,999.0,980.0,999.0,20.0,19790.0
2015-03-02,MLBBL,0.0,1030.0,1010.0,1016.0,576.0,583238.0
2015-03-04,MLBBL,0.0,1056.0,1036.0,1056.0,102.0,107512.0
2015-03-09,MLBBL,0.0,1050.0,1050.0,1050.0,30.0,31500.0
2015-03-11,MLBBL,0.0,1055.0,1050.0,1055.0,93.0,97700.0
2015-03-12,MLBBL,0.0,1050.0,1050.0,1050.0,97.0,101850.0
2015-03-15,MLBBL,0.0,1040.0,1040.0,1040.0,17.0,17680.0
2015-03-16,MLBBL,0.0,1020.0,1000.0,1000.0,138.0,139500.0
2015-03-17,MLBBL,0.0,1000.0,962.0,1000.0,242.0,238332.0
2015-03-18,MLBBL,0.0,1010.0,1009.0,1010.0,96.0,96924.0
2015-03-19,MLBBL,0.0,1010.0,996.0,1010.0,75.0,75582.0
2015-03-23,MLBBL,0.0,991.0,991.0,991.0,63.0,62433.0
2015-03-25,MLBBL,0.0,972.0,953.0,953.0,24.0,23100.0
2015-03-26,MLBBL,0.0,972.0,965.0,972.0,24.0,23244.0
2015-03-29,MLBBL,0.0,953.0,953.0,953.0,12.0,11436.0
2015-03-30,MLBBL,0.0,970.0,970.0,970.0,10.0,9700.0
2015-03-31,MLBBL,0.0,970.0,970.0,970.0,83.0,80510.0
2015-04-02,MLBBL,0.0,951.0,940.0,940.0,27.0,25512.0
