BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-01,MLBL,0.0,72.0,70.0,72.0,2810.0,200340.0
2012-01-02,MLBL,0.0,73.0,71.0,73.0,750.0,54340.0
2012-01-03,MLBL,0.0,72.0,72.0,72.0,480.0,34560.0
2012-01-04,MLBL,0.0,73.0,72.0,72.0,990.0,71330.0
2012-01-05,MLBL,0.0,73.0,72.0,72.0,130.0,9420.0
2012-01-08,MLBL,0.0,73.0,72.0,72.0,1000.0,72180.0
2012-01-09,MLBL,0.0,72.0,71.0,72.0,560.0,40050.0
2012-01-10,MLBL,0.0,71.0,69.0,69.0,1120.0,78320.0
2012-01-11,MLBL,0.0,71.0,70.0,70.0,310.0,21880.0
2012-01-12,MLBL,0.0,71.0,71.0,71.0,1000.0,71000.0
2012-01-16,MLBL,0.0,74.0,71.0,72.0,1040.0,74890.0
2012-01-17,MLBL,0.0,74.0,71.0,72.0,1390.0,100170.0
2012-01-18,MLBL,0.0,72.0,69.0,69.0,1130.0,79260.0
2012-01-19,MLBL,0.0,70.0,69.0,70.0,60.0,4170.0
2012-01-22,MLBL,0.0,71.0,69.0,70.0,1310.0,90730.0
2012-01-23,MLBL,0.0,70.0,67.0,70.0,990.0,68530.0
2012-01-25,MLBL,0.0,70.0,68.0,69.0,1330.0,91710.0
2012-01-26,MLBL,0.0,69.0,68.0,69.0,1900.0,130410.0
2012-01-29,MLBL,0.0,69.0,68.0,69.0,2320.0,158950.0
2012-01-31,MLBL,0.0,68.0,67.0,68.0,950.0,63880.0
2012-02-01,MLBL,0.0,69.0,68.0,68.0,560.0,38320.0
2012-02-02,MLBL,0.0,69.0,68.0,68.0,860.0,59240.0
2012-02-05,MLBL,0.0,69.0,67.0,68.0,2810.0,190790.0
2012-02-06,MLBL,0.0,69.0,68.0,68.0,940.0,64540.0
2012-02-07,MLBL,0.0,70.0,67.0,68.0,6560.0,445290.0
2012-02-08,MLBL,0.0,67.0,65.0,65.0,990.0,65210.0
2012-02-09,MLBL,0.0,65.0,62.0,64.0,1830.0,116040.0
2012-02-12,MLBL,0.0,66.0,64.0,66.0,890.0,58050.0
2012-02-13,MLBL,0.0,66.0,63.0,66.0,1440.0,92210.0
2012-02-14,MLBL,0.0,68.0,66.0,68.0,330.0,22090.0
2012-02-15,MLBL,0.0,67.0,65.0,65.0,730.0,47750.0
2012-02-16,MLBL,0.0,69.0,66.0,67.0,1110.0,75010.0
2012-02-21,MLBL,0.0,69.0,68.0,68.0,1980.0,134890.0
2012-02-23,MLBL,0.0,68.0,67.0,67.0,1930.0,129740.0
2012-02-26,MLBL,0.0,65.0,63.0,64.0,2740.0,174690.0
2012-02-27,MLBL,0.0,66.0,63.0,63.0,1320.0,84950.0
2012-02-28,MLBL,0.0,63.0,61.0,62.0,990.0,61220.0
2012-02-29,MLBL,0.0,64.0,63.0,63.0,570.0,36310.0
2012-03-01,MLBL,0.0,64.0,63.0,64.0,400.0,25280.0
2012-03-04,MLBL,0.0,65.0,65.0,65.0,110.0,7150.0
2012-03-05,MLBL,0.0,66.0,62.0,64.0,1100.0,69380.0
2012-03-06,MLBL,0.0,65.0,63.0,63.0,1170.0,75150.0
2012-03-11,MLBL,0.0,65.0,61.0,61.0,1040.0,65280.0
2012-03-12,MLBL,0.0,64.0,60.0,60.0,1720.0,106550.0
2012-03-13,MLBL,0.0,65.0,61.0,65.0,1090.0,68040.0
2012-03-14,MLBL,0.0,67.0,62.0,63.0,2810.0,180300.0
2012-03-15,MLBL,0.0,65.0,62.0,63.0,1180.0,75270.0
2012-03-19,MLBL,0.0,65.0,61.0,65.0,860.0,54340.0
2012-03-20,MLBL,0.0,65.0,65.0,65.0,120.0,7800.0
2012-03-21,MLBL,0.0,65.0,63.0,63.0,500.0,31820.0
2012-03-25,MLBL,0.0,65.0,64.0,64.0,480.0,30750.0
2012-03-26,MLBL,0.0,63.0,63.0,63.0,20.0,1260.0
2012-03-27,MLBL,0.0,64.0,61.0,62.0,640.0,40010.0
2012-03-28,MLBL,0.0,65.0,63.0,65.0,810.0,52350.0
2012-03-29,MLBL,0.0,64.0,62.0,62.0,370.0,23230.0
2012-04-01,MLBL,0.0,63.0,61.0,61.0,790.0,48890.0
2012-04-02,MLBL,0.0,62.0,61.0,62.0,620.0,38340.0
2012-04-03,MLBL,0.0,63.0,62.0,63.0,150.0,9390.0
2012-04-04,MLBL,0.0,63.0,62.0,62.0,40.0,2500.0
2012-04-05,MLBL,0.0,62.0,61.0,61.0,500.0,30900.0
2012-04-08,MLBL,0.0,62.0,60.0,60.0,250.0,15160.0
2012-04-09,MLBL,0.0,62.0,61.0,62.0,530.0,32650.0
2012-04-10,MLBL,0.0,63.0,62.0,63.0,500.0,31480.0
2012-04-11,MLBL,0.0,64.0,63.0,64.0,220.0,14040.0
2012-04-12,MLBL,0.0,69.0,63.0,69.0,1330.0,90250.0
2012-04-15,MLBL,0.0,72.0,70.0,71.0,200.0,14190.0
2012-04-16,MLBL,0.0,72.0,72.0,72.0,240.0,17280.0
2012-04-17,MLBL,0.0,75.0,73.0,73.0,2350.0,172200.0
