BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-10-06,MLBS,397.5,397.5,397.5,397.5,90,35621.9
2021-10-10,MLBS,403.2,403.2,403.2,403.2,20,8030.6
2021-10-17,MLBS,403.2,411.2,403.2,411.2,20,8224.0
2021-10-19,MLBS,419.4,427.7,419.4,427.7,20,8471.0
2021-10-24,MLBS,436.2,462.7,436.2,462.7,40,17975.0
2021-10-25,MLBS,471.9,471.9,471.9,471.9,10,4719.0
2021-10-26,MLBS,481.3,490.9,481.3,490.9,20,9722.0
2021-10-27,MLBS,500.7,520.9,500.7,520.9,30,15323.0
2021-10-28,MLBS,520.9,552.7,520.9,552.7,53,28328.2
2021-10-31,MLBS,563.7,598.0,563.7,598.0,41,23814.9
2021-11-01,MLBS,609.9,657.8,609.9,657.8,71,45275.2
2021-11-02,MLBS,657.8,657.8,657.8,657.8,6,3900.4
2021-11-03,MLBS,670.9,697.9,670.9,697.9,30,20531.0
2021-11-08,MLBS,711.8,767.6,711.8,767.6,79,59010.6
2021-11-09,MLBS,782.9,844.3,782.9,844.3,60,49150.0
2021-11-11,MLBS,861.1,928.7,861.1,928.7,60,53733.0
2021-11-14,MLBS,947.2,1021.5,947.2,1021.5,100,100141.0
2021-11-15,MLBS,1041.9,1123.6,1041.9,1123.6,60,65412.0
2021-11-16,MLBS,1146.0,1235.9,1146.0,1235.9,50,59590.0
2021-11-17,MLBS,1260.6,1359.4,1260.6,1359.4,101,133741.9
2021-11-18,MLBS,1386.5,1495.3,1386.5,1495.3,189,278121.5
2021-11-21,MLBS,1525.2,1644.8,1525.2,1644.8,370,605646.0
2021-11-22,MLBS,1677.0,1809.2,1677.0,1809.2,900,1625029.0
2021-11-23,MLBS,1845.3,1990.1,1845.3,1990.1,1310,2603479.0
2021-11-24,MLBS,2029.9,2189.1,1985.0,1999.0,26187,54303912.6
2021-11-25,MLBS,2005.0,2005.0,1851.0,1860.5,10621,19921909.0
2021-11-28,MLBS,1823.3,1823.3,1675.0,1710.0,11732,20296226.4
2021-11-29,MLBS,1676.0,1677.0,1618.0,1630.0,4964,8175526.4
2021-11-30,MLBS,1630.0,1720.0,1605.0,1720.0,1831,3043091.3
2021-12-01,MLBS,1720.0,1720.0,1666.0,1690.0,1430,2406808.0
2021-12-02,MLBS,1661.0,1680.0,1621.2,1630.0,2460,4016045.0
2021-12-05,MLBS,1630.0,1630.0,1525.0,1553.0,4205,6513049.0
2021-12-06,MLBS,1525.0,1640.0,1500.0,1600.0,2350,3597153.0
2021-12-07,MLBS,1600.0,1605.0,1520.1,1550.0,1981,3113756.0
2021-12-08,MLBS,1540.0,1540.0,1470.0,1518.0,1400,2093732.0
2021-12-09,MLBS,1510.0,1510.0,1466.2,1468.1,860,1266802.0
2021-12-12,MLBS,1421.0,1451.5,1400.0,1400.1,1740,2471360.0
2021-12-13,MLBS,1372.1,1372.1,1266.0,1280.0,2799,3638277.9
2021-12-14,MLBS,1300.0,1408.0,1300.0,1400.0,970,1319114.0
2021-12-15,MLBS,1428.0,1510.0,1428.0,1470.0,2638,3885378.5
2021-12-16,MLBS,1470.0,1470.0,1384.8,1401.0,1300,1840264.0
2021-12-20,MLBS,1429.0,1429.0,1370.0,1370.0,1500,2071871.0
2021-12-21,MLBS,1350.0,1370.0,1343.0,1370.0,670,907439.0
2021-12-22,MLBS,1350.0,1474.9,1346.0,1390.0,929,1299586.0
2021-12-23,MLBS,1370.0,1414.0,1370.0,1385.0,1170,1628660.0
2021-12-26,MLBS,1386.0,1400.0,1359.0,1385.0,790,1095720.0
2021-12-27,MLBS,1385.0,1408.0,1340.0,1340.0,1205,1651358.0
2021-12-28,MLBS,1335.0,1393.3,1309.1,1335.0,816,1077730.0
