BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-01,MNBBL,0.0,150.0,146.0,146.0,1820.0,268890.0
2012-01-02,MNBBL,0.0,150.0,142.0,148.0,450.0,65460.0
2012-01-03,MNBBL,0.0,154.0,145.0,151.0,950.0,142110.0
2012-01-04,MNBBL,0.0,150.0,148.0,150.0,1590.0,237820.0
2012-01-05,MNBBL,0.0,152.0,151.0,152.0,940.0,142760.0
2012-01-08,MNBBL,0.0,153.0,149.0,153.0,990.0,149570.0
2012-01-09,MNBBL,0.0,158.0,153.0,156.0,970.0,150230.0
2012-01-10,MNBBL,0.0,160.0,156.0,160.0,700.0,110380.0
2012-01-11,MNBBL,0.0,164.0,157.0,164.0,1000.0,158270.0
2012-01-12,MNBBL,0.0,165.0,160.0,161.0,1700.0,275350.0
2012-01-16,MNBBL,0.0,161.0,159.0,159.0,1100.0,175880.0
2012-01-17,MNBBL,0.0,158.0,156.0,157.0,1310.0,206000.0
2012-01-18,MNBBL,0.0,161.0,157.0,161.0,1200.0,191390.0
2012-01-19,MNBBL,0.0,160.0,160.0,160.0,530.0,84800.0
2012-01-22,MNBBL,0.0,160.0,159.0,159.0,1000.0,159100.0
2012-01-23,MNBBL,0.0,157.0,154.0,157.0,580.0,89980.0
2012-01-25,MNBBL,0.0,155.0,154.0,155.0,140.0,21590.0
2012-01-26,MNBBL,0.0,160.0,155.0,157.0,300.0,47040.0
2012-01-29,MNBBL,0.0,165.0,160.0,163.0,1610.0,262350.0
2012-01-31,MNBBL,0.0,166.0,162.0,162.0,1390.0,227300.0
2012-02-01,MNBBL,0.0,165.0,162.0,164.0,60.0,9820.0
2012-02-02,MNBBL,0.0,165.0,162.0,165.0,620.0,101700.0
2012-02-05,MNBBL,0.0,165.0,160.0,165.0,430.0,69360.0
2012-02-06,MNBBL,0.0,165.0,160.0,161.0,810.0,131090.0
2012-02-07,MNBBL,0.0,163.0,161.0,161.0,510.0,82550.0
2012-02-08,MNBBL,0.0,165.0,162.0,162.0,2320.0,377060.0
2012-02-09,MNBBL,0.0,163.0,160.0,162.0,560.0,90210.0
2012-02-12,MNBBL,0.0,161.0,161.0,161.0,390.0,62790.0
2012-02-13,MNBBL,0.0,169.0,160.0,162.0,290.0,47370.0
2012-02-14,MNBBL,0.0,160.0,159.0,159.0,250.0,39800.0
2012-02-15,MNBBL,0.0,162.0,153.0,162.0,850.0,135530.0
2012-02-16,MNBBL,0.0,160.0,159.0,160.0,730.0,116470.0
2012-02-21,MNBBL,0.0,164.0,159.0,164.0,1940.0,310150.0
2012-02-23,MNBBL,0.0,166.0,160.0,160.0,800.0,130800.0
2012-02-26,MNBBL,0.0,162.0,159.0,162.0,100.0,15960.0
2012-02-27,MNBBL,0.0,161.0,160.0,161.0,1150.0,184240.0
2012-02-28,MNBBL,0.0,161.0,160.0,161.0,60.0,9630.0
2012-02-29,MNBBL,0.0,167.0,164.0,167.0,40.0,6620.0
2012-03-01,MNBBL,0.0,165.0,162.0,162.0,230.0,37860.0
2012-03-05,MNBBL,0.0,165.0,163.0,163.0,340.0,55500.0
2012-03-06,MNBBL,0.0,171.0,161.0,171.0,300.0,50230.0
2012-03-11,MNBBL,0.0,174.0,165.0,165.0,620.0,102630.0
2012-03-12,MNBBL,0.0,164.0,162.0,164.0,30.0,4900.0
2012-03-13,MNBBL,0.0,170.0,165.0,170.0,490.0,82120.0
2012-03-14,MNBBL,0.0,173.0,167.0,169.0,1550.0,260930.0
2012-03-15,MNBBL,0.0,172.0,169.0,170.0,1260.0,215520.0
2012-03-18,MNBBL,170.0,171.0,168.0,170.0,370.0,62930.0
2012-03-19,MNBBL,0.0,173.0,170.0,170.0,60.0,10260.0
2012-03-20,MNBBL,0.0,169.0,167.0,168.0,280.0,47120.0
2012-03-21,MNBBL,0.0,171.0,160.0,171.0,1130.0,190210.0
2012-03-25,MNBBL,0.0,168.0,162.0,166.0,860.0,141720.0
2012-03-26,MNBBL,0.0,168.0,167.0,168.0,190.0,31910.0
2012-03-27,MNBBL,0.0,169.0,169.0,169.0,270.0,45630.0
2012-03-28,MNBBL,0.0,170.0,170.0,170.0,100.0,17000.0
2012-03-29,MNBBL,0.0,167.0,167.0,167.0,120.0,20040.0
2012-04-01,MNBBL,0.0,168.0,165.0,168.0,290.0,47880.0
2012-04-02,MNBBL,0.0,171.0,169.0,171.0,1430.0,242630.0
2012-04-03,MNBBL,0.0,172.0,170.0,170.0,1350.0,230300.0
2012-04-04,MNBBL,0.0,176.0,170.0,170.0,1290.0,219640.0
2012-04-05,MNBBL,0.0,169.0,168.0,169.0,80.0,13480.0
2012-04-08,MNBBL,0.0,175.0,170.0,175.0,700.0,119740.0
2012-04-09,MNBBL,0.0,181.0,175.0,179.0,850.0,151890.0
2012-04-10,MNBBL,0.0,185.0,176.0,179.0,1490.0,264440.0
2012-04-11,MNBBL,0.0,194.0,182.0,194.0,1160.0,221260.0
2012-04-12,MNBBL,0.0,200.0,184.0,191.0,2510.0,476830.0
2012-04-15,MNBBL,0.0,200.0,194.0,197.0,180.0,35520.0
2012-04-16,MNBBL,0.0,200.0,200.0,200.0,1310.0,262000.0
2012-04-17,MNBBL,0.0,212.0,196.0,196.0,2780.0,573500.0
2012-04-18,MNBBL,0.0,214.0,193.0,210.0,2130.0,438920.0
2012-04-19,MNBBL,0.0,222.0,209.0,209.0,2070.0,444760.0
2012-04-22,MNBBL,0.0,229.0,213.0,229.0,300.0,66020.0
2012-04-24,MNBBL,0.0,251.0,233.0,251.0,320.0,77820.0
2012-04-25,MNBBL,0.0,271.0,256.0,271.0,170.0,44020.0
2012-04-26,MNBBL,0.0,291.0,276.0,291.0,1810.0,504700.0
2012-04-29,MNBBL,0.0,307.0,279.0,279.0,3240.0,933950.0
