BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-02-12,MPFL,25.925925925925927,333.3333333333333,333.3333333333333,333.3333333333333,10.0,4150.0
2012-02-21,MPFL,25.925925925925927,322.22222222222223,316.2962962962963,316.2962962962963,30.0,11840.0
2012-03-06,MPFL,25.925925925925927,303.7037037037037,303.7037037037037,303.7037037037037,10.0,3750.0
2012-04-08,MPFL,25.925925925925927,291.1111111111111,285.9259259259259,285.9259259259259,20.0,7090.0
2012-04-11,MPFL,25.925925925925927,274.0740740740741,260.7407407407408,260.7407407407408,50.0,16210.0
2012-06-06,MPFL,25.925925925925927,256.2962962962963,256.2962962962963,256.2962962962963,10.0,3110.0
2012-06-17,MPFL,25.925925925925927,245.1851851851852,245.1851851851852,245.1851851851852,200.0,59200.0
2012-07-25,MPFL,25.925925925925927,234.8148148148148,234.8148148148148,234.8148148148148,10.0,2820.0
2012-08-16,MPFL,25.925925925925927,224.44444444444449,224.44444444444449,224.44444444444449,10.0,2680.0
2012-08-22,MPFL,25.925925925925927,214.8148148148148,214.8148148148148,214.8148148148148,10.0,2550.0
2012-08-27,MPFL,25.925925925925927,205.92592592592592,205.92592592592592,205.92592592592592,10.0,2430.0
2012-09-12,MPFL,25.925925925925927,197.03703703703704,191.11111111111111,191.11111111111111,40.0,9120.0
2012-09-13,MPFL,25.925925925925927,188.14814814814807,182.22222222222223,182.22222222222223,30.0,6450.0
2012-09-18,MPFL,25.925925925925927,174.8148148148148,167.40740740740742,167.40740740740742,70.0,13650.0
2012-09-20,MPFL,25.925925925925927,160.74074074074073,154.07407407407408,154.07407407407408,80.0,14200.0
2012-09-24,MPFL,25.925925925925927,151.85185185185185,147.40740740740742,147.40740740740742,50.0,8320.0
2012-09-30,MPFL,25.925925925925927,141.4814814814815,135.55555555555554,135.55555555555554,80.0,12140.0
2012-10-07,MPFL,25.925925925925927,130.37037037037038,125.1851851851852,125.1851851851852,100.0,13720.0
2012-10-08,MPFL,25.925925925925927,123.70370370370372,122.22222222222224,122.22222222222224,30.0,3920.0
2012-10-09,MPFL,25.925925925925927,117.77777777777776,116.29629629629628,116.29629629629628,40.0,4920.0
2012-10-11,MPFL,25.925925925925927,111.85185185185183,107.4074074074074,107.4074074074074,40.0,4520.0
2012-10-14,MPFL,25.925925925925927,105.92592592592592,99.25925925925924,99.25925925925924,620.0,61730.0
2012-10-15,MPFL,25.925925925925927,96.29629629629628,92.5925925925926,92.5925925925926,1260.0,114130.0
2012-10-18,MPFL,25.925925925925927,92.5925925925926,87.4074074074074,87.4074074074074,1020.0,88460.0
2012-10-30,MPFL,25.925925925925927,91.85185185185183,88.14814814814815,91.11111111111111,1480.0,128800.0
2012-10-31,MPFL,25.925925925925927,93.33333333333331,91.11111111111111,91.11111111111111,1030.0,91570.0
2012-11-01,MPFL,25.925925925925927,91.85185185185183,91.11111111111111,91.11111111111111,1500.0,133270.0
2012-11-04,MPFL,25.925925925925927,91.11111111111111,90.37037037037037,90.37037037037037,1280.0,111680.0
