BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-03-21,MSLBP,0.0,1370.0,1370.0,1370.0,4548.0,6230760.0
2021-07-20,MSLBP,1210.0,1210.0,1210.0,1210.0,9000.0,10890000.0
2021-07-26,MSLBP,1210.0,1210.0,1210.0,1210.0,3000.0,3630000.0
2021-10-21,MSLBP,1073.0,1073.0,1073.0,1073.0,4120.0,4420760.0
2021-11-02,MSLBP,1073.0,1073.0,1073.0,1073.0,200.0,163000.0
2021-11-11,MSLBP,1073.0,1073.0,1073.0,1073.0,4730.0,3976086.0
2022-01-19,MSLBP,1073.0,1073.0,1073.0,1073.0,56270.0,42587850.0
2022-03-06,MSLBP,1073.0,1073.0,1073.0,1073.0,3500.0,2150000.0
2022-03-24,MSLBP,1073.0,1073.0,1073.0,1073.0,946.0,94600.0
2022-06-08,MSLBP,560.0,560.0,560.0,560.0,3024.0,1693440.0
2022-06-09,MSLBP,560.0,560.0,560.0,560.0,11400.0,6384000.0
2022-06-21,MSLBP,560.0,560.0,560.0,560.0,9000.0,5760000.0
2022-06-22,MSLBP,560.0,560.0,560.0,560.0,7000.0,3920000.0
2022-06-28,MSLBP,560.0,560.0,560.0,560.0,243.0,24300.0
2022-07-06,MSLBP,560.0,560.0,560.0,560.0,3000.0,1680000.0
2022-07-20,MSLBP,560.0,560.0,560.0,560.0,14630.0,1463000.0
2022-11-08,MSLBP,541.0,541.0,541.0,541.0,1000.0,541000.0
2022-11-14,MSLBP,541.0,541.0,541.0,541.0,1000.0,541000.0
2022-11-22,MSLBP,541.0,541.0,541.0,541.0,25.0,2500.0
2023-05-02,MSLBP,381.0,381.0,381.0,381.0,25.0,9525.0
2023-06-27,MSLBP,388.0,388.0,388.0,388.0,3591.0,1393308.0
2023-09-04,MSLBP,424.0,424.0,424.0,424.0,511.0,216664.0
2023-12-05,MSLBP,424.0,424.0,424.0,424.0,1000.0,275100.0
2024-01-28,MSLBP,424.0,424.0,424.0,424.0,4920.0,1480920.0
