BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2015-12-08,MSMBS,0.0,327.0,309.0,327.0,40.0,12720.0
2015-12-09,MSMBS,0.0,351.0,333.0,351.0,40.0,13680.0
2015-12-15,MSMBS,0.0,386.0,358.0,386.0,240.0,87950.0
2015-12-21,MSMBS,0.0,424.0,393.0,424.0,120.0,49300.0
2015-12-24,MSMBS,0.0,466.0,432.0,466.0,60.0,27070.0
2015-12-29,MSMBS,0.0,512.0,475.0,512.0,1060.0,541490.0
2016-01-04,MSMBS,0.0,552.0,522.0,552.0,40.0,21480.0
2016-01-05,MSMBS,0.0,607.0,579.0,607.0,60.0,35910.0
2016-01-06,MSMBS,0.0,667.0,637.0,667.0,100.0,65380.0
2016-01-07,MSMBS,0.0,733.0,700.0,733.0,130.0,92830.0
2016-01-10,MSMBS,0.0,761.0,747.0,761.0,170.0,127130.0
2016-01-11,MSMBS,0.0,837.0,776.0,837.0,120.0,98910.0
2016-01-12,MSMBS,0.0,920.0,853.0,920.0,240.0,219140.0
2016-01-13,MSMBS,0.0,1012.0,966.0,1012.0,1107.0,1114874.0
2016-01-14,MSMBS,0.0,1113.0,1032.0,1113.0,7097.0,7896551.0
2016-03-23,MSMBS,0.0,1168.0,1168.0,1168.0,10.0,11680.0
2016-03-24,MSMBS,0.0,1226.0,1226.0,1226.0,10.0,12260.0
2016-03-27,MSMBS,0.0,1338.0,1287.0,1338.0,30.0,39370.0
2016-03-28,MSMBS,0.0,1471.0,1404.0,1471.0,177.0,259197.0
2016-03-29,MSMBS,0.0,1618.0,1500.0,1618.0,2430.0,3928830.0
2016-03-30,MSMBS,0.0,1779.0,1650.0,1779.0,2860.0,5081398.0
2016-03-31,MSMBS,0.0,1924.0,1750.0,1802.0,7776.0,14439684.0
2016-04-03,MSMBS,0.0,1766.0,1622.0,1622.0,2720.0,4427620.0
2016-04-04,MSMBS,0.0,1660.0,1550.0,1600.0,2459.0,3956850.0
2016-04-05,MSMBS,0.0,1600.0,1545.0,1572.0,1610.0,2537560.0
2016-04-06,MSMBS,0.0,1602.0,1570.0,1576.0,1312.0,2080804.0
2016-04-10,MSMBS,0.0,1600.0,1565.0,1600.0,680.0,1076930.0
2016-04-11,MSMBS,0.0,1575.0,1570.0,1570.0,60.0,94250.0
2016-04-12,MSMBS,0.0,1600.0,1562.0,1563.0,640.0,1002400.0
2016-04-14,MSMBS,0.0,1540.0,1520.0,1521.0,1160.0,1769910.0
2016-04-17,MSMBS,0.0,1510.0,1480.0,1510.0,596.0,894930.0
2016-04-18,MSMBS,0.0,1500.0,1480.0,1486.0,485.0,722562.0
2016-04-19,MSMBS,0.0,1550.0,1481.0,1550.0,870.0,1318460.0
2016-04-20,MSMBS,0.0,1705.0,1519.0,1705.0,440.0,684650.0
2016-04-21,MSMBS,0.0,1671.0,1551.0,1591.0,986.0,1552578.0
2016-04-24,MSMBS,0.0,1590.0,1500.0,1590.0,830.0,1271460.0
2016-04-25,MSMBS,0.0,1559.0,1500.0,1532.0,526.0,804358.0
2016-04-26,MSMBS,0.0,1562.0,1532.0,1543.0,1260.0,1945890.0
2016-04-27,MSMBS,0.0,1600.0,1551.0,1585.0,658.0,1034398.0
2016-04-28,MSMBS,0.0,1648.0,1545.0,1590.0,1250.0,1990670.0
2016-05-02,MSMBS,0.0,1580.0,1531.0,1542.0,710.0,1109990.0
2016-05-03,MSMBS,0.0,1560.0,1520.0,1536.0,840.0,1287910.0
2016-05-04,MSMBS,0.0,1535.0,1506.0,1535.0,1268.0,1923010.0
2016-05-05,MSMBS,0.0,1540.0,1500.0,1520.0,1474.0,2238214.0
2016-05-08,MSMBS,0.0,1515.0,1478.0,1515.0,1320.0,1976730.0
2016-05-09,MSMBS,0.0,1520.0,1500.0,1501.0,862.0,1297580.0
2016-05-10,MSMBS,0.0,1545.0,1500.0,1510.0,1502.0,2285972.0
2016-05-11,MSMBS,0.0,1540.0,1495.0,1525.0,1140.0,1738570.0
2016-05-12,MSMBS,0.0,1525.0,1491.0,1500.0,1036.0,1554950.0
2016-05-15,MSMBS,0.0,1510.0,1491.0,1500.0,860.0,1294770.0
2016-05-16,MSMBS,0.0,1490.0,1481.0,1490.0,210.0,312310.0
2016-05-17,MSMBS,0.0,1518.0,1457.0,1495.0,270.0,403550.0
2016-05-18,MSMBS,0.0,1505.0,1490.0,1500.0,1108.0,1658120.0
2016-05-19,MSMBS,0.0,1528.0,1495.0,1528.0,1952.0,2945970.0
2016-05-22,MSMBS,0.0,1579.0,1502.0,1555.0,1958.0,3035334.0
2016-05-23,MSMBS,0.0,1606.0,1520.0,1606.0,1279.0,2001142.0
2016-05-24,MSMBS,0.0,1700.0,1600.0,1680.0,5147.0,8453932.0
2016-05-25,MSMBS,0.0,1750.0,1647.0,1694.0,2510.0,4256060.0
2016-05-26,MSMBS,0.0,1670.0,1628.0,1640.0,530.0,877490.0
2016-05-29,MSMBS,0.0,1632.0,1600.0,1610.0,320.0,514150.0
2016-05-30,MSMBS,0.0,1648.0,1600.0,1645.0,1246.0,2015844.0
2016-05-31,MSMBS,0.0,1634.0,1602.0,1634.0,472.0,760990.0
2016-06-01,MSMBS,0.0,1602.0,1560.0,1580.0,490.0,775400.0
2016-06-02,MSMBS,0.0,1600.0,1555.0,1581.0,1220.0,1940160.0
2016-06-05,MSMBS,0.0,1580.0,1550.0,1580.0,480.0,755000.0
2016-06-06,MSMBS,0.0,1555.0,1520.0,1532.0,510.0,784590.0
2016-06-07,MSMBS,0.0,1588.0,1540.0,1574.0,2134.0,3306528.0
2016-06-08,MSMBS,0.0,1580.0,1550.0,1580.0,365.0,570565.0
2016-06-09,MSMBS,0.0,1611.0,1600.0,1600.0,1367.0,2194055.0
2016-06-12,MSMBS,0.0,1670.0,1568.0,1670.0,727.0,1171108.0
2016-06-13,MSMBS,0.0,1700.0,1640.0,1670.0,4675.0,7812178.0
2016-06-14,MSMBS,0.0,1837.0,1670.0,1829.0,9482.0,16912406.0
2016-06-15,MSMBS,0.0,1820.0,1765.0,1800.0,3597.0,6448418.0
2016-06-16,MSMBS,0.0,1800.0,1670.0,1800.0,736.0,1263870.0
2016-06-19,MSMBS,0.0,1770.0,1715.0,1725.0,382.0,665040.0
2016-06-20,MSMBS,0.0,1720.0,1632.0,1685.0,720.0,1201340.0
2016-06-21,MSMBS,0.0,1700.0,1653.0,1663.0,814.0,1360434.0
2016-06-22,MSMBS,0.0,1795.0,1670.0,1795.0,1365.0,2342785.0
2016-06-23,MSMBS,0.0,1830.0,1750.0,1798.0,2182.0,3863424.0
2016-06-26,MSMBS,0.0,1770.0,1702.0,1735.0,274.0,475048.0
2016-06-27,MSMBS,0.0,1750.0,1700.0,1730.0,1508.0,2585260.0
2016-06-28,MSMBS,0.0,1785.0,1730.0,1785.0,2185.0,3894540.0
2016-06-29,MSMBS,0.0,1825.0,1700.0,1825.0,1648.0,2943460.0
2016-06-30,MSMBS,0.0,1826.0,1700.0,1800.0,860.0,1549180.0
2016-07-03,MSMBS,0.0,1980.0,1800.0,1980.0,9915.0,18671118.0
2016-07-04,MSMBS,0.0,2030.0,1846.0,1886.0,2664.0,5088812.0
2016-07-05,MSMBS,0.0,1849.0,1800.0,1815.0,120.0,219010.0
