BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-03-07,NBBD2085,0.0,1051.0,1020.0,1051.0,175.0,180325.0
2021-03-09,NBBD2085,0.0,1045.0,1045.0,1045.0,125.0,130625.0
2021-03-10,NBBD2085,0.0,1065.0,1065.0,1065.0,150.0,159750.0
2021-03-14,NBBD2085,0.0,1065.0,1065.0,1065.0,200.0,213000.0
2021-03-15,NBBD2085,0.0,1052.0,1045.0,1052.0,200.0,209925.0
2021-03-16,NBBD2085,0.0,1060.0,1051.0,1056.0,200.0,210925.0
2021-03-18,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-03-21,NBBD2085,0.0,1060.0,1055.0,1060.0,50.0,52875.0
2021-03-22,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-03-23,NBBD2085,0.0,1060.0,1055.0,1060.0,150.0,158500.0
2021-03-24,NBBD2085,0.0,1060.0,1055.0,1060.0,75.0,79375.0
2021-03-25,NBBD2085,0.0,1055.0,1055.0,1055.0,25.0,26375.0
2021-03-29,NBBD2085,0.0,1060.0,1056.0,1056.0,50.0,52900.0
2021-03-30,NBBD2085,0.0,1056.0,1055.0,1056.0,50.0,52775.0
2021-03-31,NBBD2085,0.0,1055.0,1055.0,1055.0,100.0,105500.0
2021-04-01,NBBD2085,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-04-04,NBBD2085,0.0,1050.0,1050.0,1050.0,50.0,52500.0
2021-04-05,NBBD2085,0.0,1046.0,1045.0,1046.0,75.0,78400.0
2021-04-06,NBBD2085,0.0,1045.0,1045.0,1045.0,25.0,26125.0
2021-04-07,NBBD2085,0.0,1055.0,1050.0,1050.0,90.0,94650.0
2021-04-12,NBBD2085,0.0,1050.0,1045.0,1045.0,80.0,83725.0
2021-04-15,NBBD2085,0.0,1046.0,1046.0,1046.0,25.0,26150.0
2021-04-21,NBBD2085,0.0,1048.0,1048.0,1048.0,100.0,104800.0
2021-04-22,NBBD2085,0.0,1055.0,1051.0,1055.0,50.0,52650.0
2021-04-25,NBBD2085,0.0,1060.0,1046.0,1046.0,125.0,131100.0
2021-04-26,NBBD2085,0.0,1047.0,1046.0,1046.0,50.0,52325.0
2021-04-27,NBBD2085,0.0,1060.0,1060.0,1060.0,81.0,85860.0
2021-04-28,NBBD2085,0.0,1060.0,1050.0,1060.0,75.0,79250.0
2021-05-02,NBBD2085,0.0,1060.0,1060.0,1060.0,75.0,79500.0
2021-05-04,NBBD2085,0.0,1051.0,1051.0,1051.0,25.0,26275.0
2021-05-05,NBBD2085,0.0,1046.0,1046.0,1046.0,25.0,26150.0
2021-05-09,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-05-10,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-05-11,NBBD2085,0.0,1081.0,1080.0,1081.0,100.0,108070.0
2021-05-17,NBBD2085,0.0,1060.0,1060.0,1060.0,20.0,21200.0
2021-05-18,NBBD2085,0.0,1060.0,1060.0,1060.0,50.0,53000.0
2021-05-20,NBBD2085,0.0,1060.0,1060.0,1060.0,100.0,106000.0
2021-05-23,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-05-24,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-05-25,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-05-27,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-05-31,NBBD2085,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-06-01,NBBD2085,0.0,1070.0,1060.0,1070.0,75.0,79875.0
2021-06-02,NBBD2085,0.0,1070.0,1060.0,1051.0,25.0,26275.0
2021-06-03,NBBD2085,0.0,1072.0,1072.0,1072.0,25.0,26800.0
2021-06-07,NBBD2085,1060.0,1093.0,1060.0,1093.0,300.0,323675.0
2021-06-09,NBBD2085,1075.0,1075.0,1075.0,1075.0,25.0,26875.0
2021-06-10,NBBD2085,1075.0,1062.0,1062.0,1062.0,25.0,26550.0
2021-06-15,NBBD2085,1060.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-06-20,NBBD2085,1043.0,1043.0,1042.0,1042.0,50.0,52125.0
2021-06-21,NBBD2085,1062.0,1080.0,1062.0,1080.0,55.0,58950.0
2021-06-22,NBBD2085,1080.0,1080.0,1075.0,1080.0,350.0,377500.0
2021-07-08,NBBD2085,1080.0,1080.0,1080.0,1080.0,35.0,37800.0
2021-07-11,NBBD2085,1060.0,1060.0,1060.0,1060.0,125.0,132500.0
2021-07-12,NBBD2085,1080.0,1101.0,1080.0,1101.0,70.0,76020.0
2021-07-13,NBBD2085,1120.0,1145.0,1120.0,1145.0,390.0,440025.0
2021-08-11,NBBD2085,1122.1,1122.1,1122.1,1122.1,10.0,11221.0
2021-09-26,NBBD2085,1100.0,1100.0,1100.0,1100.0,25.0,27500.0
2022-01-05,NBBD2085,1078.0,1078.0,1078.0,1078.0,500.0,539000.0
2022-01-06,NBBD2085,1056.5,1056.5,1040.0,1040.0,90.0,94425.0
2022-01-09,NBBD2085,1050.0,1055.0,1050.0,1055.0,90.0,94650.0
2022-01-11,NBBD2085,1076.0,1076.0,1076.0,1076.0,551.0,592876.0
