BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-04-24,NBLD87,1000.0,1000.0,1000.0,1000.0,10,10000.0
2022-04-25,NBLD87,1000.0,1000.0,1000.0,1000.0,12500,10625000.0
2022-06-01,NBLD87,1020.0,1020.0,1020.0,1020.0,50,51000.0
2022-09-13,NBLD87,999.6,999.6,922.2,922.2,50,48027.0
2022-09-15,NBLD87,903.8,903.8,903.8,903.8,25,22595.0
2022-09-22,NBLD87,885.8,885.8,880.0,880.0,109,95971.0
2022-12-07,NBLD87,862.4,862.4,862.4,862.4,50,43120.0
2022-12-11,NBLD87,845.2,845.2,845.2,845.2,20,16904.0
2022-12-29,NBLD87,828.3,828.3,811.8,811.8,32,26340.6
2023-01-01,NBLD87,795.6,795.6,780.0,780.0,425,332890.0
2023-01-02,NBLD87,764.4,770.0,750.7,760.0,505,385266.9
2023-01-03,NBLD87,750.1,761.0,750.1,760.0,217,164592.5
2023-01-04,NBLD87,760.0,775.2,760.0,775.2,75,57380.0
2023-01-05,NBLD87,770.0,770.0,770.0,770.0,25,19250.0
2023-01-08,NBLD87,785.0,785.0,754.1,754.1,75,57710.0
2023-01-09,NBLD87,754.0,770.0,750.0,770.0,150,113402.5
2023-01-10,NBLD87,755.0,770.1,750.2,750.2,176,133033.3
2023-01-12,NBLD87,741.0,745.1,736.0,745.1,130,96355.0
2023-01-17,NBLD87,735.0,735.0,725.3,725.3,50,36507.5
2023-01-18,NBLD87,725.2,725.2,725.2,725.2,30,21756.0
2023-01-23,NBLD87,711.0,725.0,711.0,725.0,150,107400.0
2023-01-25,NBLD87,724.0,729.5,722.4,722.4,125,90700.5
2023-01-26,NBLD87,720.0,739.5,720.0,739.5,100,72737.5
2023-01-29,NBLD87,754.2,754.2,740.0,740.0,80,59555.0
2023-01-30,NBLD87,740.0,740.0,733.0,733.0,250,183825.0
2023-01-31,NBLD87,722.1,722.1,722.0,722.0,40,28882.5
2023-02-01,NBLD87,729.0,729.0,729.0,729.0,25,18225.0
2023-02-02,NBLD87,730.0,730.0,730.0,730.0,70,51100.0
2023-02-05,NBLD87,717.1,731.0,717.1,731.0,50,36202.5
2023-02-06,NBLD87,730.0,730.0,730.0,730.0,44,32120.0
2023-02-07,NBLD87,738.0,738.0,738.0,738.0,25,18450.0
2023-02-08,NBLD87,735.0,749.0,735.0,749.0,55,40845.0
2023-02-09,NBLD87,740.0,740.0,740.0,740.0,25,18500.0
2023-02-12,NBLD87,745.0,754.8,745.0,754.8,69,51620.6
2023-02-14,NBLD87,754.0,754.8,754.0,754.8,45,33946.0
2023-02-15,NBLD87,750.0,750.0,745.0,745.0,90,67175.0
2023-02-16,NBLD87,745.0,746.0,745.0,745.5,50,37270.0
2023-02-20,NBLD87,735.0,749.7,735.0,749.7,50,37117.5
2023-02-22,NBLD87,745.0,745.0,736.1,736.1,55,40752.5
2023-02-23,NBLD87,736.1,750.0,736.1,750.0,130,97083.0
2023-02-26,NBLD87,740.0,760.0,740.0,760.0,75,56370.0
2023-02-28,NBLD87,750.0,750.0,750.0,750.0,25,18750.0
2023-03-02,NBLD87,750.0,750.0,750.0,750.0,25,18750.0
2023-03-05,NBLD87,740.0,740.0,740.0,740.0,25,18500.0
2023-03-07,NBLD87,754.0,764.9,754.0,764.9,320,243045.0
2023-03-09,NBLD87,757.0,757.0,755.0,755.0,150,113450.0
2023-03-12,NBLD87,740.0,740.0,740.0,740.0,10,7400.0
2023-03-13,NBLD87,750.0,750.0,750.0,750.0,55,41250.0
2023-03-14,NBLD87,750.2,764.0,750.2,764.0,40,30353.0
2023-03-15,NBLD87,756.1,756.1,756.1,756.1,75,56707.5
2023-03-16,NBLD87,752.0,752.0,752.0,752.0,25,18800.0
2023-03-19,NBLD87,747.0,747.0,742.0,742.0,55,40935.0
2023-03-20,NBLD87,732.0,746.0,732.0,746.0,50,36950.0
2023-03-23,NBLD87,745.0,745.0,741.1,741.1,80,59483.0
2023-03-27,NBLD87,755.9,755.9,755.9,755.9,20,15118.0
2023-03-28,NBLD87,755.9,755.9,755.9,755.9,25,18897.5
2023-03-29,NBLD87,741.5,741.5,741.5,741.5,25,18537.5
2023-04-02,NBLD87,741.5,756.3,742.0,747.0,105,78664.0
2023-04-03,NBLD87,745.0,755.0,745.0,755.0,50,37500.0
2023-04-06,NBLD87,755.0,755.0,755.0,755.0,25,18875.0
2023-04-09,NBLD87,740.1,740.1,740.0,740.0,50,37002.5
2023-04-10,NBLD87,753.0,754.0,749.9,750.0,130,97672.5
2023-04-11,NBLD87,750.0,760.0,741.1,760.0,75,56536.0
2023-04-12,NBLD87,761.2,775.0,761.2,775.0,85,64909.0
2023-04-13,NBLD87,780.0,790.5,780.0,790.5,449,351757.5
2023-04-16,NBLD87,790.0,790.0,790.0,790.0,94,74260.0
2023-04-17,NBLD87,775.0,775.0,775.0,775.0,25,19375.0
2023-04-25,NBLD87,775.0,775.0,770.1,770.1,50,38627.5
2023-04-26,NBLD87,770.0,770.0,765.1,765.1,35,26827.5
2023-04-27,NBLD87,780.4,780.4,766.1,766.1,150,116345.0
2023-04-30,NBLD87,766.0,766.0,766.0,766.0,25,19150.0
2023-05-04,NBLD87,761.2,762.7,761.2,762.0,125,95273.9
2023-05-08,NBLD87,770.0,770.0,760.3,760.3,55,42107.5
2023-05-09,NBLD87,775.5,775.5,775.5,775.5,25,19387.5
2023-05-15,NBLD87,785.0,785.0,785.0,785.0,23,18055.0
2023-05-16,NBLD87,790.0,790.0,790.0,790.0,25,19750.0
2023-05-17,NBLD87,791.0,791.0,770.0,770.0,150,117775.0
2023-05-22,NBLD87,765.2,765.2,765.2,765.2,25,19130.0
2023-05-28,NBLD87,765.0,765.0,765.0,765.0,75,57375.0
2023-06-01,NBLD87,765.0,765.0,765.0,765.0,25,19125.0
2023-06-04,NBLD87,765.0,765.0,765.0,765.0,25,19125.0
2023-06-05,NBLD87,760.7,760.7,760.7,760.7,25,19017.5
2023-06-06,NBLD87,765.0,765.0,765.0,765.0,25,19125.0
2023-06-11,NBLD87,766.1,766.1,766.1,766.1,25,19152.5
2023-06-12,NBLD87,781.4,781.4,781.4,781.4,10,7814.0
2023-06-13,NBLD87,785.0,785.0,785.0,785.0,25,19625.0
2023-06-14,NBLD87,780.0,780.0,780.0,780.0,50,39000.0
2023-06-15,NBLD87,780.0,780.0,780.0,780.0,25,19500.0
2023-06-18,NBLD87,795.6,795.6,795.6,795.6,25,19890.0
2023-06-19,NBLD87,779.7,785.0,771.0,771.0,75,58320.5
2023-06-20,NBLD87,775.0,775.0,775.0,775.0,25,19375.0
2023-06-21,NBLD87,764.0,770.0,764.0,770.0,125,96100.0
2023-06-25,NBLD87,775.0,786.0,775.0,786.0,50,39025.0
2023-07-02,NBLD87,794.0,794.0,794.0,794.0,25,19850.0
2023-07-03,NBLD87,800.0,800.0,794.0,794.0,100,79850.0
2023-07-04,NBLD87,809.8,809.8,803.0,805.0,175,140895.0
2023-07-05,NBLD87,806.0,806.0,800.0,800.0,320,256900.0
2023-07-06,NBLD87,798.1,805.0,798.1,805.0,60,48127.5
2023-07-09,NBLD87,800.0,821.1,800.0,821.1,110,89213.0
2023-07-10,NBLD87,804.9,804.9,804.9,804.9,20,16098.0
2023-07-12,NBLD87,810.0,820.9,810.0,820.9,75,61147.5
2023-07-13,NBLD87,830.0,869.0,830.0,869.0,165,139039.0
2023-07-23,NBLD87,851.7,851.7,818.1,818.1,30,25045.0
2023-07-24,NBLD87,801.8,801.8,785.8,785.8,30,23734.0
2023-07-25,NBLD87,786.0,786.0,781.0,781.0,50,39235.0
2023-07-27,NBLD87,780.0,780.0,780.0,780.0,85,66300.0
2023-07-30,NBLD87,775.5,780.0,775.5,780.0,100,77887.5
2023-07-31,NBLD87,780.0,785.0,780.0,785.0,40,31325.0
2023-08-01,NBLD87,785.0,785.0,785.0,785.0,75,58875.0
2023-08-02,NBLD87,780.0,780.0,780.0,780.0,25,19500.0
2023-08-08,NBLD87,780.0,780.0,768.0,768.0,75,58320.0
2023-08-10,NBLD87,783.0,783.0,783.0,783.0,50,39150.0
2023-08-13,NBLD87,790.0,790.0,775.0,775.0,175,137875.0
2023-08-14,NBLD87,775.0,775.0,770.2,770.2,75,57885.0
2023-08-15,NBLD87,785.6,800.0,785.6,800.0,175,138125.0
2023-08-16,NBLD87,790.0,790.0,790.0,790.0,100,79000.0
2023-08-22,NBLD87,780.1,780.1,780.1,780.1,25,19502.5
2023-08-24,NBLD87,780.0,780.0,769.0,769.0,75,58225.0
2023-08-27,NBLD87,784.3,784.3,784.3,784.3,20,15686.0
2023-08-29,NBLD87,799.9,799.9,799.9,799.9,18,14398.2
2023-09-07,NBLD87,814.0,815.8,814.0,815.8,50,40745.0
2023-09-11,NBLD87,800.0,800.0,785.0,785.0,125,99625.0
2023-09-12,NBLD87,778.0,778.0,776.0,776.0,35,27180.0
2023-09-13,NBLD87,781.0,781.0,781.0,781.0,50,39050.0
2023-09-17,NBLD87,775.0,775.0,770.1,770.1,160,123565.0
2023-09-19,NBLD87,771.0,771.0,770.0,770.1,125,96277.5
2023-09-24,NBLD87,775.0,775.0,770.0,770.0,140,108300.0
2023-09-25,NBLD87,785.0,785.0,785.0,785.0,25,19625.0
2023-09-26,NBLD87,770.0,770.1,770.0,770.1,70,53904.5
2023-09-27,NBLD87,770.3,770.3,770.3,770.3,10,7703.0
2023-10-02,NBLD87,780.0,780.0,780.0,780.0,20,15600.0
2023-10-04,NBLD87,795.6,804.0,795.6,804.0,27,21624.0
2023-10-08,NBLD87,788.0,788.0,788.0,788.0,50,39400.0
2023-10-10,NBLD87,786.0,793.0,786.0,793.0,420,331170.0
2023-10-16,NBLD87,808.8,808.8,793.0,793.0,70,56221.0
2023-10-17,NBLD87,800.0,800.0,800.0,800.0,100,80000.0
2023-10-18,NBLD87,785.0,785.0,785.0,785.0,30,23550.0
2023-10-19,NBLD87,799.0,800.0,799.0,800.0,50,39975.0
2023-10-30,NBLD87,795.0,795.0,791.0,791.0,50,39650.0
2023-11-05,NBLD87,790.0,800.0,790.0,800.0,45,35750.0
2023-11-09,NBLD87,800.0,800.0,790.0,790.0,75,59750.0
2023-11-21,NBLD87,805.8,805.8,805.8,805.8,25,20145.0
2023-11-22,NBLD87,806.0,806.0,806.0,806.0,55,44330.0
2023-11-27,NBLD87,806.0,822.1,806.0,822.1,85,68671.0
2023-12-03,NBLD87,837.0,837.0,837.0,837.0,25,20925.0
2023-12-04,NBLD87,821.0,821.0,815.0,817.0,150,122890.0
2023-12-05,NBLD87,831.0,832.0,831.0,832.0,100,83175.0
2023-12-06,NBLD87,816.0,832.3,816.0,832.3,50,41207.5
2023-12-07,NBLD87,816.0,816.0,816.0,816.0,25,20400.0
2023-12-11,NBLD87,832.3,841.5,825.0,841.5,425,356520.0
2023-12-12,NBLD87,840.0,841.0,840.0,841.0,50,42025.0
2023-12-14,NBLD87,856.0,856.0,856.0,856.0,50,42800.0
2023-12-17,NBLD87,841.0,850.0,841.0,850.0,50,42275.0
2023-12-18,NBLD87,850.0,850.0,850.0,850.0,25,21250.0
2023-12-19,NBLD87,850.0,850.0,850.0,850.0,4968,4409140.0
2023-12-20,NBLD87,860.0,860.0,860.0,860.0,75,64500.0
2023-12-24,NBLD87,854.0,863.0,854.0,863.0,404,347377.0
2023-12-27,NBLD87,865.0,865.0,851.1,851.1,50,42902.5
2023-12-28,NBLD87,851.1,851.1,850.0,850.0,150,127527.5
2024-01-01,NBLD87,850.0,850.0,840.2,840.2,175,147297.5
2024-01-02,NBLD87,850.0,860.0,850.0,850.0,150,128000.0
2024-01-03,NBLD87,843.0,843.0,843.0,843.0,25,21075.0
2024-01-04,NBLD87,843.0,850.0,843.0,850.0,85,72161.0
2024-01-07,NBLD87,850.0,867.0,850.0,850.0,150,127925.0
2024-01-08,NBLD87,850.0,850.0,850.0,850.0,25,21250.0
2024-01-09,NBLD87,851.1,860.0,850.1,860.0,150,127860.5
2024-01-10,NBLD87,847.2,855.0,847.2,855.0,50,42555.0
2024-01-11,NBLD87,872.0,872.1,872.0,872.1,55,47963.5
2024-01-14,NBLD87,854.7,871.0,854.7,871.0,80,68702.0
2024-01-16,NBLD87,853.6,853.6,853.6,853.6,75,64020.0
2024-01-17,NBLD87,836.6,836.6,830.0,831.0,125,103965.0
2024-01-18,NBLD87,831.0,834.0,811.0,811.0,407,338654.0
2024-01-21,NBLD87,811.0,823.0,811.0,823.0,100,81575.0
2024-01-22,NBLD87,835.0,835.0,835.0,835.0,25,20875.0
2024-01-23,NBLD87,818.3,822.3,806.2,822.3,100,81746.5
2024-01-24,NBLD87,822.0,822.0,822.0,822.0,50,41100.0
2024-01-25,NBLD87,806.2,820.0,806.2,815.0,75,61030.0
2024-01-28,NBLD87,831.3,831.3,831.0,831.0,50,41557.5
