BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-18,NFS,0.0,134.0,134.0,134.0,315.0,42210.0
2012-02-08,NFS,0.0,132.0,132.0,132.0,71.0,9372.0
2012-04-19,NFS,0.0,134.0,134.0,134.0,50.0,6700.0
2012-04-29,NFS,0.0,133.0,132.0,132.0,2151.0,284132.0
2012-04-30,NFS,0.0,130.0,130.0,130.0,100.0,13000.0
2012-05-09,NFS,0.0,128.0,128.0,128.0,2000.0,256000.0
2012-05-10,NFS,0.0,126.0,126.0,126.0,248.0,31248.0
2012-05-13,NFS,0.0,124.0,124.0,124.0,100.0,12400.0
2012-05-14,NFS,0.0,122.0,122.0,122.0,100.0,12200.0
2012-05-21,NFS,0.0,121.0,120.0,121.0,340.0,41000.0
2012-05-27,NFS,0.0,119.0,119.0,119.0,1000.0,119000.0
2012-05-30,NFS,0.0,117.0,117.0,117.0,18.0,2106.0
2012-05-31,NFS,0.0,115.0,115.0,115.0,50.0,5750.0
2012-06-04,NFS,0.0,115.0,115.0,115.0,100.0,11500.0
2012-06-06,NFS,0.0,117.0,117.0,117.0,10.0,1170.0
2012-06-07,NFS,0.0,119.0,119.0,119.0,10.0,1190.0
2012-06-10,NFS,0.0,119.0,117.0,119.0,30.0,3530.0
2012-07-01,NFS,0.0,117.0,117.0,117.0,50.0,5850.0
2012-07-12,NFS,0.0,115.0,115.0,115.0,593.0,68195.0
2012-07-26,NFS,0.0,113.0,113.0,113.0,123.0,13899.0
2012-07-30,NFS,0.0,111.0,107.0,107.0,148.0,16008.0
2012-08-01,NFS,0.0,105.0,103.0,103.0,70.0,7250.0
2012-08-06,NFS,0.0,101.0,100.0,100.0,400.0,40100.0
2012-08-12,NFS,0.0,98.0,98.0,98.0,230.0,22540.0
2012-08-13,NFS,0.0,97.0,96.0,96.0,500.0,48200.0
2012-08-14,NFS,0.0,97.0,96.0,97.0,358.0,34516.0
2012-08-22,NFS,0.0,96.0,95.0,95.0,937.0,89507.0
2012-08-29,NFS,0.0,94.0,94.0,94.0,50.0,4700.0
2012-08-30,NFS,0.0,93.0,89.0,89.0,1179.0,106321.0
2012-09-05,NFS,0.0,88.0,88.0,88.0,58.0,5104.0
2012-09-06,NFS,0.0,89.0,89.0,89.0,100.0,8900.0
2012-09-17,NFS,0.0,88.0,88.0,88.0,100.0,8800.0
2012-09-18,NFS,0.0,90.0,89.0,90.0,357.0,31873.0
2012-09-19,NFS,0.0,91.0,91.0,91.0,12.0,1092.0
2012-09-20,NFS,0.0,92.0,91.0,92.0,40.0,3660.0
2012-09-30,NFS,0.0,92.0,92.0,92.0,200.0,18400.0
2012-10-01,NFS,0.0,91.0,91.0,91.0,68.0,6188.0
2012-10-02,NFS,0.0,90.0,90.0,90.0,111.0,9990.0
2012-10-03,NFS,0.0,89.0,89.0,89.0,171.0,15219.0
2012-10-07,NFS,0.0,90.0,90.0,90.0,200.0,18000.0
2012-12-09,NFS,0.0,89.0,88.0,88.0,260.0,23010.0
2013-06-30,NFS,0.0,90.0,90.0,90.0,111.0,9990.0
2013-12-31,NFS,0.0,91.0,91.0,91.0,1114.0,101374.0
2014-01-01,NFS,0.0,90.0,90.0,90.0,148.0,13320.0
2014-03-06,NFS,0.0,89.0,89.0,89.0,91.0,8099.0
2014-06-09,NFS,0.0,90.0,90.0,90.0,11641.0,1047690.0
