BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2017-11-14,NHDL,0.0,293.0,267.0,293.0,980.0,286330.0
2017-11-15,NHDL,0.0,322.0,298.0,322.0,2490.0,798310.0
2017-11-16,NHDL,0.0,328.0,290.0,306.0,16351.0,4830302.0
2017-11-19,NHDL,0.0,300.0,276.0,278.0,5206.0,1468875.0
2017-11-20,NHDL,0.0,275.0,251.0,253.0,1770.0,450940.0
2017-11-21,NHDL,0.0,252.0,247.0,251.0,1680.0,421170.0
2017-11-22,NHDL,0.0,264.0,254.0,254.0,580.0,149730.0
2017-11-23,NHDL,0.0,259.0,251.0,252.0,420.0,106030.0
2017-11-26,NHDL,0.0,277.0,251.0,265.0,1430.0,374900.0
2017-11-27,NHDL,0.0,271.0,254.0,265.0,2928.0,776420.0
2017-11-28,NHDL,0.0,265.0,260.0,265.0,376.0,98410.0
2017-11-29,NHDL,0.0,270.0,260.0,260.0,1820.0,486270.0
2017-11-30,NHDL,0.0,264.0,259.0,261.0,2930.0,763880.0
2017-12-04,NHDL,0.0,261.0,252.0,255.0,600.0,153420.0
2017-12-05,NHDL,0.0,254.0,251.0,253.0,420.0,106220.0
2017-12-06,NHDL,0.0,255.0,249.0,255.0,430.0,108220.0
2017-12-10,NHDL,0.0,251.0,250.0,250.0,2287.0,572130.0
2017-12-11,NHDL,0.0,249.0,245.0,245.0,240.0,58980.0
2017-12-12,NHDL,0.0,253.0,241.0,253.0,160.0,38950.0
2017-12-13,NHDL,0.0,255.0,242.0,246.0,843.0,206545.0
2017-12-14,NHDL,0.0,242.0,240.0,240.0,70.0,16830.0
2017-12-17,NHDL,0.0,242.0,236.0,240.0,220.0,52540.0
2017-12-18,NHDL,0.0,241.0,235.0,235.0,110.0,25980.0
2017-12-19,NHDL,0.0,236.0,232.0,232.0,210.0,49240.0
2017-12-20,NHDL,0.0,232.0,228.0,229.0,500.0,115660.0
2017-12-21,NHDL,0.0,229.0,226.0,226.0,240.0,54310.0
2017-12-24,NHDL,0.0,227.0,218.0,221.0,1195.0,263165.0
2017-12-26,NHDL,0.0,217.0,213.0,215.0,1570.0,336890.0
2017-12-27,NHDL,0.0,211.0,203.0,207.0,100.0,20610.0
2017-12-28,NHDL,0.0,207.0,203.0,206.0,280.0,57550.0
2017-12-31,NHDL,0.0,215.0,200.0,211.0,940.0,198530.0
2018-01-01,NHDL,0.0,217.0,211.0,217.0,80.0,17150.0
2018-01-02,NHDL,0.0,221.0,213.0,218.0,130.0,28400.0
2018-01-03,NHDL,0.0,216.0,214.0,216.0,40.0,8610.0
2018-01-04,NHDL,0.0,217.0,212.0,217.0,50.0,10670.0
2018-01-07,NHDL,0.0,220.0,216.0,220.0,160.0,35160.0
2018-01-08,NHDL,0.0,229.0,220.0,229.0,270.0,60960.0
2018-01-09,NHDL,0.0,229.0,227.0,229.0,110.0,25080.0
2018-01-10,NHDL,0.0,229.0,221.0,229.0,90.0,20220.0
2018-01-14,NHDL,0.0,230.0,222.0,222.0,90.0,20100.0
2018-01-16,NHDL,0.0,218.0,215.0,215.0,90.0,19420.0
2018-01-17,NHDL,0.0,219.0,213.0,216.0,423.0,92247.0
2018-01-21,NHDL,0.0,218.0,212.0,215.0,220.0,47410.0
2018-01-22,NHDL,0.0,218.0,211.0,216.0,120.0,25910.0
2018-01-23,NHDL,0.0,214.0,212.0,213.0,110.0,23410.0
2018-01-24,NHDL,0.0,220.0,214.0,220.0,340.0,74270.0
2018-01-25,NHDL,0.0,220.0,216.0,216.0,90.0,19550.0
2018-01-28,NHDL,0.0,215.0,212.0,215.0,100.0,21350.0
2018-01-29,NHDL,0.0,218.0,213.0,215.0,250.0,53850.0
2018-01-31,NHDL,0.0,213.0,208.0,210.0,160.0,33860.0
2018-02-01,NHDL,0.0,207.0,206.0,207.0,70.0,14480.0
2018-02-04,NHDL,0.0,209.0,207.0,207.0,300.0,62310.0
2018-02-05,NHDL,0.0,206.0,204.0,204.0,70.0,14300.0
2018-02-06,NHDL,0.0,204.0,204.0,204.0,40.0,8160.0
2018-02-07,NHDL,0.0,208.0,204.0,207.0,880.0,179800.0
2018-02-08,NHDL,0.0,209.0,202.0,207.0,70.0,14350.0
2018-02-11,NHDL,0.0,211.0,208.0,211.0,140.0,29400.0
2018-02-12,NHDL,0.0,208.0,208.0,208.0,30.0,6240.0
2018-02-14,NHDL,0.0,215.0,200.0,215.0,330.0,69390.0
2018-02-15,NHDL,0.0,222.0,216.0,218.0,190.0,41580.0
2018-02-18,NHDL,0.0,222.0,211.0,211.0,520.0,112990.0
2018-02-20,NHDL,0.0,214.0,210.0,212.0,130.0,27570.0
2018-02-21,NHDL,0.0,214.0,208.0,214.0,100.0,20950.0
