BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2017-04-02,NIBLPF,0.0,10.0,10.0,10.0,34261.0,342610.0
2017-04-03,NIBLPF,0.0,10.2,10.0,10.1,11100.0,111957.5
2017-04-04,NIBLPF,0.0,10.1,10.1,10.1,3535.0,35703.5
2017-04-06,NIBLPF,0.0,10.1,10.0,10.1,7060.0,71205.0
2017-04-09,NIBLPF,0.0,10.2,10.01,10.01,3384.0,34420.85
2017-04-10,NIBLPF,0.0,10.21,10.01,10.2,9090.0,91692.85
2017-04-11,NIBLPF,0.0,10.25,10.0,10.0,67223.0,674476.45
2017-04-12,NIBLPF,0.0,10.2,10.2,10.2,505.0,5151.0
2017-04-18,NIBLPF,0.0,10.0,10.0,10.0,758.0,7580.0
2017-04-19,NIBLPF,0.0,10.2,10.0,10.05,5858.0,58877.95
2017-04-20,NIBLPF,0.0,10.05,10.01,10.01,758.0,7607.78
2017-04-23,NIBLPF,0.0,10.1,10.0,10.05,4293.0,43144.65
2017-04-24,NIBLPF,0.0,10.25,10.25,10.25,253.0,2593.25
2017-04-25,NIBLPF,0.0,10.1,10.06,10.06,12082.0,121959.04
2017-04-26,NIBLPF,0.0,10.15,10.15,10.15,606.0,6150.9
2017-04-27,NIBLPF,0.0,10.2,10.0,10.2,2779.0,28042.6
2017-04-30,NIBLPF,0.0,10.2,10.19,10.19,17491.0,178404.66
2017-05-02,NIBLPF,0.0,10.3,10.19,10.3,2778.0,28335.65
2017-05-03,NIBLPF,0.0,10.12,10.1,10.12,7333.0,74139.05
2017-05-04,NIBLPF,0.0,10.15,10.13,10.13,2777.0,28181.51
2017-05-07,NIBLPF,0.0,10.15,10.05,10.05,4798.0,48447.2
2017-05-08,NIBLPF,0.0,10.05,10.05,10.05,505.0,5075.25
2017-05-09,NIBLPF,0.0,10.1,10.0,10.02,8910.0,89530.7
2017-05-11,NIBLPF,0.0,10.15,10.1,10.1,5304.0,53764.87
2017-05-15,NIBLPF,0.0,10.1,10.1,10.1,4545.0,45904.5
2017-05-16,NIBLPF,0.0,10.15,10.08,10.08,42168.0,427717.35
2017-05-17,NIBLPF,0.0,10.28,10.05,10.05,3485.0,35300.51
2017-05-18,NIBLPF,0.0,10.25,10.05,10.05,2273.0,23197.25
2017-05-21,NIBLPF,0.0,10.05,10.0,10.0,17150.0,172055.5
2017-05-22,NIBLPF,0.0,10.1,10.0,10.1,1313.0,13210.8
2017-05-23,NIBLPF,0.0,10.19,10.0,10.0,4549.0,46065.89
2017-05-24,NIBLPF,0.0,10.0,10.0,10.0,11212.0,112120.0
2017-05-28,NIBLPF,0.0,10.1,10.0,10.1,8585.0,86481.25
2017-05-30,NIBLPF,0.0,10.05,10.01,10.01,1505.0,15085.25
2017-05-31,NIBLPF,0.0,9.9,9.9,9.9,556.0,5504.4
2017-06-01,NIBLPF,0.0,10.1,10.0,10.1,1566.0,15761.0
2017-06-04,NIBLPF,0.0,10.0,9.92,10.0,6468.0,64647.68
2017-06-05,NIBLPF,0.0,10.0,10.0,10.0,505.0,5050.0
2017-06-06,NIBLPF,0.0,10.15,10.0,10.05,5555.0,55979.25
2017-06-07,NIBLPF,0.0,10.19,10.0,10.19,2941.0,29889.75
2017-06-08,NIBLPF,0.0,10.15,10.0,10.0,4091.0,40925.15
2017-06-11,NIBLPF,0.0,10.0,10.0,10.0,4141.0,41410.0
2017-06-12,NIBLPF,0.0,10.0,10.0,10.0,5050.0,50500.0
2017-06-14,NIBLPF,0.0,10.0,10.0,10.0,2525.0,25250.0
2017-06-15,NIBLPF,0.0,9.95,9.95,9.95,505.0,5024.75
2017-06-18,NIBLPF,0.0,10.0,10.0,10.0,2525.0,25250.0
2017-06-19,NIBLPF,0.0,9.9,9.9,9.9,2525.0,24997.5
2017-06-20,NIBLPF,0.0,10.0,10.0,10.0,1010.0,10100.0
2017-06-21,NIBLPF,0.0,9.99,9.99,9.99,304.0,3036.96
2017-06-25,NIBLPF,0.0,9.9,9.9,9.9,2020.0,19998.0
2017-06-27,NIBLPF,0.0,9.8,9.7,9.7,7575.0,73982.5
2017-06-28,NIBLPF,0.0,9.79,9.6,9.6,7071.0,68629.0
