BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-06-06,NIBSF1,14.7,14.78,14.6,14.6,20277,296895.48
2021-06-07,NIBSF1,14.89,14.89,14.6,14.6,19800,292260.0
2021-06-08,NIBSF1,14.51,14.6,14.4,14.6,13000,188810.0
2021-06-09,NIBSF1,14.5,14.5,14.38,14.47,31200,450812.0
2021-06-10,NIBSF1,14.47,14.57,14.41,14.5,23250,336681.0
2021-06-13,NIBSF1,14.61,14.62,14.45,14.45,83000,1204344.5
2021-06-14,NIBSF1,14.46,14.58,14.45,14.55,15459,223696.55
2021-06-15,NIBSF1,14.8,14.8,14.31,14.55,23880,345834.5
2021-06-16,NIBSF1,14.47,14.72,14.47,14.72,17275,250719.25
2021-06-17,NIBSF1,14.75,14.75,14.47,14.47,12366,180771.2
2021-06-20,NIBSF1,14.45,14.73,14.45,14.47,393536,5691161.58
2021-06-21,NIBSF1,14.47,14.47,14.29,14.4,95543,1374109.47
2021-06-22,NIBSF1,14.37,14.6,14.37,14.6,4100,59128.0
2021-06-23,NIBSF1,14.5,14.5,14.31,14.35,64378,925800.18
2021-06-24,NIBSF1,14.62,14.62,14.12,14.29,22812,326146.3
2021-06-27,NIBSF1,14.4,14.5,14.4,14.44,18700,270260.0
2021-06-28,NIBSF1,14.35,14.45,14.35,14.41,30983,446590.2
2021-06-29,NIBSF1,14.41,14.41,14.4,14.4,29400,423554.0
2021-06-30,NIBSF1,14.4,14.4,14.35,14.35,19200,276310.0
2021-07-01,NIBSF1,14.35,14.63,14.3,14.63,808676,11605804.44
2021-07-04,NIBSF1,14.92,14.92,14.34,14.34,11100,160682.0
2021-07-05,NIBSF1,14.5,14.5,14.3,14.32,144737,2072889.1
2021-07-06,NIBSF1,14.5,14.5,14.12,14.12,189900,2694790.0
2021-07-07,NIBSF1,14.21,14.4,14.2,14.2,13200,187785.0
2021-07-08,NIBSF1,14.22,14.22,14.15,14.2,113150,1606507.5
2021-07-11,NIBSF1,14.3,14.65,14.17,14.18,285313,4066936.02
2021-07-12,NIBSF1,14.46,15.0,14.0,14.0,225300,3213993.0
2021-07-13,NIBSF1,13.8,14.25,13.8,14.0,226400,3180066.5
2021-07-14,NIBSF1,14.07,14.36,14.07,14.36,153468,2182914.76
2021-07-15,NIBSF1,14.6,14.6,14.25,14.36,80600,1153637.5
2021-07-18,NIBSF1,14.64,14.99,14.4,14.99,81652,1206739.72
2021-07-19,NIBSF1,14.9,15.4,14.9,15.28,120351,1830789.78
2021-07-20,NIBSF1,15.28,16.01,14.98,15.8,490303,7733110.7
2021-07-22,NIBSF1,16.11,16.77,15.8,16.09,403038,6565546.88
2021-07-25,NIBSF1,16.39,16.5,15.5,16.09,259408,4138476.2
2021-07-26,NIBSF1,15.77,15.87,15.51,15.62,68253,1073584.8
2021-07-27,NIBSF1,15.35,16.2,15.05,16.2,90281,1429994.17
2021-07-28,NIBSF1,16.31,16.33,16.0,16.26,62774,1017439.5
2021-07-29,NIBSF1,16.0,16.1,15.94,16.1,13000,209070.0
2021-08-01,NIBSF1,16.42,17.71,16.1,16.2,507477,8452946.22
2021-08-02,NIBSF1,16.52,16.55,16.24,16.3,117513,1922608.46
2021-08-03,NIBSF1,16.2,16.4,16.05,16.09,140587,2275812.76
2021-08-04,NIBSF1,16.3,16.3,16.02,16.09,81041,1305877.32
2021-08-05,NIBSF1,16.41,16.73,16.1,16.2,514758,8371288.15
2021-08-08,NIBSF1,16.31,16.48,16.26,16.31,330963,5416618.92
2021-08-09,NIBSF1,16.0,16.58,16.0,16.36,252213,4141226.49
2021-08-10,NIBSF1,16.36,16.36,16.16,16.2,275089,4473625.13
2021-08-11,NIBSF1,16.11,16.25,16.0,16.2,230859,3728571.99
2021-08-12,NIBSF1,16.52,16.52,16.18,16.5,788513,12836419.39
2021-08-15,NIBSF1,13.26,13.52,12.5,12.74,132952,1729796.8
2021-08-16,NIBSF1,12.99,13.24,12.99,13.11,94065,1232962.4
2021-08-17,NIBSF1,13.11,13.77,13.11,13.4,98800,1319043.5
2021-08-18,NIBSF1,13.35,13.35,12.95,12.99,85770,1118844.0
2021-08-19,NIBSF1,13.2,13.24,12.76,12.9,123750,1598170.0
2021-08-24,NIBSF1,12.71,12.88,12.7,12.7,119100,1517703.0
2021-08-25,NIBSF1,12.94,13.18,12.7,12.7,132200,1695124.0
2021-08-26,NIBSF1,12.45,12.8,12.45,12.8,9884,125403.94
2021-08-29,NIBSF1,12.8,12.8,12.62,12.66,53399,679458.42
2021-08-31,NIBSF1,12.91,12.91,12.7,12.7,14035,179029.4
2021-09-01,NIBSF1,12.8,12.95,12.7,12.7,33490,429236.0
