BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2013-08-07,NICAP,0.0,700.0,700.0,700.0,11116.0,7781200.0
2013-11-27,NICAP,0.0,686.0,686.0,686.0,8571.0,5879706.0
2014-01-20,NICAP,0.0,673.0,673.0,673.0,5828.0,3922244.0
2014-03-18,NICAP,0.0,673.0,673.0,673.0,5000.0,3365000.0
2014-07-15,NICAP,0.0,686.0,686.0,686.0,7286.0,4998196.0
2014-07-16,NICAP,0.0,686.0,686.0,686.0,36428.0,24989608.0
2014-07-20,NICAP,0.0,699.0,699.0,699.0,7285.0,5092215.0
2014-08-21,NICAP,0.0,686.0,660.0,660.0,4371.0,2941683.0
2014-08-24,NICAP,0.0,647.0,623.0,623.0,9290.0,5848870.0
2014-08-25,NICAP,0.0,611.0,588.0,588.0,44266.0,26379156.0
2014-11-10,NICAP,0.0,577.0,577.0,577.0,3686.0,2126822.0
2014-11-18,NICAP,0.0,577.0,577.0,577.0,1800.0,1038600.0
2016-08-31,NICAP,0.0,451.0,451.0,451.0,9180.0,4140180.0
2017-06-18,NICAP,0.0,250.0,250.0,250.0,110052.0,27513000.0
2017-07-05,NICAP,0.0,250.0,250.0,250.0,7279.0,1819750.0
2017-07-20,NICAP,0.0,250.0,250.0,250.0,2996.0,749000.0
2018-02-26,NICAP,0.0,191.0,191.0,191.0,3269.0,624379.0
2018-06-26,NICAP,0.0,175.0,175.0,175.0,4367.0,764225.0
2018-07-03,NICAP,0.0,175.0,175.0,175.0,11128.0,1947400.0
2018-10-08,NICAP,0.0,230.0,230.0,230.0,10546.0,2425580.0
2018-10-10,NICAP,0.0,230.0,230.0,230.0,654.0,150420.0
2019-01-16,NICAP,0.0,250.0,250.0,250.0,76467.0,19116750.0
2019-01-21,NICAP,0.0,250.0,250.0,250.0,76467.0,19116750.0
2019-01-27,NICAP,0.0,250.0,250.0,250.0,30587.0,7646750.0
2019-02-19,NICAP,0.0,250.0,250.0,250.0,3225.0,806250.0
2019-05-20,NICAP,0.0,272.0,272.0,272.0,2823.0,767856.0
2019-06-27,NICAP,0.0,272.0,272.0,272.0,323.0,87856.0
2019-09-10,NICAP,0.0,246.0,246.0,246.0,15000.0,3690000.0
2019-11-04,NICAP,0.0,246.0,246.0,246.0,5000.0,1230000.0
2019-12-03,NICAP,0.0,250.0,250.0,250.0,19490.0,4872500.0
2020-03-22,NICAP,0.0,250.0,250.0,250.0,34555.0,8638750.0
2020-07-07,NICAP,0.0,245.0,245.0,245.0,15562.0,3812690.0
2020-07-13,NICAP,0.0,245.0,245.0,245.0,5520.0,1352400.0
2020-07-14,NICAP,0.0,245.0,245.0,245.0,606.0,148470.0
2020-11-08,NICAP,0.0,335.0,335.0,335.0,25000.0,8375000.0
2021-03-01,NICAP,0.0,510.0,510.0,510.0,3000.0,1530000.0
2021-03-22,NICAP,0.0,510.0,510.0,510.0,13921.0,7099710.0
2021-03-31,NICAP,0.0,500.0,500.0,500.0,18221.0,9110500.0
2021-04-06,NICAP,0.0,495.0,495.0,495.0,7000.0,3465000.0
2021-04-08,NICAP,0.0,495.0,495.0,495.0,15000.0,7425000.0
2021-06-30,NICAP,504.0,504.0,504.0,504.0,25000.0,12600000.0
2021-09-15,NICAP,504.0,504.0,504.0,504.0,721.0,363384.0
2021-09-27,NICAP,505.0,505.0,505.0,505.0,18222.0,9202110.0
2021-10-27,NICAP,505.0,505.0,505.0,505.0,663.0,334815.0
2021-10-31,NICAP,505.0,505.0,505.0,505.0,5048.0,2549240.0
2021-11-01,NICAP,505.0,505.0,505.0,505.0,1870.0,944350.0
2022-04-27,NICAP,438.0,438.0,438.0,438.0,6708.0,2938104.0
2022-08-07,NICAP,393.0,393.0,393.0,393.0,41130.0,16164090.0
2022-08-08,NICAP,385.2,385.2,385.2,385.2,160336.0,61761427.2
2022-10-17,NICAP,385.2,385.2,385.2,385.2,2000.0,860000.0
2022-10-20,NICAP,385.2,385.2,385.2,385.2,1000.0,435000.0
2022-10-23,NICAP,338.0,338.0,338.0,331.3,69275.0,22950807.5
2022-11-28,NICAP,331.3,331.3,331.3,331.3,1000.0,450000.0
2023-06-22,NICAP,331.3,331.3,331.3,331.3,1000.0,396000.0
2023-10-02,NICAP,331.3,331.3,331.3,331.3,7000.0,2629500.0
