BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-11-11,NICBF,0.0,10.3,10.0,10.3,50000.0,505700.0
2019-11-17,NICBF,0.0,10.1,10.1,10.1,200.0,2020.0
2019-11-28,NICBF,0.0,9.9,9.9,9.9,2100.0,20790.0
2019-12-09,NICBF,0.0,9.71,9.71,9.71,500.0,4855.0
2019-12-10,NICBF,0.0,9.52,9.52,9.52,100.0,952.0
2019-12-15,NICBF,0.0,9.5,9.5,9.5,500.0,4750.0
2019-12-16,NICBF,0.0,9.4,9.4,9.4,1000.0,9400.0
2019-12-19,NICBF,0.0,9.35,9.35,9.35,100.0,935.0
2019-12-22,NICBF,0.0,9.2,9.2,9.2,200.0,1840.0
2019-12-24,NICBF,0.0,9.02,9.02,9.02,100.0,902.0
2019-12-25,NICBF,0.0,8.9,8.9,8.9,100.0,890.0
2019-12-26,NICBF,0.0,8.85,8.85,8.85,250.0,2212.5
2019-12-29,NICBF,0.0,8.84,8.84,8.84,500.0,4420.0
2019-12-31,NICBF,0.0,9.01,8.69,9.01,1300.0,11542.0
2020-01-08,NICBF,0.0,9.0,9.0,9.0,200.0,1800.0
2020-01-14,NICBF,0.0,8.85,8.85,8.85,2000.0,17700.0
2020-01-16,NICBF,0.0,9.02,9.0,9.0,500.0,4502.0
2020-01-20,NICBF,0.0,9.21,9.03,9.21,150500.0,1386015.0
2020-01-21,NICBF,0.0,9.1,9.1,9.1,200.0,1820.0
2020-01-30,NICBF,0.0,9.0,9.0,9.0,1000.0,9000.0
2020-02-02,NICBF,0.0,9.1,8.94,9.1,1100.0,9994.0
2020-02-03,NICBF,0.0,9.2,9.2,9.2,2500.0,23000.0
2020-02-05,NICBF,0.0,9.05,9.05,9.05,1100.0,9955.0
2020-02-06,NICBF,0.0,9.0,8.92,8.93,1200.0,10750.5
2020-02-09,NICBF,0.0,9.0,9.0,9.0,2000.0,18000.0
2020-02-10,NICBF,0.0,9.18,9.18,9.18,400.0,3672.0
2020-02-11,NICBF,0.0,9.2,9.05,9.05,900.0,8220.0
2020-02-13,NICBF,0.0,9.06,9.06,9.06,200.0,1812.0
2020-02-16,NICBF,0.0,9.24,9.24,9.24,5000.0,46200.0
2020-02-17,NICBF,0.0,9.27,9.27,9.27,10000.0,92700.0
2020-02-18,NICBF,0.0,9.17,9.17,9.17,1100.0,10087.0
2020-02-19,NICBF,0.0,9.16,8.99,9.16,2400.0,21916.0
2020-02-20,NICBF,0.0,9.2,9.16,9.2,2700.0,24832.0
2020-02-23,NICBF,0.0,9.2,9.15,9.15,600.0,5515.0
2020-02-24,NICBF,0.0,9.19,9.01,9.19,20500.0,188305.0
2020-02-25,NICBF,0.0,9.25,9.05,9.25,700.0,6373.0
2020-02-26,NICBF,0.0,9.43,9.35,9.35,4400.0,41235.0
2020-02-27,NICBF,0.0,9.2,9.2,9.2,1000.0,9200.0
2020-03-01,NICBF,0.0,9.3,9.3,9.3,550.0,5115.0
2020-03-02,NICBF,0.0,9.48,9.48,9.48,500.0,4740.0
2020-03-03,NICBF,0.0,9.66,9.4,9.66,10400.0,100396.0
2020-03-04,NICBF,0.0,9.47,9.4,9.4,4300.0,40455.0
2020-03-11,NICBF,0.0,9.22,9.04,9.14,1000.0,9160.0
2020-03-12,NICBF,0.0,9.01,9.01,9.01,100.0,901.0
2020-03-18,NICBF,0.0,9.0,9.0,9.0,100.0,900.0
2020-07-05,NICBF,0.0,8.82,8.82,8.82,100.0,882.0
2020-07-06,NICBF,0.0,8.65,8.65,8.65,100.0,865.0
2020-07-07,NICBF,0.0,8.6,8.5,8.6,3800.0,32650.0
2020-07-08,NICBF,0.0,8.6,8.6,8.6,500.0,4300.0
2020-07-09,NICBF,0.0,8.52,8.5,8.52,1750.0,14883.0
2020-07-12,NICBF,0.0,8.67,8.5,8.67,3700.0,32042.0
2020-07-13,NICBF,0.0,8.8,8.59,8.8,500.0,4337.0
2020-07-14,NICBF,0.0,9.68,8.97,9.68,4750.0,45548.0
2020-07-15,NICBF,0.0,10.38,9.68,10.38,4800.0,47949.0
2020-07-21,NICBF,0.0,10.18,10.18,10.18,1300.0,13234.0
2020-07-23,NICBF,0.0,9.98,9.85,9.85,10100.0,100785.0
2020-07-26,NICBF,0.0,9.85,9.66,9.7,9000.0,87874.0
2020-07-27,NICBF,0.0,9.6,9.51,9.59,2650.0,25335.5
2020-07-28,NICBF,0.0,10.25,9.78,10.0,39400.0,394617.0
2020-07-29,NICBF,0.0,9.81,9.81,9.81,1000.0,9810.0
2020-07-30,NICBF,0.0,10.0,9.7,9.8,7550.0,75178.0
2020-08-02,NICBF,0.0,9.61,9.43,9.46,15750.0,148854.5
2020-08-03,NICBF,0.0,9.64,9.28,9.3,3800.0,36044.0
2020-08-05,NICBF,0.0,9.31,9.13,9.31,11300.0,103484.0
2020-08-06,NICBF,0.0,9.2,9.16,9.2,1400.0,12840.0
2020-08-09,NICBF,0.0,9.42,9.38,9.42,3700.0,34794.0
2020-08-10,NICBF,0.0,9.6,9.5,9.6,2000.0,19095.0
2020-08-11,NICBF,0.0,9.9,9.79,9.9,12500.0,123718.0
2020-08-12,NICBF,0.0,9.73,9.72,9.72,1400.0,13618.0
2020-08-13,NICBF,0.0,9.72,9.59,9.64,6000.0,58127.0
2020-08-16,NICBF,0.0,9.65,9.65,9.65,1200.0,11580.0
2020-08-18,NICBF,0.0,9.61,9.6,9.6,4600.0,44190.0
2020-08-19,NICBF,0.0,9.6,9.42,9.6,1400.0,13402.0
2020-08-20,NICBF,0.0,9.5,9.48,9.5,700.0,6648.0
2020-08-23,NICBF,0.0,9.5,9.44,9.45,6000.0,56674.0
2020-08-24,NICBF,0.0,9.55,9.5,9.5,12600.0,119780.0
2020-08-25,NICBF,0.0,9.45,9.4,9.45,15100.0,142690.0
2020-08-26,NICBF,0.0,9.49,9.46,9.49,700.0,6632.0
2020-08-27,NICBF,0.0,9.5,9.45,9.5,400.0,3792.0
2020-08-30,NICBF,0.0,9.46,9.44,9.46,300.0,2834.0
2020-08-31,NICBF,0.0,9.64,9.6,9.6,200.0,1924.0
2020-09-02,NICBF,0.0,10.0,9.79,10.0,4800.0,47849.0
2020-09-03,NICBF,0.0,10.05,10.0,10.01,25850.0,259594.0
2020-09-06,NICBF,0.0,10.05,10.02,10.03,4800.0,48146.0
2020-09-07,NICBF,0.0,10.0,9.84,9.96,2800.0,27769.0
2020-09-08,NICBF,0.0,10.0,9.81,10.0,900.0,8882.0
2020-09-09,NICBF,0.0,10.04,10.0,10.04,69750.0,700112.5
2020-09-10,NICBF,0.0,10.03,9.83,9.83,5650.0,55574.5
2020-09-16,NICBF,0.0,9.64,9.45,9.45,600.0,5765.0
2020-09-17,NICBF,0.0,9.27,9.09,9.1,6350.0,57923.5
2020-09-20,NICBF,0.0,9.1,9.1,9.1,5100.0,46410.0
2020-09-21,NICBF,0.0,9.0,8.93,8.95,3000.0,26899.0
2020-09-22,NICBF,0.0,8.95,8.8,8.82,3800.0,33815.0
2020-09-23,NICBF,0.0,8.99,8.82,8.84,2500.0,22282.0
2020-09-24,NICBF,0.0,8.99,8.7,8.99,18000.0,161462.0
2020-09-27,NICBF,0.0,9.0,8.82,9.0,2800.0,24980.0
