BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-05-15,NICD83/84,887.4,887.4,887.4,887.4,25,22185.0
2023-05-28,NICD83/84,905.1,905.1,905.0,905.0,150,135760.0
2023-06-01,NICD83/84,923.1,923.1,923.1,923.1,10,9231.0
2023-06-26,NICD83/84,930.0,930.0,930.0,930.0,25,23250.0
2023-07-04,NICD83/84,948.6,948.6,948.6,948.6,30,28458.0
2023-07-09,NICD83/84,967.5,986.8,967.5,986.8,20,19543.0
2023-07-11,NICD83/84,1006.5,1026.6,1006.5,1026.6,35,35428.5
2023-07-12,NICD83/84,1045.0,1074.0,1045.0,1074.0,60,63600.0
2023-07-13,NICD83/84,1090.0,1090.0,1090.0,1090.0,10,10900.0
2023-07-16,NICD83/84,1097.5,1097.5,1097.5,1097.5,10,10975.0
2023-12-05,NICD83/84,1075.6,1075.6,1030.0,1030.0,55,57378.0
2023-12-18,NICD83/84,1030.0,1030.0,1030.0,1030.0,50,51500.0
