BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-09-12,NICFC,10.0,10.0,9.81,10.0,2100,20866.0
2022-09-14,NICFC,9.81,9.81,9.0,9.0,16900,154177.0
2022-09-15,NICFC,8.82,8.82,8.1,8.28,14670,121282.7
2022-09-16,NICFC,8.12,8.24,7.97,8.1,15500,125755.7
2022-09-18,NICFC,8.1,8.16,8.1,8.1,5160,41960.5
2022-09-20,NICFC,7.95,8.26,7.95,8.0,3300,26544.0
2022-09-21,NICFC,7.84,8.58,7.84,7.98,5400,43245.0
2022-09-22,NICFC,7.83,8.0,7.83,8.0,3020,23891.0
2022-09-25,NICFC,8.02,8.02,7.77,7.8,2800,21947.0
2022-09-27,NICFC,7.65,7.86,7.65,7.74,2975,23121.5
2022-09-28,NICFC,7.59,7.73,7.3,7.6,2100,15897.0
2022-09-29,NICFC,7.59,7.71,7.59,7.7,800,6130.0
2022-10-09,NICFC,7.59,7.77,7.59,7.65,3100,23720.0
2022-10-10,NICFC,7.65,7.9,7.65,7.9,1800,13965.0
2022-10-11,NICFC,7.76,8.21,7.76,8.19,3800,30558.0
2022-10-12,NICFC,8.03,8.19,7.89,8.0,6475,52015.93
2022-10-13,NICFC,7.85,8.22,7.85,8.06,2775,21942.25
2022-10-16,NICFC,7.9,7.91,7.9,7.91,750,5926.0
2022-10-17,NICFC,7.8,8.01,7.8,7.9,2900,22890.14
2022-10-19,NICFC,7.8,8.05,7.8,7.9,2600,20564.0
2022-10-20,NICFC,7.9,8.0,7.86,8.0,1700,13556.0
2022-10-23,NICFC,7.86,8.0,7.86,7.9,1300,10244.0
2022-10-31,NICFC,8.0,8.1,8.0,8.1,2900,23350.0
2022-11-01,NICFC,7.94,8.06,7.94,8.0,2200,17517.0
2022-11-02,NICFC,8.0,8.1,8.0,8.0,2000,16030.0
2022-11-03,NICFC,7.99,8.0,7.85,7.85,3775,30007.25
2022-11-06,NICFC,7.85,7.9,7.82,7.87,1700,13341.0
2022-11-07,NICFC,7.8,8.16,7.8,8.16,8475,68472.0
2022-11-08,NICFC,8.06,8.25,8.06,8.1,1000,8121.0
2022-11-09,NICFC,8.0,8.1,7.95,7.97,4600,36691.0
2022-11-10,NICFC,7.97,7.97,7.83,7.86,1800,14238.0
2022-11-13,NICFC,7.71,7.86,7.71,7.86,1950,15247.0
2022-11-14,NICFC,7.85,7.9,7.76,7.79,600,4685.0
2022-11-15,NICFC,7.67,7.9,7.67,7.9,1300,10122.0
2022-11-16,NICFC,7.9,8.0,7.9,8.0,500,3990.0
2022-11-17,NICFC,7.85,8.2,7.85,8.0,1825,14563.25
2022-11-22,NICFC,7.86,7.87,7.86,7.87,2900,22797.0
2022-11-23,NICFC,7.87,7.9,7.85,7.9,2855,22532.75
2022-11-24,NICFC,7.86,7.94,7.86,7.94,2300,18128.0
2022-11-27,NICFC,7.85,8.09,7.85,7.93,1500,11868.0
2022-11-28,NICFC,7.85,7.9,7.85,7.9,700,5510.0
2022-11-29,NICFC,7.86,7.88,7.86,7.88,1850,14553.0
2022-11-30,NICFC,7.85,7.9,7.85,7.88,1600,12596.0
2022-12-01,NICFC,7.88,8.03,7.87,8.03,3600,28713.0
2022-12-04,NICFC,7.89,8.03,7.89,8.03,1800,14362.0
