BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2018-04-24,NICGF,0.0,10.0,10.0,10.0,1000.0,10000.0
2018-04-29,NICGF,0.0,9.81,9.8,9.8,1800.0,17650.0
2018-05-02,NICGF,0.0,9.6,9.5,9.5,1700.0,16220.0
2018-05-03,NICGF,0.0,9.5,9.4,9.5,1150.0,10835.0
2018-05-06,NICGF,0.0,9.5,9.5,9.5,900.0,8550.0
2018-05-08,NICGF,0.0,9.5,9.36,9.5,1600.0,15005.0
2018-05-10,NICGF,0.0,9.35,9.32,9.35,1000.0,9335.0
2018-05-16,NICGF,0.0,9.4,9.4,9.4,500.0,4700.0
2018-05-21,NICGF,0.0,9.23,9.23,9.23,1000.0,9230.0
2018-05-22,NICGF,0.0,9.23,9.23,9.23,140.0,1292.2
2018-05-27,NICGF,0.0,9.07,9.07,9.07,5000.0,45350.0
2018-05-28,NICGF,0.0,9.15,9.15,9.15,2000.0,18300.0
2018-05-29,NICGF,0.0,9.52,9.33,9.52,3700.0,34671.0
2018-05-31,NICGF,0.0,9.6,9.52,9.52,4600.0,44152.0
2018-06-04,NICGF,0.0,9.33,9.0,9.0,1600.0,14583.0
2018-06-07,NICGF,0.0,9.18,9.0,9.18,1100.0,10080.0
2018-06-10,NICGF,0.0,9.13,8.95,9.0,5600.0,50405.0
2018-06-11,NICGF,0.0,8.91,8.82,8.82,1100.0,9792.0
2018-06-13,NICGF,0.0,8.82,8.82,8.82,500.0,4410.0
2018-06-17,NICGF,0.0,9.0,9.0,9.0,500.0,4500.0
2018-06-18,NICGF,0.0,8.82,8.82,8.82,500.0,4410.0
2018-06-27,NICGF,0.0,8.9,8.9,8.9,1000.0,8900.0
2018-06-28,NICGF,0.0,9.05,9.0,9.0,1000.0,9025.0
2018-07-01,NICGF,0.0,9.1,9.03,9.1,3000.0,27235.0
2018-07-04,NICGF,0.0,9.03,8.95,8.95,1500.0,13505.0
2018-07-08,NICGF,0.0,9.13,9.0,9.0,400.0,3613.0
2018-07-11,NICGF,0.0,9.0,9.0,9.0,1000.0,9000.0
2018-07-12,NICGF,0.0,9.0,9.0,9.0,1825.0,16425.0
2018-07-16,NICGF,0.0,9.19,9.01,9.19,500.0,4523.0
2018-07-18,NICGF,0.0,9.37,9.18,9.18,3000.0,27654.0
2018-07-19,NICGF,0.0,9.55,9.18,9.55,1500.0,14040.0
2018-07-22,NICGF,0.0,9.55,9.36,9.55,1700.0,16135.0
2018-07-25,NICGF,0.0,9.55,9.36,9.55,10500.0,99155.0
2018-07-26,NICGF,0.0,9.4,9.4,9.4,1300.0,12220.0
2018-07-29,NICGF,0.0,9.4,9.21,9.21,2500.0,23215.0
2018-07-30,NICGF,0.0,9.2,9.05,9.2,5200.0,47810.0
2018-07-31,NICGF,0.0,9.08,9.05,9.07,1100.0,9982.0
2018-08-01,NICGF,0.0,8.93,8.89,8.89,15000.0,133550.0
2018-08-02,NICGF,0.0,9.07,9.07,9.07,2000.0,18140.0
2018-08-05,NICGF,0.0,9.07,9.01,9.01,5500.0,49855.0
2018-08-07,NICGF,0.0,9.0,9.0,9.0,100.0,900.0
2018-08-08,NICGF,0.0,8.9,8.9,8.9,100.0,890.0
2018-08-09,NICGF,0.0,8.72,8.72,8.72,200.0,1744.0
2018-08-13,NICGF,0.0,8.89,8.89,8.89,5000.0,44450.0
2018-08-14,NICGF,0.0,8.89,8.89,8.89,1000.0,8890.0
2018-08-16,NICGF,0.0,8.9,8.9,8.9,1000.0,8900.0
2018-08-20,NICGF,0.0,8.75,8.58,8.58,700.0,6040.0
2018-08-23,NICGF,0.0,8.6,8.6,8.6,1000.0,8600.0
2018-08-28,NICGF,0.0,8.6,8.6,8.6,2500.0,21500.0
2018-08-29,NICGF,0.0,8.57,8.57,8.57,100.0,857.0
2018-08-30,NICGF,0.0,8.74,8.74,8.74,1000.0,8740.0
2018-09-03,NICGF,0.0,9.27,8.91,9.27,5700.0,51003.0
2018-09-04,NICGF,0.0,9.31,9.31,9.31,400.0,3724.0
2018-09-05,NICGF,0.0,9.3,9.3,9.3,1000.0,9300.0
2018-09-06,NICGF,0.0,9.55,9.49,9.55,10000.0,95440.0
2018-09-09,NICGF,0.0,9.55,9.5,9.55,4500.0,42925.0
2018-09-10,NICGF,0.0,9.5,9.4,9.5,3625.0,34237.5
2018-09-12,NICGF,0.0,9.5,9.5,9.5,1000.0,9500.0
2018-09-13,NICGF,0.0,9.7,9.69,9.7,10100.0,97870.0
2018-09-16,NICGF,0.0,9.7,9.6,9.7,3600.0,34910.0
2018-09-17,NICGF,0.0,9.7,9.7,9.7,5000.0,48500.0
2018-09-18,NICGF,0.0,9.7,9.7,9.7,2200.0,21340.0
2018-09-20,NICGF,0.0,9.7,9.7,9.7,300.0,2910.0
