BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-18,NICL,0.0,275.0,252.0,252.0,1088.0,282644.0
2012-01-25,NICL,0.0,250.0,250.0,250.0,75.0,18750.0
2012-01-29,NICL,0.0,250.0,245.0,245.0,357.0,88440.0
2012-01-31,NICL,0.0,241.0,241.0,241.0,27.0,6507.0
2012-02-01,NICL,0.0,244.0,244.0,244.0,13.0,3172.0
2012-02-06,NICL,0.0,242.0,236.0,238.0,10686.0,2544892.0
2012-02-13,NICL,0.0,234.0,234.0,234.0,54.0,12636.0
2012-02-15,NICL,0.0,230.0,230.0,230.0,1201.0,276230.0
2012-02-28,NICL,0.0,230.0,230.0,230.0,48.0,11040.0
2012-02-29,NICL,0.0,227.0,226.0,227.0,270.0,61034.0
2012-03-01,NICL,0.0,223.0,223.0,223.0,39.0,8697.0
2012-03-04,NICL,0.0,219.0,215.0,215.0,163.0,35633.0
2012-03-06,NICL,0.0,211.0,211.0,211.0,377.0,79547.0
2012-03-11,NICL,0.0,211.0,211.0,211.0,13.0,2743.0
2012-03-18,NICL,211.0,207.0,207.0,207.0,13.0,2691.0
2012-03-19,NICL,0.0,203.0,203.0,203.0,46.0,9338.0
2012-03-21,NICL,0.0,199.0,196.0,196.0,375.0,74070.0
2012-03-28,NICL,0.0,193.0,190.0,190.0,1948.0,370420.0
2012-04-09,NICL,0.0,190.0,190.0,190.0,50.0,9500.0
2012-04-30,NICL,0.0,209.0,193.0,209.0,6097.0,1225363.0
2012-05-07,NICL,0.0,221.0,213.0,221.0,8082.0,1762590.0
2012-05-29,NICL,0.0,222.0,222.0,222.0,3170.0,703740.0
2012-06-12,NICL,0.0,202.0,198.0,200.0,557.0,111358.0
2012-06-13,NICL,0.0,204.0,200.0,204.0,163.0,32828.0
2012-07-30,NICL,0.0,208.0,208.0,208.0,116.0,24128.0
2012-08-14,NICL,0.0,212.0,212.0,212.0,136.0,28832.0
2012-08-15,NICL,0.0,209.0,209.0,209.0,246.0,51414.0
2012-09-09,NICL,0.0,219.0,219.0,219.0,20.0,4380.0
2012-09-11,NICL,0.0,229.0,229.0,229.0,20.0,4580.0
2012-09-12,NICL,0.0,240.0,240.0,240.0,20.0,4800.0
2012-09-13,NICL,0.0,252.0,252.0,252.0,20.0,5040.0
2012-09-16,NICL,0.0,264.0,264.0,264.0,20.0,5280.0
2012-09-17,NICL,0.0,282.0,277.0,282.0,184.0,51788.0
2012-09-18,NICL,0.0,286.0,286.0,286.0,20.0,5720.0
2012-09-19,NICL,0.0,300.0,294.0,294.0,3717.0,1093403.0
2012-09-20,NICL,0.0,323.0,308.0,323.0,56.0,17629.0
2012-09-23,NICL,0.0,345.0,339.0,339.0,282.0,95658.0
2012-09-24,NICL,0.0,334.0,321.0,321.0,135.0,44446.0
2012-11-25,NICL,0.0,320.0,315.0,315.0,273.0,86875.0
2012-12-03,NICL,0.0,311.0,290.0,290.0,127.0,38178.0
2012-12-05,NICL,0.0,299.0,295.0,299.0,478.0,142522.0
2012-12-11,NICL,0.0,295.0,294.0,294.0,512.0,150918.0
2012-12-12,NICL,0.0,290.0,290.0,290.0,19.0,5510.0
2012-12-16,NICL,0.0,290.0,290.0,290.0,13.0,3770.0
2012-12-20,NICL,0.0,291.0,291.0,291.0,62.0,18042.0
2012-12-23,NICL,0.0,291.0,291.0,291.0,624.0,181584.0
2012-12-24,NICL,0.0,301.0,296.0,301.0,761.0,227786.0
2012-12-26,NICL,0.0,307.0,307.0,307.0,624.0,191568.0
2012-12-31,NICL,0.0,307.0,307.0,307.0,859.0,263713.0
2013-02-05,NICL,0.0,256.0,256.0,256.0,5149.0,1318144.0
2013-03-05,NICL,0.0,251.0,246.0,246.0,205.0,50930.0
2013-03-20,NICL,246.0,250.0,249.0,250.0,257.0,64193.0
2013-04-03,NICL,0.0,247.0,247.0,247.0,50.0,12350.0
2013-04-04,NICL,0.0,246.0,246.0,246.0,50.0,12300.0
2013-04-29,NICL,0.0,249.0,249.0,249.0,32.0,7968.0
2013-05-02,NICL,0.0,245.0,245.0,245.0,100.0,24500.0
2013-05-09,NICL,0.0,245.0,245.0,245.0,51.0,12495.0
2013-05-20,NICL,0.0,245.0,245.0,245.0,317.0,77665.0
2013-06-03,NICL,0.0,249.0,249.0,249.0,454.0,113046.0
2013-06-10,NICL,0.0,253.0,253.0,253.0,2600.0,657800.0
2013-06-27,NICL,0.0,253.0,245.0,253.0,11628.0,2906797.0
2013-07-09,NICL,0.0,250.0,250.0,250.0,11031.0,2757750.0
2013-07-22,NICL,0.0,245.0,233.0,233.0,617.0,145093.0
2013-07-30,NICL,0.0,241.0,237.0,241.0,22.0,5258.0
2013-08-06,NICL,0.0,249.0,245.0,249.0,595.0,147043.0
2013-08-07,NICL,0.0,258.0,253.0,258.0,1354.0,347942.0
2013-08-08,NICL,0.0,273.0,253.0,273.0,2754.0,709552.0
2013-08-11,NICL,0.0,278.0,273.0,273.0,5333.0,1470920.0
2013-08-12,NICL,0.0,268.0,249.0,250.0,3487.0,871878.0
2013-08-15,NICL,0.0,246.0,244.0,244.0,99.0,24236.0
2013-08-25,NICL,0.0,248.0,248.0,248.0,716.0,177568.0
2013-08-29,NICL,0.0,267.0,252.0,267.0,5000.0,1290000.0
2013-09-01,NICL,0.0,282.0,272.0,282.0,3879.0,1070088.0
2013-09-02,NICL,0.0,287.0,287.0,287.0,17.0,4879.0
2013-09-04,NICL,0.0,282.0,272.0,272.0,716.0,201657.0
2013-09-05,NICL,0.0,272.0,272.0,272.0,2021.0,549712.0
2013-09-08,NICL,0.0,287.0,277.0,287.0,74.0,20983.0
2013-09-10,NICL,0.0,302.0,292.0,302.0,1240.0,370770.0
2013-09-11,NICL,0.0,328.0,308.0,319.0,5123.0,1636024.0
2013-09-15,NICL,0.0,313.0,313.0,313.0,287.0,89831.0
2013-09-24,NICL,0.0,319.0,319.0,319.0,25.0,7975.0
2013-10-03,NICL,0.0,350.0,320.0,350.0,3129.0,1005312.0
2013-10-06,NICL,0.0,385.0,357.0,385.0,150.0,56098.0
2013-10-07,NICL,0.0,410.0,380.0,410.0,6097.0,2400630.0
2013-10-08,NICL,0.0,423.0,415.0,423.0,313.0,130551.0
2013-10-10,NICL,0.0,446.0,430.0,446.0,177.0,77142.0
2013-10-21,NICL,0.0,446.0,439.0,439.0,650.0,285700.0
2013-10-22,NICL,0.0,440.0,438.0,440.0,1033.0,454317.0
2013-10-24,NICL,0.0,440.0,440.0,440.0,24.0,10560.0
2013-12-01,NICL,0.0,452.0,443.0,443.0,5812.0,2581224.0
2013-12-02,NICL,0.0,460.0,451.0,460.0,38.0,17327.0
2013-12-04,NICL,0.0,496.0,469.0,496.0,40.0,19300.0
2013-12-05,NICL,0.0,505.0,505.0,505.0,469.0,236845.0
2013-12-08,NICL,0.0,520.0,510.0,520.0,2549.0,1307445.0
2013-12-09,NICL,0.0,550.0,520.0,540.0,5866.0,3064880.0
2013-12-10,NICL,0.0,535.0,530.0,530.0,687.0,366595.0
2013-12-11,NICL,0.0,520.0,520.0,520.0,500.0,260000.0
2013-12-15,NICL,0.0,540.0,530.0,540.0,975.0,521440.0
2013-12-22,NICL,0.0,550.0,550.0,550.0,31.0,17050.0
2013-12-23,NICL,0.0,561.0,561.0,561.0,38.0,21318.0
2013-12-26,NICL,0.0,572.0,572.0,572.0,400.0,228800.0
2013-12-29,NICL,0.0,561.0,561.0,561.0,72.0,40392.0
2013-12-31,NICL,0.0,560.0,560.0,560.0,1000.0,560000.0
2014-01-01,NICL,0.0,560.0,540.0,540.0,2250.0,1240500.0
2014-01-02,NICL,0.0,530.0,530.0,530.0,1000.0,530000.0
2014-01-05,NICL,0.0,520.0,520.0,520.0,25.0,13000.0
2014-01-06,NICL,0.0,529.0,529.0,529.0,172.0,90988.0
2014-01-07,NICL,0.0,520.0,520.0,520.0,209.0,108680.0
2014-01-08,NICL,0.0,530.0,530.0,530.0,1226.0,649780.0
2014-01-12,NICL,0.0,520.0,520.0,520.0,133.0,69160.0
2014-01-13,NICL,0.0,519.0,509.0,519.0,3684.0,1883188.0
2014-01-14,NICL,0.0,530.0,525.0,530.0,3262.0,1726305.0
2014-01-16,NICL,0.0,535.0,535.0,535.0,500.0,267500.0
2014-01-20,NICL,0.0,583.0,545.0,583.0,2020.0,1125660.0
2014-01-21,NICL,0.0,617.0,594.0,617.0,1617.0,978902.0
2014-01-22,NICL,0.0,625.0,615.0,615.0,521.0,320625.0
2014-01-23,NICL,0.0,640.0,620.0,620.0,2496.0,1572687.0
2014-01-27,NICL,0.0,630.0,630.0,630.0,551.0,347130.0
2014-01-28,NICL,0.0,642.0,642.0,642.0,1000.0,642000.0
2014-01-29,NICL,0.0,652.0,640.0,640.0,3000.0,1926000.0
2014-02-02,NICL,0.0,645.0,640.0,642.0,1368.0,879367.0
2014-02-03,NICL,0.0,650.0,621.0,621.0,4995.0,3114895.0
2014-02-04,NICL,0.0,632.0,620.0,632.0,613.0,381500.0
2014-02-05,NICL,0.0,639.0,615.0,629.0,8571.0,5307385.0
2014-02-06,NICL,0.0,620.0,615.0,620.0,656.0,406092.0
2014-02-09,NICL,0.0,632.0,619.0,632.0,720.0,448520.0
2014-02-10,NICL,0.0,644.0,632.0,640.0,5549.0,3550860.0
