BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-03-20,NIMBPO,107.1,111.3,107.1,111.3,30,3276.0
2023-03-22,NIMBPO,113.5,122.4,113.5,122.4,50,5899.0
2023-03-23,NIMBPO,124.8,134.6,124.8,134.6,10030,1300891.0
2023-03-26,NIMBPO,137.2,148.0,137.2,148.0,140,20149.0
2023-03-27,NIMBPO,150.9,162.8,150.9,162.8,8017,1299431.4
2023-03-28,NIMBPO,166.0,169.0,163.0,166.2,27095,4499126.2
2023-03-29,NIMBPO,169.5,169.5,163.7,166.0,4654,768990.0
2023-03-30,NIMBPO,163.2,166.8,163.0,163.5,3234,533244.0
2023-04-02,NIMBPO,163.5,163.0,159.0,159.1,24649,3960901.0
2023-04-03,NIMBPO,158.0,163.5,156.0,162.0,13812,2190350.6
2023-04-04,NIMBPO,160.0,168.5,159.0,162.0,2917,478665.2
2023-04-05,NIMBPO,161.1,167.0,161.1,162.7,9966,1648459.1
2023-04-06,NIMBPO,165.9,168.9,164.0,168.9,3553,588223.0
2023-04-09,NIMBPO,165.6,167.0,162.0,164.1,13324,2189766.1
2023-04-10,NIMBPO,166.0,166.0,164.2,165.0,7331,1212038.8
2023-04-11,NIMBPO,168.3,169.3,163.2,166.0,12807,2130920.5
2023-04-12,NIMBPO,169.3,175.0,169.3,175.0,13492,2337591.0
2023-04-13,NIMBPO,176.9,189.3,169.1,189.3,15127,2610140.0
2023-04-16,NIMBPO,185.6,185.6,180.4,180.4,250,45470.0
2023-04-17,NIMBPO,180.4,180.4,180.4,180.4,50,9020.0
2023-04-18,NIMBPO,180.4,180.4,173.4,173.4,32595,5801390.0
2023-04-20,NIMBPO,180.0,180.0,180.0,180.0,300,54000.0
2023-04-23,NIMBPO,176.4,176.4,166.5,168.0,6613,1113082.8
2023-04-24,NIMBPO,168.0,171.3,168.0,171.3,4680,786834.0
2023-04-25,NIMBPO,167.9,171.3,167.9,168.1,2763,470691.2
2023-04-26,NIMBPO,168.0,174.8,168.0,172.9,16578,2831572.7
2023-04-27,NIMBPO,169.5,174.4,169.5,171.0,3079,523561.1
2023-04-30,NIMBPO,171.0,172.6,168.0,168.0,11688,1998309.8
2023-05-02,NIMBPO,168.0,177.3,168.0,170.6,49414,8356838.8
2023-05-03,NIMBPO,173.9,173.9,168.6,173.9,6950,1197539.6
2023-05-04,NIMBPO,175.0,175.0,171.6,171.6,2011,345872.8
2023-05-07,NIMBPO,170.0,170.0,170.0,170.0,91,15470.0
2023-05-08,NIMBPO,168.0,176.8,168.0,176.8,1623,278480.4
2023-05-09,NIMBPO,173.3,173.3,169.9,169.9,114,19704.0
2023-05-10,NIMBPO,171.0,173.0,166.0,166.0,7583,1278258.4
2023-05-11,NIMBPO,169.0,172.6,169.0,172.6,121,20815.6
2023-05-15,NIMBPO,169.3,169.3,167.0,167.0,1697,284703.0
2023-05-16,NIMBPO,167.0,167.0,167.0,167.0,524,87508.0
2023-05-17,NIMBPO,168.0,168.0,168.0,168.0,500,84000.0
2023-05-18,NIMBPO,171.0,184.8,171.0,181.2,5754,1005832.0
2023-05-21,NIMBPO,177.6,177.6,172.0,172.0,1894,330783.7
2023-05-22,NIMBPO,173.9,173.9,173.9,173.9,37,6434.3
2023-05-23,NIMBPO,173.9,176.0,173.9,176.0,3708,651227.8
2023-05-24,NIMBPO,175.5,175.5,173.0,173.0,2027,350931.0
2023-05-28,NIMBPO,169.6,176.0,169.0,174.0,5573,957773.3
2023-05-30,NIMBPO,170.6,173.0,160.8,171.0,19738,3286295.6
2023-05-31,NIMBPO,167.6,167.6,156.4,156.4,32803,5291162.2
2023-06-01,NIMBPO,158.0,164.3,147.1,147.1,44297,6867755.9
2023-06-04,NIMBPO,146.0,161.8,146.0,158.6,6644,1064861.6
2023-06-05,NIMBPO,161.0,161.6,156.2,156.2,3930,631986.4
2023-06-06,NIMBPO,158.0,159.0,156.0,159.0,5139,807982.0
2023-06-07,NIMBPO,156.0,159.1,156.0,159.1,1567,248503.0
2023-06-08,NIMBPO,161.0,161.0,157.0,159.0,6948,1098182.0
2023-06-11,NIMBPO,156.2,160.0,156.2,159.0,8890,1400435.0
2023-06-12,NIMBPO,159.0,160.0,155.0,156.1,9005,1409744.5
2023-06-13,NIMBPO,155.5,162.9,153.0,162.5,12001,1861820.1
2023-06-14,NIMBPO,159.3,163.0,156.2,161.0,19308,3085077.5
2023-06-15,NIMBPO,160.0,160.0,154.0,156.0,8331,1307209.0
2023-06-18,NIMBPO,155.1,156.2,155.1,155.1,8262,1285163.1
2023-06-19,NIMBPO,157.9,157.9,155.0,155.2,7278,1141477.6
2023-06-20,NIMBPO,156.2,156.6,156.2,156.5,12437,1946300.5
2023-06-21,NIMBPO,156.5,156.5,155.1,155.1,2000,310934.0
2023-06-22,NIMBPO,157.0,157.0,155.1,155.1,23723,3688922.9
2023-06-25,NIMBPO,157.0,164.5,157.0,164.5,15033,2391321.4
2023-06-26,NIMBPO,165.0,175.0,165.0,171.5,9457,1586358.0
