BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2013-11-14,NLICLP,0.0,620.0,620.0,620.0,31500.0,19530000.0
2014-01-01,NLICLP,0.0,620.0,620.0,620.0,8580.0,5319600.0
2014-01-14,NLICLP,0.0,608.0,608.0,608.0,11500.0,6992000.0
2014-01-16,NLICLP,0.0,620.0,620.0,620.0,17160.0,10639200.0
2014-03-06,NLICLP,0.0,620.0,620.0,620.0,8580.0,5319600.0
2014-04-20,NLICLP,0.0,608.0,608.0,608.0,3500.0,2128000.0
2014-04-29,NLICLP,0.0,620.0,620.0,620.0,5000.0,3100000.0
2014-05-07,NLICLP,0.0,632.0,632.0,632.0,5000.0,3160000.0
2014-05-22,NLICLP,0.0,644.0,644.0,644.0,2200.0,1416800.0
2014-05-25,NLICLP,0.0,656.0,656.0,656.0,8580.0,5628480.0
2014-05-28,NLICLP,0.0,650.0,650.0,650.0,52000.0,33800000.0
2014-08-19,NLICLP,0.0,650.0,650.0,650.0,28759.0,18693350.0
2014-08-28,NLICLP,0.0,650.0,650.0,650.0,28759.0,18693350.0
2014-10-14,NLICLP,0.0,689.0,663.0,689.0,1500.0,1014000.0
2014-10-15,NLICLP,0.0,730.0,702.0,702.0,17317.0,12263872.0
2014-10-16,NLICLP,0.0,744.0,716.0,744.0,1500.0,1095000.0
2014-10-19,NLICLP,0.0,773.0,758.0,773.0,1000.0,765500.0
2014-10-20,NLICLP,0.0,819.0,788.0,819.0,1500.0,1205000.0
2014-10-21,NLICLP,0.0,851.0,835.0,851.0,1000.0,843000.0
2014-10-22,NLICLP,0.0,902.0,868.0,902.0,1500.0,1327500.0
2014-10-26,NLICLP,0.0,956.0,920.0,956.0,1500.0,1407000.0
2014-10-27,NLICLP,0.0,1000.0,975.0,1000.0,35583.0,35567500.0
2014-12-08,NLICLP,0.0,1000.0,1000.0,1000.0,16247.0,16247000.0
2014-12-11,NLICLP,0.0,1000.0,1000.0,1000.0,3822.0,3822000.0
2014-12-14,NLICLP,0.0,980.0,980.0,980.0,2660.0,2606800.0
2015-01-22,NLICLP,0.0,980.0,980.0,980.0,1000.0,980000.0
2015-03-10,NLICLP,0.0,1078.0,999.0,1078.0,5000.0,5191000.0
2015-03-11,NLICLP,0.0,1100.0,1090.0,1100.0,95000.0,104450000.0
2015-04-08,NLICLP,0.0,1100.0,1100.0,1100.0,40000.0,44000000.0
2015-04-15,NLICLP,0.0,1078.0,1078.0,1078.0,3000.0,3234000.0
2015-04-21,NLICLP,0.0,1078.0,1078.0,1078.0,20850.0,22476300.0
2015-06-09,NLICLP,0.0,1057.0,1036.0,1036.0,5400.0,5657400.0
2015-06-17,NLICLP,0.0,1020.0,1000.0,1000.0,23000.0,23060000.0
2015-07-15,NLICLP,0.0,1020.0,1000.0,1020.0,39000.0,39140000.0
2015-08-06,NLICLP,0.0,1025.0,1025.0,1025.0,50000.0,51250000.0
2015-09-10,NLICLP,0.0,1005.0,1005.0,1005.0,1620.0,1628100.0
2015-09-22,NLICLP,0.0,1025.0,1025.0,1025.0,13000.0,13325000.0
2016-07-10,NLICLP,0.0,1755.0,1755.0,1755.0,2015.0,3536325.0
2016-11-16,NLICLP,0.0,1755.0,1755.0,1755.0,3120.0,5475600.0
2016-11-22,NLICLP,0.0,1720.0,1686.0,1686.0,1000.0,1686340.0
2016-11-23,NLICLP,0.0,1686.0,1686.0,1686.0,8700.0,14668200.0
2017-04-25,NLICLP,0.0,1375.0,1375.0,1375.0,25000.0,34375000.0
2017-07-11,NLICLP,0.0,1348.0,1250.0,1250.0,78000.0,97502370.0
2017-08-17,NLICLP,0.0,1225.0,1195.0,1195.0,28000.0,33460360.0
2017-10-16,NLICLP,0.0,1172.0,1172.0,1172.0,14042.0,16457224.0
2017-10-18,NLICLP,0.0,1175.0,1175.0,1175.0,37500.0,44062500.0
2018-03-05,NLICLP,0.0,715.0,715.0,715.0,218.0,155870.0
2018-06-17,NLICLP,0.0,695.0,695.0,695.0,306.0,212670.0
2018-06-24,NLICLP,0.0,690.0,690.0,690.0,30000.0,20700000.0
2018-06-26,NLICLP,0.0,700.0,700.0,700.0,1560.0,1092000.0
2018-10-25,NLICLP,0.0,400.0,400.0,400.0,1200.0,480000.0
2019-03-14,NLICLP,0.0,400.0,400.0,1070.0,196262.0,210000340.0
2020-07-06,NLICLP,0.0,323.0,323.0,323.0,8500.0,2745500.0
2020-10-01,NLICLP,0.0,418.0,418.0,418.0,10000.0,4180000.0
2020-10-14,NLICLP,0.0,418.0,418.0,418.0,814.0,340252.0
2021-04-19,NLICLP,0.0,636.0,636.0,636.0,10000.0,6360000.0
2021-06-20,NLICLP,636.0,636.0,636.0,636.0,78426.0,36851329.0
2021-07-25,NLICLP,636.0,636.0,636.0,636.0,2680.0,1539960.0
2021-09-21,NLICLP,636.0,636.0,636.0,636.0,5500.0,3498000.0
2022-02-24,NLICLP,591.0,591.0,591.0,591.0,5647.0,3337377.0
2022-03-02,NLICLP,591.0,591.0,591.0,591.0,47942.0,19308445.0
2022-03-07,NLICLP,591.0,591.0,591.0,591.0,32430.0,14199873.0
2022-09-14,NLICLP,300.0,300.0,300.0,300.0,6162.0,616200.0
2022-11-16,NLICLP,311.7,311.7,305.5,305.5,13693.0,4225656.7
2022-11-17,NLICLP,299.4,299.4,299.4,299.4,13693.0,4099684.2
2022-11-22,NLICLP,293.5,293.5,293.5,293.5,18257.0,5358429.5
