BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-08,NLO,0.0,246.0,246.0,246.0,14.0,3444.0
2012-09-13,NLO,0.0,242.0,242.0,242.0,12.0,2904.0
2014-01-29,NLO,0.0,246.0,246.0,246.0,36.0,8856.0
2014-03-25,NLO,0.0,209.0,209.0,209.0,178.0,37202.0
2015-01-05,NLO,0.0,213.0,213.0,213.0,17.0,3621.0
2015-04-13,NLO,0.0,213.0,213.0,213.0,681.0,145053.0
2019-07-25,NLO,0.0,210.0,202.0,210.0,73.0,15046.0
2019-07-28,NLO,0.0,214.0,214.0,214.0,19.0,4102.0
2019-07-29,NLO,0.0,214.0,214.0,214.0,8.0,1736.0
2020-02-23,NLO,0.0,187.0,187.0,187.0,3500.0,654500.0
2020-09-22,NLO,0.0,190.0,190.0,190.0,80.0,15200.0
2020-10-18,NLO,0.0,199.0,199.0,199.0,10.0,1990.0
2020-11-04,NLO,0.0,208.0,208.0,208.0,10.0,2080.0
2020-11-05,NLO,0.0,218.0,218.0,218.0,10.0,2180.0
2020-11-23,NLO,0.0,228.0,228.0,228.0,10.0,2280.0
2020-12-02,NLO,0.0,238.0,238.0,238.0,10.0,2380.0
2020-12-09,NLO,0.0,249.0,249.0,249.0,24.0,5976.0
2020-12-28,NLO,0.0,261.0,261.0,261.0,10.0,2610.0
2021-02-09,NLO,0.0,274.0,274.0,274.0,10.0,2740.0
2021-05-20,NLO,0.0,287.0,287.0,287.0,10.0,2870.0
2021-05-23,NLO,0.0,301.0,301.0,301.0,10.0,3010.0
2021-07-05,NLO,316.0,316.0,316.0,316.0,10.0,3160.0
2022-03-06,NLO,247.8,252.7,247.8,252.7,255.0,64389.5
2022-05-10,NLO,252.7,252.7,252.7,252.7,6.0,1531.2
2022-05-11,NLO,252.7,252.7,252.7,252.7,3.0,772.8
2022-09-04,NLO,252.7,252.7,252.7,252.7,8.0,2048.0
2022-09-13,NLO,257.7,257.7,257.7,257.7,36.0,9277.2
2022-09-16,NLO,262.8,262.8,262.8,262.8,10.0,2628.0
2022-09-18,NLO,268.0,273.3,268.0,273.3,20.0,5413.0
2022-09-29,NLO,278.7,284.2,278.7,284.2,91.0,25807.2
2022-11-28,NLO,231.9,241.2,231.9,241.2,188.0,45205.6
2022-12-11,NLO,241.2,241.2,241.2,241.2,9.0,2128.5
2023-02-01,NLO,246.0,246.0,246.0,246.0,10.0,2460.0
2023-04-06,NLO,250.9,255.9,250.9,255.9,46.0,11721.4
2023-05-23,NLO,255.9,255.9,255.9,255.9,1.0,254.0
2023-06-11,NLO,255.9,255.9,255.9,255.9,1.0,250.8
2023-07-16,NLO,261.0,261.0,261.0,261.0,15.0,3915.0
2023-07-24,NLO,266.2,266.2,266.2,266.2,15.0,3993.0
2023-08-07,NLO,266.2,266.2,266.2,266.2,23.0,6216.9
2023-09-19,NLO,271.5,271.5,271.5,271.5,10.0,2715.0
2023-10-12,NLO,276.9,282.4,276.9,282.4,20.0,5593.0
2024-01-23,NLO,230.4,248.5,230.4,248.5,57.0,13719.5
