BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-10-27,NMBD2085,1030.0,1030.0,1030.0,1030.0,10,10300.0
2021-11-08,NMBD2085,1015.0,1020.0,1015.0,1020.0,177,179705.0
2021-11-09,NMBD2085,1000.0,1000.0,1000.0,1000.0,25,25000.0
2021-11-11,NMBD2085,1010.0,1010.0,1010.0,1010.0,50,50500.0
2021-11-14,NMBD2085,1001.0,1001.0,1001.0,1001.0,25,25025.0
2021-11-16,NMBD2085,999.0,999.0,999.0,999.0,25,24975.0
2021-11-18,NMBD2085,1000.0,1000.5,999.6,1000.5,100,100015.0
2021-11-21,NMBD2085,996.7,996.7,996.7,996.7,25,24917.5
2021-11-23,NMBD2085,1000.0,1000.0,999.1,999.1,50,49971.2
2021-11-24,NMBD2085,1017.9,1018.0,1015.0,1018.0,75,76304.0
2021-12-15,NMBD2085,1010.0,1018.0,1010.0,1018.0,125,127050.0
2021-12-21,NMBD2085,1000.0,1000.0,992.5,992.5,25,24887.5
2021-12-22,NMBD2085,993.5,993.5,993.5,993.5,25,24837.5
2021-12-27,NMBD2085,1000.0,1000.0,1000.0,1000.0,200,200000.0
2022-01-02,NMBD2085,1005.0,1005.0,1005.0,1005.0,50,50250.0
2022-01-03,NMBD2085,1020.0,1025.0,1020.0,1025.0,60,61250.0
2022-01-05,NMBD2085,1025.0,1025.0,1025.0,1025.0,25,25625.0
2022-01-10,NMBD2085,1025.0,1025.0,1025.0,1025.0,25,25625.0
2022-01-11,NMBD2085,1025.0,1030.0,1025.0,1030.0,75,77000.0
2022-01-17,NMBD2085,1009.4,1009.4,989.3,989.3,50,49967.5
2022-01-23,NMBD2085,970.0,970.0,970.0,970.0,25,24250.0
2022-01-26,NMBD2085,985.0,985.0,985.0,985.0,300,295500.0
2022-02-01,NMBD2085,990.0,990.0,990.0,990.0,200,198000.0
2022-06-28,NMBD2085,970.2,970.2,950.8,950.8,202,194040.4
2022-07-04,NMBD2085,931.8,931.8,931.8,931.8,25,23295.0
2022-07-05,NMBD2085,931.0,931.0,931.0,931.0,25,23275.0
2022-07-19,NMBD2085,914.0,914.0,914.0,914.0,235,214790.0
2022-07-24,NMBD2085,900.1,900.1,900.1,900.1,25,22502.5
2022-07-28,NMBD2085,900.1,900.1,896.0,896.0,227,203597.0
2022-08-01,NMBD2085,896.0,896.0,896.0,896.0,25,22400.0
2022-08-31,NMBD2085,913.9,913.9,903.0,903.0,160,144589.0
2022-09-08,NMBD2085,921.0,921.0,921.0,921.0,327,301167.0
2022-09-14,NMBD2085,932.5,932.5,932.5,932.5,53,49422.5
2022-09-18,NMBD2085,930.0,930.0,930.0,930.0,27,25110.0
2022-10-09,NMBD2085,930.0,930.0,930.0,930.0,21,19530.0
2023-01-05,NMBD2085,911.4,911.4,911.4,911.4,20,18228.0
2023-03-09,NMBD2085,929.5,929.5,929.5,929.5,30,27885.0
2023-03-22,NMBD2085,912.0,912.0,912.0,912.0,25,22800.0
2023-05-15,NMBD2085,893.8,893.8,893.8,893.8,25,22345.0
2023-06-06,NMBD2085,878.0,878.0,878.0,878.0,25,21950.0
2023-06-14,NMBD2085,880.1,880.1,880.1,880.1,10,8801.0
2023-07-12,NMBD2085,897.7,897.7,897.7,897.7,25,22442.5
2023-07-13,NMBD2085,915.6,987.4,915.6,987.4,50,47609.0
2023-07-16,NMBD2085,1001.0,1001.0,1001.0,1001.0,10,10010.0
2023-07-18,NMBD2085,981.0,981.0,981.0,981.0,10,9810.0
2023-08-14,NMBD2085,961.4,961.4,961.4,961.4,25,24035.0
2023-08-27,NMBD2085,975.0,980.6,975.0,980.6,49,47909.4
2023-11-05,NMBD2085,961.0,961.0,961.0,961.0,10,9610.0
2023-11-26,NMBD2085,961.1,961.1,961.1,961.1,25,24027.5
2023-11-27,NMBD2085,943.0,943.0,943.0,943.0,25,23575.0
2023-12-07,NMBD2085,961.8,961.8,961.8,961.8,49,47128.2
2023-12-11,NMBD2085,965.0,984.0,965.0,984.0,90,87635.0
2023-12-13,NMBD2085,990.0,995.0,990.0,995.0,100,99250.0
2023-12-14,NMBD2085,976.0,976.0,976.0,976.0,25,24400.0
2023-12-18,NMBD2085,965.0,994.0,965.0,994.0,1000,975450.0
2024-01-01,NMBD2085,998.0,998.0,998.0,998.0,50,49900.0
2024-01-09,NMBD2085,982.0,982.0,982.0,982.0,50,49100.0
2024-01-16,NMBD2085,979.0,979.0,979.0,979.0,300,293700.0
2024-01-18,NMBD2085,960.0,960.0,960.0,960.0,19,18240.0
2024-01-24,NMBD2085,955.0,955.0,955.0,955.0,25,23875.0
2024-01-25,NMBD2085,970.0,970.0,970.0,970.0,25,24250.0
