BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-11-30,NMBD87/88,1000.0,1000.0,1000.0,1000.0,25,25000.0
2023-01-29,NMBD87/88,980.0,980.0,980.0,980.0,25,24500.0
2023-04-27,NMBD87/88,960.4,960.4,886.6,886.6,85,79115.0
2023-05-04,NMBD87/88,869.0,869.0,834.7,834.7,55,46421.5
2023-05-07,NMBD87/88,818.1,818.1,755.0,761.0,155,118779.0
2023-05-08,NMBD87/88,756.1,762.0,747.1,756.3,215,162668.7
2023-05-09,NMBD87/88,771.4,780.0,771.2,772.0,166,128272.0
2023-05-10,NMBD87/88,760.0,821.9,760.0,776.0,120,93829.0
2023-05-14,NMBD87/88,763.2,763.2,762.1,762.1,70,53404.2
2023-05-17,NMBD87/88,763.5,763.5,763.5,763.5,70,53445.0
2023-05-23,NMBD87/88,763.9,763.9,763.9,763.9,50,38195.0
2023-05-24,NMBD87/88,765.0,765.0,765.0,765.0,25,19125.0
2023-05-28,NMBD87/88,765.0,827.0,765.0,811.0,100,79271.0
2023-05-30,NMBD87/88,810.0,810.0,810.0,810.0,10,8100.0
2023-06-06,NMBD87/88,809.0,809.0,805.0,805.0,25,20185.0
2023-06-07,NMBD87/88,790.0,790.0,780.0,780.0,50,39250.0
2023-06-08,NMBD87/88,780.0,780.0,765.1,765.1,50,38701.0
2023-06-14,NMBD87/88,780.4,780.4,765.1,765.1,40,30833.5
2023-06-15,NMBD87/88,775.0,775.0,775.0,775.0,25,19375.0
2023-06-18,NMBD87/88,790.5,790.5,790.5,790.5,20,15810.0
2023-06-19,NMBD87/88,790.0,790.0,790.0,790.0,25,19750.0
2023-06-27,NMBD87/88,785.1,800.0,785.0,800.0,200,159101.5
2023-07-06,NMBD87/88,800.0,800.0,800.0,800.0,75,60000.0
2023-07-11,NMBD87/88,795.0,795.0,790.1,790.1,62,49157.7
2023-07-12,NMBD87/88,790.1,790.1,790.1,790.1,25,19752.5
2023-07-13,NMBD87/88,805.9,805.9,805.9,805.9,15,12088.5
2023-07-17,NMBD87/88,789.8,789.8,789.8,789.8,15,11847.0
2023-07-18,NMBD87/88,789.8,837.5,789.8,837.5,110,89272.5
2023-07-19,NMBD87/88,820.8,820.8,820.8,820.8,15,12312.0
2023-07-23,NMBD87/88,815.0,815.0,815.0,815.0,25,20375.0
2023-07-24,NMBD87/88,810.0,810.0,810.0,810.0,25,20250.0
2023-07-30,NMBD87/88,823.0,823.0,823.0,823.0,25,20575.0
2023-08-23,NMBD87/88,807.0,807.0,790.0,790.0,90,71658.5
2023-08-24,NMBD87/88,775.0,775.0,775.0,775.0,10,7750.0
2023-08-27,NMBD87/88,760.0,760.0,760.0,760.0,15,11400.0
2023-08-28,NMBD87/88,775.2,775.2,762.6,762.6,50,38445.0
2023-09-03,NMBD87/88,777.8,777.8,770.5,770.5,100,77395.0
2023-09-10,NMBD87/88,760.3,763.1,760.3,763.1,50,38085.0
2023-09-11,NMBD87/88,778.3,778.3,768.1,768.1,65,50195.0
2023-09-12,NMBD87/88,783.4,783.4,783.4,783.4,10,7834.0
2023-09-18,NMBD87/88,783.4,783.4,783.4,783.4,25,19585.0
2023-09-27,NMBD87/88,799.0,799.0,799.0,799.0,40,31960.0
2023-10-03,NMBD87/88,786.0,786.0,786.0,786.0,25,19650.0
2023-10-16,NMBD87/88,770.5,770.5,770.5,770.5,25,19262.5
2023-10-17,NMBD87/88,775.0,775.0,770.2,770.2,25,19303.0
2023-10-30,NMBD87/88,780.0,780.0,780.0,780.0,25,19500.0
2023-11-01,NMBD87/88,795.6,795.6,795.6,795.6,50,39780.0
2023-11-26,NMBD87/88,780.2,795.8,780.2,795.8,50,39400.0
2023-11-27,NMBD87/88,784.2,784.2,784.2,784.2,50,39210.0
2023-12-04,NMBD87/88,799.0,831.1,799.0,831.1,30,24450.0
2023-12-06,NMBD87/88,845.0,847.0,845.0,847.0,50,42300.0
2023-12-11,NMBD87/88,847.0,855.0,847.0,855.0,50,42550.0
2023-12-12,NMBD87/88,862.0,887.5,862.0,887.5,115,100412.5
2023-12-14,NMBD87/88,870.1,885.0,870.1,885.0,55,48247.5
2023-12-18,NMBD87/88,885.0,900.0,885.0,900.0,300,269020.0
2023-12-19,NMBD87/88,882.0,882.0,882.0,882.0,60,52920.0
2023-12-20,NMBD87/88,899.6,899.6,899.6,899.6,50,44980.0
2023-12-24,NMBD87/88,882.0,882.0,882.0,882.0,105,92610.0
2023-12-27,NMBD87/88,899.6,899.6,882.0,882.0,75,66854.0
2023-12-28,NMBD87/88,882.0,882.0,882.0,882.0,85,74970.0
2024-01-07,NMBD87/88,880.0,880.0,880.0,880.0,25,22000.0
2024-01-08,NMBD87/88,862.5,862.5,851.1,851.1,55,47152.5
2024-01-14,NMBD87/88,851.0,851.0,851.0,851.0,25,21275.0
2024-01-17,NMBD87/88,834.0,834.0,834.0,834.0,10,8340.0
2024-01-18,NMBD87/88,850.6,850.6,834.0,834.0,55,46368.0
2024-01-21,NMBD87/88,818.1,825.0,818.0,825.0,130,106712.5
2024-01-22,NMBD87/88,825.0,835.0,825.0,835.0,20,16600.0
2024-01-23,NMBD87/88,851.7,851.7,851.7,851.7,100,85170.0
