BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-08-30,NMBPO,0.0,135.0,135.0,135.0,19375.0,2615625.0
2013-10-28,NMBPO,0.0,135.0,135.0,135.0,2000.0,270000.0
2014-05-18,NMBPO,0.0,133.0,133.0,133.0,26087.0,3469571.0
2014-06-01,NMBPO,0.0,131.0,131.0,131.0,50000.0,6550000.0
2014-08-18,NMBPO,0.0,133.0,133.0,133.0,97271.0,12937043.0
2014-08-26,NMBPO,0.0,133.0,133.0,133.0,12000.0,1596000.0
2016-01-14,NMBPO,0.0,223.0,223.0,223.0,27520.0,6136960.0
2016-01-25,NMBPO,0.0,223.0,223.0,223.0,12000.0,2676000.0
2016-08-29,NMBPO,0.0,420.0,420.0,420.0,15276.0,6415920.0
2016-12-19,NMBPO,0.0,400.0,400.0,400.0,42781.0,17112400.0
2016-12-20,NMBPO,0.0,400.0,400.0,400.0,13280.0,5312000.0
2017-01-26,NMBPO,0.0,392.0,359.0,359.0,2500.0,939500.0
2017-01-30,NMBPO,0.0,352.0,327.0,327.0,2500.0,848000.0
2017-01-31,NMBPO,0.0,321.0,297.0,297.0,2500.0,772500.0
2017-02-01,NMBPO,0.0,292.0,268.0,268.0,3000.0,839000.0
2017-02-02,NMBPO,0.0,263.0,250.0,250.0,37500.0,9387000.0
2017-06-08,NMBPO,0.0,292.0,292.0,292.0,1000.0,292000.0
2017-06-11,NMBPO,0.0,287.0,267.0,267.0,176949.0,48182323.0
2017-07-03,NMBPO,0.0,265.0,265.0,265.0,65330.0,17312450.0
2017-07-12,NMBPO,0.0,265.0,265.0,265.0,35678.0,9454670.0
2017-07-24,NMBPO,0.0,266.0,266.0,266.0,13091.0,3482206.0
2017-09-13,NMBPO,0.0,266.0,266.0,266.0,18178.0,4835348.0
2017-12-21,NMBPO,0.0,266.0,266.0,266.0,4417.0,1174922.0
2018-07-30,NMBPO,0.0,181.0,180.0,180.0,39344.0,7082229.0
2018-12-06,NMBPO,0.0,225.0,225.0,225.0,8465.0,1904625.0
2018-12-25,NMBPO,0.0,225.0,204.0,204.0,16930.0,3453720.0
2019-11-17,NMBPO,0.0,204.0,200.0,200.0,2576.0,519200.0
2019-11-19,NMBPO,0.0,205.0,204.0,205.0,100000.0,20465000.0
2019-12-02,NMBPO,0.0,205.0,205.0,205.0,30000.0,6150000.0
2019-12-10,NMBPO,0.0,205.0,205.0,205.0,45132.0,9252060.0
2019-12-19,NMBPO,0.0,205.0,205.0,205.0,7450.0,1527250.0
2019-12-24,NMBPO,0.0,205.0,205.0,205.0,16930.0,3470650.0
2020-07-08,NMBPO,0.0,205.0,205.0,205.0,12480.0,2558400.0
2020-09-07,NMBPO,0.0,250.0,242.0,250.0,352820.0,88204880.0
2020-09-21,NMBPO,0.0,250.0,250.0,250.0,10000.0,2500000.0
2020-10-04,NMBPO,0.0,250.0,250.0,250.0,8385.0,2096250.0
2020-10-21,NMBPO,0.0,250.0,250.0,250.0,1000.0,250000.0
2020-11-04,NMBPO,0.0,250.0,250.0,250.0,5242.0,1310500.0
2020-11-05,NMBPO,0.0,250.0,250.0,250.0,3363.0,840750.0
2020-12-15,NMBPO,0.0,250.0,250.0,250.0,49000.0,12250000.0
2020-12-22,NMBPO,0.0,250.0,250.0,250.0,146890.0,36722500.0
2020-12-24,NMBPO,0.0,250.0,250.0,250.0,42545.0,10636250.0
2020-12-28,NMBPO,0.0,250.0,250.0,250.0,12479.0,3119750.0
2021-02-25,NMBPO,0.0,245.0,245.0,245.0,15400.0,3773000.0
2021-03-03,NMBPO,0.0,245.0,245.0,245.0,13000.0,3185000.0
2021-06-22,NMBPO,245.0,245.0,245.0,245.0,20000.0,4900000.0
2021-08-25,NMBPO,245.0,245.0,245.0,245.0,45200.0,11074000.0
2021-09-06,NMBPO,245.0,245.0,245.0,245.0,11296.0,2767520.0
2021-09-07,NMBPO,245.0,245.0,245.0,245.0,3000.0,735000.0
2021-10-19,NMBPO,245.0,245.0,245.0,245.0,40064.0,9815680.0
2021-11-15,NMBPO,245.0,245.0,245.0,245.0,10294.0,2522030.0
2021-11-21,NMBPO,245.0,245.0,245.0,245.0,77982.0,19105590.0
2022-05-08,NMBPO,160.0,160.0,160.0,160.0,168405.0,26944800.0
2022-05-24,NMBPO,160.0,160.0,160.0,160.0,5000.0,800000.0
2022-09-13,NMBPO,134.0,134.0,134.0,134.0,2000.0,268000.0
2023-01-19,NMBPO,134.0,134.0,134.0,134.0,35000.0,4690000.0
2023-01-29,NMBPO,134.0,134.0,134.0,134.0,9761.0,1756980.0
2023-03-20,NMBPO,131.4,131.4,131.4,131.4,63500.0,8343900.0
2023-04-20,NMBPO,131.4,131.4,131.4,131.4,15401.0,2772180.0
2023-04-23,NMBPO,131.4,131.4,131.4,131.4,52305.0,6872877.0
2023-04-25,NMBPO,131.4,131.4,131.4,131.4,52305.0,9414900.0
2023-05-04,NMBPO,131.4,131.4,131.4,131.4,63462.0,8338906.8
2023-06-15,NMBPO,131.4,131.4,131.4,131.4,3962.0,520606.8
2023-08-03,NMBPO,128.0,128.0,128.0,128.0,90000.0,11520000.0
2023-10-18,NMBPO,115.0,115.0,115.0,115.0,30000.0,3450000.0
2024-01-07,NMBPO,113.0,113.0,113.0,113.0,45000.0,5085000.0
2024-01-24,NMBPO,113.0,113.0,113.0,113.0,23005.0,2599565.0
