BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-02-14,NMFBSP,0.0,100.0,100.0,100.0,110000.0,80849035.0
2021-07-14,NMFBSP,100.0,100.0,100.0,100.0,32000.0,32705000.0
2021-10-10,NMFBSP,1537.0,1537.0,1537.0,1537.0,6390.0,9821430.0
2021-10-19,NMFBSP,1537.0,1537.0,1537.0,1537.0,12780.0,19642860.0
2022-01-03,NMFBSP,1537.0,1537.0,1537.0,1537.0,2000.0,2062000.0
2022-01-04,NMFBSP,1537.0,1537.0,1537.0,1537.0,39550.0,41233796.0
2022-01-05,NMFBSP,1537.0,1537.0,1537.0,1537.0,3850.0,3995075.0
2022-01-10,NMFBSP,1537.0,1537.0,1537.0,1537.0,36500.0,37303000.0
2022-01-20,NMFBSP,1537.0,1537.0,1537.0,1537.0,3000.0,4611000.0
2022-07-24,NMFBSP,1152.0,1152.0,1152.0,1152.0,6335.0,7297920.0
2022-09-05,NMFBSP,1152.0,1152.0,1152.0,1152.0,2534.0,2919168.0
2022-09-28,NMFBSP,1152.0,1152.0,1152.0,1152.0,61930.0,47597845.0
2023-01-05,NMFBSP,1115.0,1115.0,1115.0,1115.0,2027.0,2260105.0
2023-01-25,NMFBSP,1115.0,1115.0,1115.0,1115.0,2534.0,2825410.0
