BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-04-03,NSIF2,10.0,10.0,9.9,10.0,1100,10990.0
2023-04-04,NSIF2,9.85,9.85,9.85,9.85,500,4925.0
2023-04-20,NSIF2,9.47,9.47,8.69,8.69,4400,38493.5
2023-04-23,NSIF2,8.52,8.52,7.87,8.06,8190,65700.8
2023-04-24,NSIF2,7.9,7.9,7.31,7.66,2950,22254.25
2023-04-25,NSIF2,7.7,7.95,7.7,7.84,2800,21952.0
2023-04-26,NSIF2,7.69,7.85,7.69,7.79,5950,46264.75
2023-04-27,NSIF2,7.64,7.86,7.64,7.8,4325,33355.75
2023-04-30,NSIF2,7.95,8.1,7.8,8.06,5100,40836.0
2023-05-02,NSIF2,8.06,8.23,8.06,8.08,3400,27528.0
2023-05-03,NSIF2,7.99,8.01,7.94,8.01,6800,54309.0
2023-05-04,NSIF2,7.86,8.48,7.85,8.32,10650,87298.0
2023-05-07,NSIF2,8.32,8.32,8.16,8.16,2175,17916.5
2023-05-08,NSIF2,8.0,8.29,7.87,8.29,5100,41026.0
2023-05-09,NSIF2,8.13,8.13,8.13,8.13,400,3252.0
2023-05-10,NSIF2,8.12,8.13,7.99,7.99,1800,14538.0
2023-05-11,NSIF2,7.84,8.0,7.84,7.88,5575,44484.25
2023-05-14,NSIF2,7.88,8.03,7.88,8.03,1000,7943.0
2023-05-15,NSIF2,7.87,7.88,7.87,7.88,300,2363.0
2023-05-16,NSIF2,7.8,7.82,7.8,7.82,700,5467.0
2023-05-17,NSIF2,7.97,8.25,7.93,8.1,2525,20344.25
2023-05-18,NSIF2,7.97,8.12,7.97,8.03,2800,22459.0
2023-05-21,NSIF2,8.03,8.03,7.89,7.95,1600,12780.0
2023-05-22,NSIF2,7.81,8.0,7.81,8.0,425,3360.25
2023-05-23,NSIF2,8.16,8.79,8.16,8.5,2400,20569.0
2023-05-24,NSIF2,8.33,8.33,8.21,8.22,1400,11548.0
2023-05-28,NSIF2,8.22,8.22,8.12,8.21,3300,27023.49
2023-05-30,NSIF2,8.37,8.56,8.15,8.25,6300,52921.49
2023-05-31,NSIF2,8.3,8.3,8.15,8.21,1404,11510.5
2023-06-01,NSIF2,8.05,8.05,7.91,8.01,4125,32920.75
2023-06-04,NSIF2,8.01,8.11,8.01,8.11,800,6477.0
2023-06-05,NSIF2,8.15,8.15,8.1,8.13,3660,29764.0
2023-06-06,NSIF2,8.29,8.29,8.29,8.29,100,829.0
2023-06-07,NSIF2,8.25,8.32,8.16,8.23,1600,13203.0
2023-06-08,NSIF2,8.1,8.25,8.1,8.25,900,7376.0
2023-06-11,NSIF2,8.1,8.41,8.1,8.31,2950,24375.5
2023-06-12,NSIF2,8.46,8.46,8.15,8.3,2199,18145.54
2023-06-13,NSIF2,8.2,8.46,8.19,8.46,5899,49359.56
2023-06-14,NSIF2,8.3,8.33,8.3,8.33,4830,40171.6
2023-06-15,NSIF2,8.31,8.48,8.31,8.43,6390,53516.45
2023-06-18,NSIF2,8.32,8.7,8.32,8.7,3915,33768.5
2023-06-19,NSIF2,8.6,8.77,8.6,8.61,2700,23271.0
2023-06-20,NSIF2,8.7,8.8,8.7,8.75,7350,64314.0
2023-06-21,NSIF2,8.58,8.8,8.58,8.8,2300,19916.0
2023-06-22,NSIF2,8.89,9.1,8.88,9.0,1400,12634.0
2023-06-25,NSIF2,8.85,9.2,8.85,9.2,2000,18169.0
2023-06-26,NSIF2,9.2,9.38,9.2,9.2,3815,35616.7
2023-06-27,NSIF2,9.2,9.75,9.12,9.75,5770,53903.6
2023-06-28,NSIF2,9.6,9.71,9.6,9.71,3225,31253.75
2023-07-02,NSIF2,9.55,9.7,9.55,9.6,1800,17255.0
2023-07-03,NSIF2,9.44,9.6,9.44,9.6,35000,333528.0
2023-07-04,NSIF2,9.45,9.46,9.45,9.46,1800,17027.0
2023-07-05,NSIF2,9.41,9.42,9.4,9.42,5825,54843.5
2023-07-06,NSIF2,9.24,9.36,9.1,9.36,4450,40793.0
2023-07-09,NSIF2,9.3,9.4,9.3,9.4,5800,53961.0
2023-07-10,NSIF2,9.45,9.6,9.45,9.6,1800,17113.0
2023-07-11,NSIF2,9.45,9.6,9.45,9.6,3650,34955.0
2023-07-12,NSIF2,9.46,9.79,9.46,9.69,7060,68873.5
2023-07-13,NSIF2,9.56,9.88,9.55,9.88,4700,45139.0
2023-07-16,NSIF2,9.69,9.99,9.41,9.99,1130,10860.4
2023-07-17,NSIF2,9.99,9.99,9.8,9.99,255500,2551475.0
2023-07-18,NSIF2,9.8,9.95,9.8,9.8,900,8850.0
2023-07-19,NSIF2,9.61,9.66,9.61,9.61,1300,12543.0
2023-07-20,NSIF2,9.42,9.6,9.42,9.43,1500,14149.0
2023-07-23,NSIF2,9.29,9.8,9.29,9.8,6200,57870.0
2023-07-24,NSIF2,9.61,9.61,9.3,9.5,5110,48634.8
2023-07-25,NSIF2,9.31,9.69,9.15,9.69,5860,54694.5
2023-07-26,NSIF2,9.69,9.69,9.54,9.55,3100,29591.0
2023-07-27,NSIF2,9.36,9.5,9.36,9.44,1550,14620.0
2023-07-30,NSIF2,9.26,9.3,9.08,9.29,1120,10351.0
