BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-21,NWCL,208.8,229.6,208.8,229.6,995,226869.3
2023-12-24,NWCL,234.1,252.5,234.1,252.5,1461,367533.3
2023-12-27,NWCL,252.0,277.7,252.0,277.7,1382,382642.2
2023-12-28,NWCL,277.7,305.4,277.7,305.4,1963,598844.2
2024-01-01,NWCL,311.5,335.9,311.5,335.9,2381,798723.3
2024-01-02,NWCL,342.6,369.4,342.6,369.4,2040,752666.0
2024-01-03,NWCL,376.7,406.3,376.7,406.3,2558,1038427.5
2024-01-04,NWCL,414.4,446.9,414.4,446.9,2380,1062470.0
2024-01-07,NWCL,455.8,491.5,455.8,491.5,2290,1123626.5
2024-01-08,NWCL,481.8,540.6,481.8,540.6,3122,1685689.3
2024-01-09,NWCL,551.2,594.6,551.2,594.6,2170,1288878.9
2024-01-10,NWCL,594.0,654.0,594.0,654.0,2040,1332188.6
2024-01-11,NWCL,655.4,719.4,655.4,719.4,2180,1566260.0
2024-01-14,NWCL,733.7,791.3,733.7,791.3,2520,1990792.6
2024-01-16,NWCL,791.0,870.4,791.0,870.4,2120,1842572.4
2024-01-17,NWCL,887.8,957.4,887.8,957.4,7631,7303523.4
2024-01-18,NWCL,976.5,996.0,861.7,902.0,170936,152836608.7
2024-01-21,NWCL,900.0,915.0,885.0,892.6,47406,42479454.6
2024-01-22,NWCL,889.6,889.6,836.6,855.0,57058,49415401.5
2024-01-23,NWCL,838.0,876.0,838.0,875.0,32691,28194529.6
2024-01-24,NWCL,860.0,900.0,860.0,877.5,25662,22679466.8
2024-01-25,NWCL,868.0,891.0,858.0,865.0,27013,23529756.7
2024-01-28,NWCL,850.0,871.0,849.0,860.0,21274,18249614.9
