BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2013-10-03,ODBLPO,0.0,130.0,130.0,130.0,60720.0,7893600.0
2014-03-11,ODBLPO,0.0,130.0,130.0,130.0,30536.0,3969680.0
2014-03-26,ODBLPO,0.0,130.0,130.0,130.0,3070.0,399100.0
2014-04-27,ODBLPO,0.0,130.0,130.0,130.0,34846.0,4529980.0
2014-09-29,ODBLPO,0.0,132.0,132.0,132.0,15355.0,2026860.0
2015-06-16,ODBLPO,0.0,170.0,170.0,170.0,10000.0,1700000.0
2015-06-21,ODBLPO,0.0,170.0,170.0,170.0,30558.0,5194860.0
2015-06-22,ODBLPO,0.0,170.0,170.0,170.0,44332.0,7536440.0
2015-06-23,ODBLPO,0.0,170.0,170.0,170.0,13267.0,2255390.0
2017-08-24,ODBLPO,0.0,235.0,235.0,235.0,23403.0,5499705.0
2017-09-11,ODBLPO,0.0,239.0,239.0,239.0,30000.0,7170000.0
2017-09-12,ODBLPO,0.0,239.0,239.0,239.0,6649.0,1589111.0
2017-10-15,ODBLPO,0.0,240.0,240.0,240.0,45329.0,10878960.0
2017-10-25,ODBLPO,0.0,240.0,240.0,240.0,50397.0,12095280.0
2017-12-19,ODBLPO,0.0,240.0,240.0,240.0,75000.0,18000000.0
2018-02-11,ODBLPO,0.0,240.0,240.0,240.0,72750.0,17460000.0
2018-02-20,ODBLPO,0.0,240.0,240.0,240.0,89634.0,21512160.0
2018-08-12,ODBLPO,0.0,114.0,112.0,114.0,6800.0,773600.0
2018-08-19,ODBLPO,0.0,114.0,114.0,114.0,45704.0,5210256.0
