BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-04-28,PBLD86,0.0,1050.0,1050.0,1050.0,50.0,52500.0
2021-04-29,PBLD86,0.0,1055.0,1055.0,1055.0,400.0,422000.0
2021-05-02,PBLD86,0.0,1060.0,1050.0,1060.0,275.0,290810.0
2021-05-03,PBLD86,0.0,1055.0,1050.0,1055.0,85.0,89375.0
2021-05-04,PBLD86,0.0,1060.0,1058.0,1060.0,200.0,211800.0
2021-05-06,PBLD86,0.0,1060.0,1060.0,1060.0,50.0,53000.0
2021-05-10,PBLD86,0.0,1060.0,1051.0,1060.0,85.0,89875.0
2021-05-11,PBLD86,0.0,1060.0,1050.0,1060.0,175.0,184000.0
2021-05-12,PBLD86,0.0,1062.0,1062.0,1062.0,25.0,26550.0
2021-05-19,PBLD86,0.0,1051.0,1051.0,1051.0,50.0,52550.0
2021-05-23,PBLD86,0.0,1051.0,1051.0,1051.0,50.0,52550.0
2021-05-27,PBLD86,0.0,1072.0,1072.0,1072.0,25.0,26800.0
2021-06-02,PBLD86,0.0,1072.0,1072.0,1056.0,100.0,105600.0
2021-06-06,PBLD86,1050.0,1050.0,1050.0,1050.0,100.0,105000.0
2021-06-07,PBLD86,1060.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-06-17,PBLD86,1081.0,1081.0,1081.0,1081.0,150.0,162150.0
2021-06-30,PBLD86,1070.0,1070.0,1070.0,1070.0,25.0,26750.0
2021-07-13,PBLD86,1088.0,1088.0,1088.0,1088.0,100.0,108800.0
2021-08-08,PBLD86,1066.3,1066.3,1066.3,1066.3,25.0,26657.5
2021-08-11,PBLD86,1050.0,1050.0,1050.0,1050.0,200.0,210000.0
2021-08-25,PBLD86,1045.0,1045.0,1045.0,1045.0,50.0,52250.0
2021-08-26,PBLD86,1045.0,1045.0,1045.0,1045.0,25.0,26125.0
2021-09-09,PBLD86,1050.0,1050.0,1050.0,1050.0,80.0,84000.0
2021-09-12,PBLD86,1045.0,1045.0,1032.0,1032.0,50.0,51925.0
2021-09-16,PBLD86,1035.0,1035.0,1035.0,1035.0,150.0,155250.0
2021-10-27,PBLD86,1016.0,1016.0,1016.0,1016.0,150.0,152400.0
2021-10-28,PBLD86,1000.0,1016.0,1000.0,1016.0,75.0,75400.0
2021-11-08,PBLD86,1017.0,1035.0,1017.0,1030.0,275.0,282725.0
2021-11-09,PBLD86,1035.0,1035.0,1035.0,1035.0,100.0,103500.0
2021-11-11,PBLD86,1035.0,1035.0,1035.0,1035.0,200.0,207000.0
2021-11-22,PBLD86,1035.0,1035.0,1035.0,1035.0,100.0,103500.0
2021-11-24,PBLD86,1045.0,1045.0,1045.0,1045.0,25.0,26125.0
2021-12-01,PBLD86,1025.0,1025.0,1025.0,1025.0,50.0,51250.0
2021-12-05,PBLD86,1004.5,1004.5,1000.0,1000.0,500.0,500045.0
2022-01-16,PBLD86,1000.0,980.1,980.0,980.0,100.0,98005.0
2022-03-21,PBLD86,980.0,980.0,980.0,980.0,200.0,196000.0
2022-03-27,PBLD86,970.0,970.0,950.6,950.6,125.0,120765.0
2022-03-29,PBLD86,950.0,950.0,950.0,950.0,300.0,285000.0
2022-04-21,PBLD86,943.5,943.5,940.0,940.0,100.0,94167.5
2022-05-25,PBLD86,939.0,939.0,939.0,939.0,25.0,23475.0
2022-07-21,PBLD86,938.9,938.9,938.9,938.9,50.0,46945.0
2022-07-22,PBLD86,921.0,921.0,920.5,920.5,100.0,92080.0
2022-07-24,PBLD86,920.5,920.5,920.5,920.5,300.0,276150.0
2022-07-28,PBLD86,903.0,903.0,902.1,902.1,75.0,67711.5
