BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-02-25,PFLPO,0.0,189.0,189.0,189.0,198256.0,37470384.0
2014-03-03,PFLPO,0.0,189.0,189.0,189.0,174248.0,32932872.0
2014-10-30,PFLPO,0.0,192.0,192.0,192.0,2500.0,480000.0
2016-07-11,PFLPO,0.0,184.0,169.0,169.0,600.0,105900.0
2016-07-13,PFLPO,0.0,166.0,153.0,153.0,600.0,95300.0
2016-07-14,PFLPO,0.0,150.0,138.0,138.0,234403.0,32351814.0
2016-07-18,PFLPO,0.0,138.0,138.0,138.0,210151.0,29000838.0
2016-09-06,PFLPO,0.0,138.0,138.0,138.0,124038.0,17117244.0
2018-05-23,PFLPO,0.0,150.0,138.0,138.0,10000.0,1385310.0
2018-05-28,PFLPO,0.0,136.0,126.0,126.0,5000.0,630300.0
2018-06-06,PFLPO,0.0,126.0,126.0,126.0,5000.0,630000.0
2018-07-10,PFLPO,0.0,126.0,126.0,126.0,43335.0,5460210.0
2019-10-14,PFLPO,0.0,126.0,126.0,126.0,60725.0,7651350.0
2021-08-26,PFLPO,476.0,476.0,476.0,476.0,48729.0,23195004.0
2022-07-29,PFLPO,212.0,212.0,212.0,212.0,37610.0,7973320.0
