BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2015-12-17,PICLPO,0.0,222.0,222.0,222.0,20250.0,4495500.0
2016-04-05,PICLPO,0.0,425.0,425.0,425.0,25920.0,11016000.0
2016-09-27,PICLPO,0.0,800.0,800.0,800.0,25000.0,20000000.0
2017-07-25,PICLPO,0.0,855.0,855.0,855.0,17107.0,14626485.0
2017-08-15,PICLPO,0.0,855.0,855.0,855.0,45000.0,38475000.0
2017-08-16,PICLPO,0.0,855.0,855.0,855.0,40536.0,34658280.0
2018-02-14,PICLPO,0.0,410.0,410.0,410.0,42768.0,17534880.0
2018-07-12,PICLPO,0.0,440.0,440.0,440.0,21383.0,9408520.0
2019-06-02,PICLPO,0.0,380.0,380.0,380.0,19000.0,7220000.0
2019-06-26,PICLPO,0.0,373.0,373.0,373.0,2000.0,746000.0
2020-08-02,PICLPO,0.0,255.0,255.0,255.0,40000.0,10200000.0
2020-11-04,PICLPO,0.0,283.0,283.0,283.0,45000.0,12735000.0
2020-11-08,PICLPO,0.0,283.0,283.0,283.0,7500.0,2122500.0
2020-11-26,PICLPO,0.0,283.0,283.0,283.0,10000.0,2830000.0
2020-12-30,PICLPO,0.0,278.0,278.0,278.0,21587.0,6001186.0
2021-01-03,PICLPO,0.0,273.0,273.0,273.0,96228.0,26270244.0
2021-01-04,PICLPO,0.0,268.0,268.0,268.0,92378.0,24757304.0
2021-01-05,PICLPO,0.0,263.0,263.0,263.0,40000.0,10520000.0
2021-02-01,PICLPO,0.0,263.0,263.0,263.0,136412.0,35876356.0
2021-02-15,PICLPO,0.0,265.0,265.0,265.0,3000.0,795000.0
2021-03-07,PICLPO,0.0,260.0,260.0,260.0,22800.0,5928000.0
2021-09-23,PICLPO,367.0,367.0,367.0,367.0,25000.0,9175000.0
2021-11-25,PICLPO,367.0,367.0,367.0,367.0,80000.0,29360000.0
2021-11-28,PICLPO,359.7,359.7,359.7,359.7,80000.0,28776000.0
2022-01-23,PICLPO,359.7,359.7,359.7,359.7,282679.0,101679636.3
2023-01-25,PICLPO,257.8,257.8,257.8,257.8,7366.0,1898954.8
