BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-19,PMLI,598.0,598.0,542.0,589.0,81779,46328067.8
2023-12-20,PMLI,589.0,647.8,580.0,613.9,58536,35432619.5
2023-12-21,PMLI,615.0,617.0,585.0,601.8,23695,14135698.2
2023-12-24,PMLI,610.0,620.0,573.0,590.0,66610,39962240.5
2023-12-27,PMLI,590.0,617.0,588.3,601.0,48433,29242889.1
2023-12-28,PMLI,590.0,623.7,590.0,623.7,47088,28614414.5
2024-01-01,PMLI,612.0,624.0,596.1,598.0,38801,23476972.8
2024-01-02,PMLI,598.0,598.0,575.0,575.9,11352,6605156.1
2024-01-03,PMLI,587.0,587.0,557.3,577.0,14011,7953395.7
2024-01-04,PMLI,582.4,597.0,565.0,579.0,18865,10824921.4
2024-01-07,PMLI,567.5,579.0,556.7,557.0,13668,7709400.6
2024-01-08,PMLI,557.0,588.8,556.0,578.3,13638,7789478.0
2024-01-09,PMLI,580.0,596.0,565.0,569.0,16183,9319918.2
2024-01-10,PMLI,558.0,600.0,558.0,565.0,8167,4649795.3
2024-01-11,PMLI,555.0,577.4,553.7,568.0,17710,9999809.7
2024-01-14,PMLI,565.0,575.0,560.0,564.0,10130,5741639.7
2024-01-16,PMLI,575.0,575.2,565.0,571.0,20930,11913878.3
2024-01-17,PMLI,579.5,580.0,561.2,569.0,20555,11720546.7
2024-01-18,PMLI,558.0,580.3,558.0,568.0,22940,13000376.1
2024-01-21,PMLI,560.0,571.0,557.6,557.6,22047,12464603.8
2024-01-22,PMLI,547.0,568.7,547.0,547.5,11332,6275144.9
2024-01-23,PMLI,542.0,558.4,535.0,540.0,11015,5961191.6
2024-01-24,PMLI,530.1,561.0,529.0,529.0,13505,7258711.4
2024-01-25,PMLI,539.0,539.5,525.0,530.0,12910,6821789.2
2024-01-28,PMLI,530.0,539.5,526.0,534.0,5933,3151789.3
