BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-01-08,PRINPO,0.0,100.0,100.0,100.0,14944.0,1494400.0
2014-03-20,PRINPO,0.0,110.0,102.0,110.0,7684.0,841440.0
2014-04-03,PRINPO,0.0,110.0,110.0,110.0,73938.0,8133180.0
2014-04-17,PRINPO,0.0,110.0,110.0,110.0,100.0,11000.0
2014-05-07,PRINPO,0.0,110.0,110.0,110.0,43421.0,4776310.0
2014-05-22,PRINPO,0.0,110.0,110.0,110.0,32946.0,3624060.0
2014-06-11,PRINPO,0.0,110.0,110.0,110.0,207337.0,22807070.0
2014-06-19,PRINPO,0.0,110.0,110.0,110.0,77696.0,8546560.0
2014-07-16,PRINPO,0.0,110.0,110.0,110.0,9546.0,1050060.0
2014-07-17,PRINPO,0.0,110.0,110.0,110.0,27552.0,3030720.0
2015-02-12,PRINPO,0.0,205.0,205.0,205.0,219761.0,45051005.0
2015-08-17,PRINPO,0.0,185.0,185.0,185.0,11760.0,2175600.0
2017-01-24,PRINPO,0.0,562.0,562.0,562.0,5000.0,2810000.0
2017-03-26,PRINPO,0.0,551.0,551.0,551.0,350000.0,192850000.0
2021-05-05,PRINPO,0.0,551.0,551.0,551.0,735000.0,236968776.0
2021-11-22,PRINPO,500.91,500.91,500.91,500.91,1000.0,351110.0
2022-03-22,PRINPO,451.0,451.0,451.0,451.0,340000.0,153340000.0
2022-03-27,PRINPO,451.0,451.0,451.0,451.0,340000.0,153340000.0
2022-03-30,PRINPO,451.0,451.0,451.0,451.0,242198.0,109231298.0
