BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-16,PROFL,0.0,129.0,129.0,129.0,160.0,20640.0
2012-01-22,PROFL,0.0,129.0,129.0,129.0,4800.0,619200.0
2012-01-31,PROFL,0.0,127.0,127.0,127.0,20.0,2540.0
2012-03-01,PROFL,0.0,129.0,129.0,129.0,1000.0,129000.0
2012-03-04,PROFL,0.0,133.0,131.0,133.0,1950.0,257410.0
2012-03-05,PROFL,0.0,137.0,135.0,137.0,2000.0,272000.0
2012-03-06,PROFL,0.0,143.0,139.0,143.0,2280.0,322920.0
2012-03-12,PROFL,0.0,145.0,145.0,145.0,480.0,69600.0
2012-03-18,PROFL,145.0,143.0,143.0,143.0,1090.0,155870.0
2012-03-27,PROFL,0.0,141.0,139.0,139.0,2170.0,301650.0
2012-03-28,PROFL,0.0,139.0,139.0,139.0,1260.0,175140.0
2012-04-01,PROFL,0.0,137.0,135.0,135.0,4810.0,649370.0
2012-04-08,PROFL,0.0,133.0,131.0,131.0,5210.0,682530.0
2012-04-12,PROFL,0.0,129.0,127.0,127.0,4600.0,584220.0
2012-05-20,PROFL,0.0,129.0,129.0,129.0,700.0,90300.0
2012-05-29,PROFL,0.0,127.0,125.0,125.0,4010.0,501270.0
2012-05-30,PROFL,0.0,125.0,125.0,125.0,800.0,100000.0
2012-06-17,PROFL,0.0,125.0,125.0,125.0,200.0,25000.0
2014-04-21,PROFL,0.0,125.0,125.0,125.0,120.0,15000.0
2014-04-22,PROFL,0.0,123.0,123.0,123.0,140.0,17220.0
2014-04-23,PROFL,0.0,121.0,121.0,121.0,120.0,14520.0
2014-05-28,PROFL,0.0,119.0,117.0,117.0,140.0,16420.0
2014-06-01,PROFL,0.0,115.0,115.0,115.0,20.0,2300.0
2014-06-03,PROFL,0.0,113.0,113.0,113.0,120.0,13560.0
2014-06-05,PROFL,0.0,111.0,111.0,111.0,560.0,62160.0
2014-06-18,PROFL,0.0,113.0,113.0,111.0,120.0,13560.0
2014-07-06,PROFL,0.0,111.0,111.0,111.0,480.0,53280.0
2014-07-15,PROFL,0.0,109.0,109.0,109.0,200.0,21800.0
2014-07-16,PROFL,0.0,111.0,110.0,110.0,240.0,26560.0
2014-07-17,PROFL,0.0,115.0,112.0,115.0,400.0,45400.0
2014-07-30,PROFL,0.0,119.0,104.0,112.0,115560.0,12353780.0
2014-08-03,PROFL,0.0,116.0,112.0,116.0,14280.0,1628320.0
2014-08-04,PROFL,0.0,116.0,116.0,116.0,160.0,18560.0
2014-08-14,PROFL,0.0,126.0,118.0,126.0,50.0,6100.0
2014-08-18,PROFL,0.0,136.0,128.0,136.0,590.0,79420.0
2014-08-19,PROFL,0.0,140.0,138.0,140.0,620.0,85840.0
2014-08-21,PROFL,0.0,144.0,138.0,144.0,10360.0,1456660.0
2014-08-28,PROFL,0.0,148.0,146.0,146.0,360.0,52640.0
2014-09-21,PROFL,0.0,147.0,147.0,147.0,80.0,11760.0
2014-09-22,PROFL,0.0,145.0,145.0,145.0,510.0,73950.0
2014-11-20,PROFL,0.0,145.0,145.0,145.0,520.0,75400.0
2014-11-23,PROFL,0.0,146.0,146.0,146.0,100.0,14600.0
2015-01-01,PROFL,0.0,144.0,144.0,144.0,140.0,20160.0
2015-01-18,PROFL,0.0,142.0,142.0,142.0,120.0,17040.0
2015-01-19,PROFL,0.0,156.0,144.0,156.0,330.0,49620.0
2015-01-20,PROFL,0.0,157.0,157.0,157.0,120.0,18840.0
2015-01-26,PROFL,0.0,172.0,160.0,172.0,820.0,138760.0
2015-01-28,PROFL,0.0,175.0,172.0,172.0,130.0,22390.0
2015-02-04,PROFL,0.0,175.0,175.0,175.0,250.0,43750.0
2015-02-10,PROFL,0.0,175.0,172.0,172.0,280.0,48400.0
2015-02-11,PROFL,0.0,178.0,175.0,176.0,260.0,45720.0
2015-02-18,PROFL,0.0,179.0,176.0,179.0,300.0,53280.0
2015-02-22,PROFL,0.0,176.0,176.0,176.0,200.0,35200.0
2015-02-23,PROFL,0.0,179.0,176.0,179.0,2180.0,383920.0
2015-02-24,PROFL,0.0,181.0,175.0,175.0,200.0,35360.0
2015-04-15,PROFL,0.0,172.0,169.0,169.0,90.0,15240.0
2015-04-21,PROFL,0.0,166.0,166.0,166.0,100.0,16600.0
2015-05-27,PROFL,0.0,166.0,166.0,166.0,160.0,26560.0
2015-06-24,PROFL,0.0,163.0,160.0,160.0,780.0,126180.0
2015-07-02,PROFL,0.0,161.0,161.0,161.0,1010.0,162610.0
2015-07-05,PROFL,0.0,158.0,145.0,145.0,10500.0,1523570.0
2015-07-06,PROFL,0.0,143.0,141.0,141.0,100.0,14140.0
2015-07-07,PROFL,0.0,145.0,141.0,143.0,56640.0,8212080.0
2015-07-15,PROFL,0.0,135.0,127.0,135.0,100.0,13120.0
2015-07-16,PROFL,0.0,145.0,137.0,145.0,20000.0,2899620.0
2015-07-29,PROFL,0.0,145.0,145.0,145.0,47420.0,6875900.0
2015-08-18,PROFL,0.0,147.0,147.0,147.0,20.0,2940.0
2015-09-03,PROFL,0.0,149.0,149.0,149.0,20.0,2980.0
2015-09-06,PROFL,0.0,151.0,151.0,151.0,20.0,3020.0
2015-09-09,PROFL,0.0,154.0,153.0,153.0,340.0,52120.0
2015-09-10,PROFL,0.0,160.0,151.0,154.0,850.0,132340.0
2015-09-17,PROFL,0.0,161.0,157.0,161.0,160.0,25660.0
2015-09-22,PROFL,0.0,158.0,158.0,158.0,20.0,3160.0
2015-09-23,PROFL,0.0,161.0,161.0,161.0,20.0,3220.0
2015-11-03,PROFL,0.0,164.0,155.0,155.0,510.0,80700.0
2015-11-16,PROFL,0.0,158.0,158.0,158.0,2000.0,316000.0
2015-11-22,PROFL,0.0,161.0,161.0,161.0,40.0,6440.0
2015-12-01,PROFL,0.0,158.0,149.0,149.0,480.0,73020.0
2015-12-02,PROFL,0.0,151.0,151.0,151.0,30.0,4530.0
2015-12-21,PROFL,0.0,148.0,146.0,146.0,130.0,19140.0
2015-12-24,PROFL,0.0,144.0,144.0,144.0,40.0,5760.0
2015-12-27,PROFL,0.0,142.0,136.0,136.0,300.0,41700.0
2015-12-28,PROFL,0.0,136.0,132.0,132.0,470.0,62760.0
2015-12-29,PROFL,0.0,132.0,130.0,132.0,250.0,32820.0
2015-12-31,PROFL,0.0,130.0,130.0,130.0,60.0,7800.0
2016-01-03,PROFL,0.0,128.0,128.0,128.0,90.0,11520.0
2016-01-04,PROFL,0.0,126.0,126.0,126.0,240.0,30240.0
2016-01-05,PROFL,0.0,124.0,124.0,124.0,160.0,19840.0
2016-01-11,PROFL,0.0,122.0,122.0,122.0,30.0,3660.0
2016-01-12,PROFL,0.0,122.0,122.0,122.0,320.0,39040.0
2016-01-13,PROFL,0.0,120.0,118.0,118.0,70.0,8320.0
2016-01-14,PROFL,0.0,126.0,116.0,126.0,11060.0,1308080.0
2016-01-21,PROFL,0.0,128.0,128.0,128.0,50.0,6400.0
2016-02-14,PROFL,0.0,140.0,130.0,140.0,60.0,8100.0
2016-02-15,PROFL,0.0,154.0,142.0,154.0,2110.0,324530.0
2016-02-16,PROFL,0.0,169.0,157.0,169.0,2670.0,447090.0
2016-02-17,PROFL,0.0,175.0,172.0,175.0,35.0,6080.0
2016-02-18,PROFL,0.0,178.0,178.0,178.0,20.0,3560.0
2016-02-22,PROFL,0.0,187.0,181.0,187.0,65.0,11975.0
2016-02-23,PROFL,0.0,184.0,182.0,183.0,583.0,106229.0
2016-04-03,PROFL,0.0,180.0,174.0,174.0,30.0,5310.0
2016-04-04,PROFL,0.0,171.0,160.0,160.0,750.0,121440.0
