BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-17,PROFLP,0.0,99.0,99.0,99.0,167000.0,16533000.0
2012-02-06,PROFLP,0.0,100.0,100.0,100.0,5000.0,500000.0
2012-02-08,PROFLP,0.0,102.0,102.0,102.0,8920.0,909840.0
2012-02-16,PROFLP,0.0,104.0,104.0,104.0,20000.0,2080000.0
2012-03-11,PROFLP,0.0,106.0,106.0,106.0,10000.0,1060000.0
2014-07-16,PROFLP,0.0,105.0,105.0,105.0,900.0,94500.0
2014-07-22,PROFLP,0.0,105.0,105.0,105.0,2000.0,210000.0
2014-08-13,PROFLP,0.0,105.0,105.0,105.0,100.0,10500.0
2014-08-24,PROFLP,0.0,105.0,105.0,105.0,100.0,10500.0
2014-09-21,PROFLP,0.0,105.0,105.0,105.0,250.0,26250.0
2015-04-20,PROFLP,0.0,105.0,101.0,101.0,204900.0,20910700.0
2015-12-31,PROFLP,0.0,101.0,101.0,101.0,168000.0,16968000.0
2016-01-13,PROFLP,0.0,101.0,101.0,101.0,95250.0,9620250.0
2018-02-26,PROFLP,0.0,101.0,101.0,101.0,120000.0,12120000.0
2018-03-11,PROFLP,0.0,101.0,101.0,101.0,6800.0,686800.0
2018-04-24,PROFLP,0.0,100.0,100.0,100.0,160000.0,16000000.0
2018-06-21,PROFLP,0.0,100.0,100.0,100.0,80000.0,8000000.0
2018-08-06,PROFLP,0.0,101.0,101.0,101.0,241000.0,24341000.0
2018-08-07,PROFLP,0.0,101.0,101.0,101.0,343537.0,34697237.0
2018-10-11,PROFLP,0.0,101.0,101.0,101.0,22440.0,2266440.0
2020-01-02,PROFLP,0.0,101.0,101.0,101.0,156328.0,15789128.0
2020-01-05,PROFLP,0.0,101.0,101.0,101.0,9714.0,981114.0
2020-07-14,PROFLP,0.0,101.0,101.0,101.0,1487.0,150187.0
2020-08-10,PROFLP,0.0,101.0,101.0,101.0,850.0,85850.0
2020-09-13,PROFLP,0.0,101.0,101.0,101.0,137680.0,13905680.0
2020-09-14,PROFLP,0.0,101.0,101.0,101.0,253453.0,25598753.0
2020-09-16,PROFLP,0.0,101.0,101.0,101.0,79989.0,8078889.0
2020-12-15,PROFLP,0.0,101.0,101.0,101.0,74085.0,7482585.0
2020-12-23,PROFLP,0.0,101.0,101.0,101.0,50062.0,5056262.0
2021-01-13,PROFLP,0.0,101.0,101.0,101.0,87808.0,8868608.0
2021-01-26,PROFLP,0.0,101.0,101.0,101.0,27633.0,2790933.0
2021-03-01,PROFLP,0.0,101.0,101.0,101.0,181572.0,18338772.0
2022-07-13,PROFLP,119.0,119.0,119.0,119.0,19161.0,2280159.0
2022-07-14,PROFLP,119.0,119.0,119.0,119.0,111042.0,13213998.0
2022-07-20,PROFLP,119.0,119.0,119.0,119.0,15069.0,1793211.0
2022-07-21,PROFLP,119.0,119.0,119.0,119.0,3239.0,385441.0
2022-07-22,PROFLP,119.0,119.0,119.0,119.0,3239.0,385441.0
2022-09-06,PROFLP,119.0,119.0,119.0,119.0,35720.0,4250680.0
2022-10-13,PROFLP,119.0,119.0,119.0,119.0,166209.0,19778871.0
2022-10-16,PROFLP,119.0,119.0,119.0,119.0,54019.0,6428261.0
2023-07-25,PROFLP,235.0,235.0,235.0,235.0,3024.0,710640.0
2023-07-26,PROFLP,231.0,231.0,227.0,227.0,3723.0,845645.0
2023-08-01,PROFLP,223.0,223.0,205.0,205.0,38373.0,7952201.0
2023-08-02,PROFLP,201.0,201.0,185.0,185.0,64277.0,12048040.0
2023-10-01,PROFLP,182.0,182.0,173.0,173.0,19086.0,3371670.0
2023-10-05,PROFLP,170.0,170.0,161.0,161.0,11243.0,1853146.0
