BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-06-08,PRSF,10.0,10.0,9.81,9.81,200,1981.0
2023-06-11,PRSF,9.62,9.62,9.62,9.62,161,1548.82
2023-06-12,PRSF,9.43,9.43,8.65,8.65,2200,19241.0
2023-06-13,PRSF,8.65,8.65,7.78,8.31,21100,166071.0
2023-06-14,PRSF,8.45,8.47,8.31,8.31,7800,65692.0
2023-06-15,PRSF,8.15,8.15,8.05,8.05,2600,21110.0
2023-06-18,PRSF,7.9,8.35,7.9,8.25,8700,71904.0
2023-06-19,PRSF,8.11,8.37,8.11,8.25,2700,22122.0
2023-06-20,PRSF,8.25,8.25,8.22,8.25,600,4944.0
2023-06-21,PRSF,8.15,8.25,8.15,8.2,600,4915.0
2023-06-22,PRSF,8.2,8.2,8.06,8.19,900,7312.0
2023-06-25,PRSF,8.19,8.4,8.19,8.26,29900,250963.0
2023-06-26,PRSF,8.1,8.39,8.1,8.27,6400,52861.0
2023-06-27,PRSF,8.2,8.51,8.2,8.51,14200,117649.0
2023-06-28,PRSF,8.34,8.6,8.34,8.6,2200,18755.0
2023-07-02,PRSF,8.45,8.72,8.45,8.72,24400,210266.0
2023-07-03,PRSF,8.7,8.7,8.56,8.56,900,7718.0
2023-07-04,PRSF,8.42,8.55,8.4,8.55,6500,54775.0
2023-07-05,PRSF,8.4,8.55,8.4,8.55,6800,57135.0
2023-07-06,PRSF,8.4,8.5,8.4,8.5,1700,14341.0
2023-07-09,PRSF,8.35,8.5,8.35,8.5,1800,15074.0
2023-07-10,PRSF,8.4,8.45,8.4,8.4,61000,513450.0
2023-07-11,PRSF,8.4,8.56,8.15,8.15,119400,983104.0
2023-07-12,PRSF,8.3,8.76,8.16,8.59,126400,1060920.0
2023-07-13,PRSF,8.76,9.44,8.59,9.15,34900,312474.0
2023-07-16,PRSF,9.33,10.06,8.97,9.9,102900,1005202.7
2023-07-17,PRSF,9.71,9.9,9.71,9.71,312800,3094326.0
