BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-01,RBCL,0.0,152.0,147.0,152.0,488.0,73098.0
2012-01-02,RBCL,0.0,155.0,150.0,150.0,3797.0,576872.0
2012-01-03,RBCL,0.0,163.0,150.0,154.0,6762.0,1050273.0
2012-01-05,RBCL,0.0,1300.0,1300.0,1300.0,19.0,24700.0
2012-01-08,RBCL,0.0,1300.0,1300.0,1300.0,34.0,44200.0
2012-01-17,RBCL,0.0,1290.0,1290.0,1290.0,126.0,162540.0
2012-01-19,RBCL,0.0,1295.0,1295.0,1295.0,30.0,38850.0
2012-01-22,RBCL,0.0,135.0,133.0,133.0,5236.0,702960.0
2012-01-25,RBCL,0.0,131.0,131.0,131.0,1000.0,131000.0
2012-01-31,RBCL,0.0,132.0,128.0,131.0,3823.0,495534.0
2012-02-01,RBCL,0.0,133.0,133.0,133.0,288.0,38304.0
2012-02-02,RBCL,0.0,131.0,125.0,129.0,2160.0,274290.0
2012-02-05,RBCL,0.0,131.0,128.0,128.0,386.0,50078.0
2012-02-06,RBCL,0.0,129.0,124.0,126.0,1314.0,165474.0
2012-02-07,RBCL,0.0,128.0,128.0,128.0,113.0,14464.0
2012-02-08,RBCL,0.0,130.0,130.0,130.0,398.0,51740.0
2012-02-09,RBCL,0.0,132.0,131.0,132.0,871.0,114816.0
2012-02-12,RBCL,0.0,130.0,128.0,128.0,144.0,18540.0
2012-02-13,RBCL,0.0,130.0,130.0,130.0,210.0,27300.0
2012-02-14,RBCL,0.0,130.0,130.0,130.0,100.0,13000.0
2012-02-21,RBCL,0.0,130.0,128.0,130.0,421.0,54203.0
2012-02-26,RBCL,0.0,131.0,125.0,127.0,555.0,69955.0
2012-02-27,RBCL,0.0,126.0,124.0,124.0,798.0,99752.0
2012-02-28,RBCL,0.0,1270.0,1245.0,1245.0,77.0,96790.0
2012-02-29,RBCL,0.0,126.0,124.0,124.0,640.0,79940.0
2012-03-01,RBCL,0.0,125.0,124.0,125.0,200.0,24900.0
2012-03-04,RBCL,0.0,125.0,121.0,125.0,1713.0,211673.0
2012-03-06,RBCL,0.0,127.0,125.0,125.0,230.0,28810.0
2012-03-11,RBCL,0.0,125.0,124.0,125.0,400.0,49800.0
2012-03-12,RBCL,0.0,126.0,126.0,126.0,100.0,12600.0
2012-03-13,RBCL,0.0,1221.0,1221.0,1221.0,152.0,185592.0
2012-03-19,RBCL,0.0,124.0,124.0,124.0,100.0,12400.0
2012-03-21,RBCL,0.0,122.0,120.0,122.0,920.0,111024.0
2012-03-25,RBCL,0.0,120.0,118.0,118.0,243.0,28810.0
2012-03-26,RBCL,0.0,120.0,120.0,120.0,100.0,12000.0
2012-03-27,RBCL,0.0,120.0,120.0,120.0,2300.0,276000.0
2012-03-28,RBCL,0.0,1221.0,1221.0,1221.0,162.0,197802.0
2012-03-29,RBCL,0.0,120.0,120.0,120.0,300.0,36000.0
2012-04-01,RBCL,0.0,1200.0,1130.0,1130.0,162.0,187302.0
2012-04-02,RBCL,0.0,1130.0,1130.0,1130.0,20.0,22600.0
2012-04-03,RBCL,0.0,122.0,120.0,121.0,1000.0,120700.0
2012-04-04,RBCL,0.0,123.0,121.0,121.0,842.0,102606.0
2012-04-05,RBCL,0.0,123.0,123.0,123.0,71.0,8733.0
2012-04-08,RBCL,0.0,121.0,119.0,119.0,821.0,98155.0
2012-04-10,RBCL,0.0,127.0,121.0,126.0,1292.0,162215.0
2012-04-11,RBCL,0.0,1152.0,1152.0,1152.0,63.0,72576.0
2012-04-12,RBCL,0.0,133.0,122.0,133.0,1002.0,126821.0
2012-04-15,RBCL,0.0,139.0,135.0,137.0,4595.0,628865.0
2012-04-17,RBCL,0.0,141.0,139.0,141.0,600.0,84200.0
2012-04-18,RBCL,0.0,140.0,137.0,139.0,3179.0,443004.0
2012-04-19,RBCL,0.0,140.0,137.0,140.0,1060.0,146320.0
2012-04-22,RBCL,0.0,149.0,140.0,149.0,3030.0,432880.0
2012-04-24,RBCL,0.0,158.0,151.0,158.0,1000.0,152320.0
2012-04-25,RBCL,0.0,173.0,161.0,173.0,1550.0,264630.0
2012-04-26,RBCL,0.0,190.0,173.0,190.0,3331.0,594867.0
2012-04-29,RBCL,0.0,204.0,185.0,197.0,2976.0,581834.0
2012-04-30,RBCL,0.0,197.0,189.0,189.0,1317.0,251855.0
2012-05-03,RBCL,0.0,205.0,192.0,205.0,2030.0,404190.0
2012-05-07,RBCL,0.0,215.0,209.0,215.0,6912.0,1466507.0
2012-05-08,RBCL,0.0,219.0,219.0,219.0,100.0,21900.0
2012-05-09,RBCL,0.0,215.0,204.0,204.0,1317.0,280055.0
2012-05-10,RBCL,0.0,200.0,186.0,186.0,778.0,150148.0
2012-05-15,RBCL,0.0,201.0,189.0,192.0,1430.0,278210.0
2012-05-17,RBCL,0.0,198.0,195.0,198.0,1284.0,251142.0
2012-05-21,RBCL,0.0,195.0,195.0,195.0,175.0,34125.0
2012-05-29,RBCL,0.0,1180.0,1175.0,1180.0,82.0,96510.0
2012-05-31,RBCL,0.0,192.0,186.0,186.0,510.0,94980.0
2012-06-03,RBCL,0.0,1180.0,1180.0,1180.0,50.0,59000.0
2012-06-06,RBCL,0.0,1157.0,1157.0,1157.0,188.0,217516.0
2012-06-07,RBCL,0.0,183.0,168.0,168.0,73.0,12714.0
2012-06-10,RBCL,0.0,165.0,152.0,152.0,495.0,77160.0
2012-06-11,RBCL,0.0,149.0,137.0,140.0,5035.0,706819.0
2012-06-12,RBCL,0.0,139.0,135.0,139.0,1949.0,265542.0
2012-06-13,RBCL,0.0,137.0,131.0,133.0,4445.0,595791.0
2012-06-14,RBCL,0.0,133.0,131.0,133.0,765.0,100745.0
2012-06-17,RBCL,0.0,131.0,127.0,127.0,1828.0,234562.0
2012-06-18,RBCL,0.0,130.0,127.0,130.0,981.0,126306.0
2012-06-20,RBCL,0.0,131.0,128.0,131.0,4103.0,533403.0
2012-06-25,RBCL,0.0,130.0,130.0,130.0,100.0,13000.0
2012-06-26,RBCL,0.0,131.0,129.0,131.0,322.0,41953.0
2012-07-01,RBCL,0.0,135.0,133.0,133.0,1442.0,191908.0
2012-07-02,RBCL,0.0,137.0,133.0,135.0,300.0,40700.0
2012-07-03,RBCL,0.0,133.0,133.0,133.0,54.0,7182.0
2012-07-04,RBCL,0.0,135.0,133.0,133.0,340.0,45716.0
2012-07-05,RBCL,0.0,137.0,135.0,135.0,437.0,59395.0
2012-07-08,RBCL,0.0,138.0,136.0,136.0,447.0,61312.0
2012-07-09,RBCL,0.0,138.0,135.0,135.0,1142.0,155734.0
2012-07-10,RBCL,0.0,1251.0,1180.0,1251.0,40.0,48610.0
2012-07-11,RBCL,0.0,1376.0,1276.0,1376.0,88.0,117484.0
2012-07-12,RBCL,0.0,1488.0,1403.0,1488.0,232.0,337482.0
2012-07-15,RBCL,0.0,138.0,136.0,138.0,194.0,26442.0
2012-07-16,RBCL,0.0,1500.0,1488.0,1500.0,89.0,133188.0
2012-07-17,RBCL,0.0,136.0,134.0,136.0,131.0,17623.0
2012-07-19,RBCL,0.0,1520.0,1520.0,1520.0,73.0,110960.0
2012-07-23,RBCL,0.0,146.0,144.0,144.0,503.0,72832.0
2012-07-24,RBCL,0.0,148.0,146.0,147.0,140.0,20563.0
2012-07-25,RBCL,0.0,149.0,145.0,147.0,1534.0,224498.0
2012-07-26,RBCL,0.0,149.0,145.0,145.0,549.0,80343.0
2012-07-29,RBCL,0.0,145.0,145.0,145.0,772.0,111940.0
2012-07-30,RBCL,0.0,146.0,145.0,145.0,466.0,67812.0
2012-07-31,RBCL,0.0,1520.0,1520.0,1520.0,238.0,361760.0
2012-08-01,RBCL,0.0,147.0,147.0,147.0,50.0,7350.0
2012-08-05,RBCL,0.0,1520.0,1520.0,1520.0,45.0,68400.0
2012-08-06,RBCL,0.0,160.0,147.0,160.0,210.0,31710.0
2012-08-07,RBCL,0.0,162.0,162.0,162.0,17.0,2754.0
2012-08-08,RBCL,0.0,159.0,146.0,146.0,3294.0,486889.0
2012-08-12,RBCL,0.0,145.0,140.0,140.0,1533.0,216644.0
2012-08-13,RBCL,0.0,1502.0,1502.0,1502.0,165.0,247830.0
2012-08-14,RBCL,0.0,1562.0,1532.0,1562.0,117.0,182394.0
2012-08-15,RBCL,0.0,132.0,126.0,129.0,6787.0,870902.0
2012-08-16,RBCL,0.0,1600.0,1590.0,1600.0,251.0,399290.0
2012-08-19,RBCL,0.0,138.0,128.0,138.0,11573.0,1529513.0
2012-08-21,RBCL,0.0,141.0,135.0,135.0,3824.0,526116.0
