BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2015-01-08,RBCLPO,0.0,3100.0,3100.0,3100.0,64.0,198400.0
2015-01-14,RBCLPO,0.0,3162.0,3162.0,3162.0,10.0,31620.0
2015-01-19,RBCLPO,0.0,3381.0,3250.0,3381.0,40.0,133270.0
2015-01-20,RBCLPO,0.0,3448.0,3448.0,3448.0,100.0,344800.0
2015-01-27,RBCLPO,0.0,3693.0,3550.0,3693.0,30.0,108640.0
2015-01-28,RBCLPO,0.0,3841.0,3766.0,3841.0,20.0,76070.0
2015-01-29,RBCLPO,0.0,4225.0,3917.0,4225.0,140.0,556190.0
2015-02-01,RBCLPO,0.0,4647.0,4309.0,4647.0,340.0,1568970.0
2015-02-02,RBCLPO,0.0,4692.0,4600.0,4692.0,225.0,1037300.0
2015-02-04,RBCLPO,0.0,4692.0,4600.0,4692.0,50.0,232300.0
2015-02-05,RBCLPO,0.0,4880.0,4705.0,4705.0,346.0,1640384.0
2015-02-08,RBCLPO,0.0,4640.0,4550.0,4550.0,138.0,631320.0
2015-02-10,RBCLPO,0.0,4460.0,4459.0,4459.0,113.0,503967.0
2015-02-11,RBCLPO,0.0,4370.0,4370.0,4370.0,10.0,43700.0
2015-02-12,RBCLPO,0.0,4370.0,4370.0,4370.0,750.0,3277500.0
2015-02-15,RBCLPO,0.0,4500.0,4457.0,4500.0,55.0,246210.0
2015-02-16,RBCLPO,0.0,4499.0,4499.0,4499.0,38.0,170962.0
2015-02-22,RBCLPO,0.0,4505.0,4505.0,4505.0,38.0,171190.0
2015-02-23,RBCLPO,0.0,4475.0,4400.0,4400.0,245.0,1094875.0
2015-03-01,RBCLPO,0.0,4312.0,4312.0,4312.0,25.0,107800.0
2015-03-03,RBCLPO,0.0,4230.0,4230.0,4230.0,20.0,84600.0
2015-03-04,RBCLPO,0.0,4155.0,4075.0,4150.0,225.0,932375.0
2015-03-09,RBCLPO,0.0,4317.0,4233.0,4300.0,335.0,1433970.0
2015-03-10,RBCLPO,0.0,4230.0,4230.0,4230.0,50.0,211500.0
2015-03-11,RBCLPO,0.0,4146.0,4146.0,4146.0,150.0,621900.0
2015-04-07,RBCLPO,0.0,4100.0,4100.0,4100.0,26.0,106600.0
