BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-06-16,RFPL,263.9,290.2,263.9,290.2,60760,17605819.4
2022-06-17,RFPL,296.0,301.9,270.0,273.0,52534,14617918.7
2022-06-19,RFPL,267.6,267.6,245.8,246.9,19420,4886187.0
2022-06-20,RFPL,250.0,250.0,222.3,224.1,31226,6985049.7
2022-06-21,RFPL,224.0,246.5,211.3,244.0,20128,4674223.2
2022-06-22,RFPL,248.8,253.7,227.0,233.5,6830,1585135.0
2022-06-23,RFPL,238.1,238.1,212.0,216.0,11649,2524901.6
2022-06-24,RFPL,211.7,228.0,200.0,213.0,9612,2020577.5
2022-06-26,RFPL,215.0,227.0,212.0,227.0,14916,3294027.7
2022-06-27,RFPL,231.5,231.5,216.6,224.7,13680,3055452.2
2022-06-28,RFPL,224.0,224.0,212.0,216.9,9230,2000857.0
2022-06-29,RFPL,213.0,227.0,213.0,225.0,10181,2250339.3
2022-06-30,RFPL,225.0,235.0,214.1,229.0,24919,5721025.6
2022-07-01,RFPL,226.0,233.0,222.5,226.0,8939,2020276.0
2022-07-03,RFPL,221.5,244.0,218.2,242.0,18191,4281348.4
2022-07-04,RFPL,242.0,260.0,225.4,231.0,33149,8009262.9
2022-07-05,RFPL,228.0,240.0,221.0,223.0,12329,2804460.1
2022-07-06,RFPL,223.0,234.0,218.7,225.0,9290,2066905.0
2022-07-07,RFPL,225.0,234.6,218.2,224.0,13889,3120943.0
2022-07-08,RFPL,219.6,220.0,214.0,215.0,7726,1669379.4
2022-07-11,RFPL,211.0,214.0,201.0,203.1,14254,2926275.2
2022-07-12,RFPL,202.0,211.0,200.0,203.8,8467,1735784.1
2022-07-13,RFPL,207.0,220.3,205.0,219.0,9792,2099507.5
2022-07-14,RFPL,216.0,233.3,213.0,233.0,17479,3843840.8
2022-07-15,RFPL,237.6,237.6,220.0,222.0,9792,2191828.7
2022-07-17,RFPL,218.0,225.4,215.0,222.0,8151,1794447.3
2022-07-18,RFPL,226.4,226.4,213.3,226.4,11432,2528642.2
2022-07-19,RFPL,222.0,231.0,218.1,223.0,12170,2751676.7
2022-07-20,RFPL,220.0,225.8,219.5,221.0,7531,1669670.5
2022-07-21,RFPL,217.2,223.0,215.0,218.0,10772,2351226.1
2022-07-22,RFPL,214.0,221.0,210.0,212.0,6494,1381156.8
2022-07-24,RFPL,215.0,233.1,212.0,231.5,25996,5811488.2
2022-07-25,RFPL,231.5,244.8,223.5,237.2,23825,5653255.4
2022-07-26,RFPL,232.5,241.0,223.0,223.0,19600,4499867.0
2022-07-27,RFPL,223.0,242.0,223.0,239.0,56227,13161655.0
2022-07-28,RFPL,240.0,262.9,240.0,258.0,53624,13898882.7
2022-07-29,RFPL,263.0,269.0,254.8,264.0,17567,4610705.0
2022-07-31,RFPL,258.8,267.0,253.7,260.5,28364,7359317.5
2022-08-01,RFPL,260.0,270.3,246.1,258.0,41098,10713102.6
2022-08-02,RFPL,258.0,282.0,255.3,280.0,36730,9969195.9
2022-08-03,RFPL,278.0,308.0,274.1,299.0,60118,17770679.1
2022-08-04,RFPL,304.0,320.0,284.0,315.0,69198,21186252.7
2022-08-05,RFPL,310.0,321.0,304.0,307.0,37903,11859510.7
2022-08-07,RFPL,305.0,313.0,299.0,308.0,40781,12537192.7
2022-08-08,RFPL,310.0,325.0,307.0,314.0,34766,11028028.2
2022-08-09,RFPL,317.0,317.0,297.0,299.1,23544,7123713.1
2022-08-10,RFPL,293.2,298.0,284.1,290.0,19990,5814558.8
2022-08-11,RFPL,295.8,297.0,285.0,288.6,17515,5117009.5
2022-08-14,RFPL,282.9,293.0,277.0,277.2,13651,3873960.0
2022-08-15,RFPL,273.0,304.9,273.0,304.9,15715,4610657.4
2022-08-16,RFPL,310.9,317.1,290.0,291.9,39575,11858243.7
2022-08-17,RFPL,292.0,308.9,286.2,298.0,13259,3910318.3
2022-08-18,RFPL,302.0,312.0,297.0,308.0,37341,11421968.2
2022-08-21,RFPL,306.0,314.0,290.0,292.0,16872,5106704.1
2022-08-22,RFPL,293.0,308.0,288.0,295.0,22188,6587478.0
2022-08-23,RFPL,296.0,303.0,293.1,294.4,10840,3205766.8
2022-08-24,RFPL,290.1,300.9,289.6,298.5,27752,8182262.0
2022-08-25,RFPL,297.0,306.0,287.1,288.0,27460,8028585.7
2022-08-26,RFPL,290.0,290.0,280.0,280.0,8763,2478439.7
2022-08-28,RFPL,275.0,280.0,263.5,265.0,23824,6439311.3
2022-08-29,RFPL,262.1,275.4,261.2,264.4,13340,3557111.9
2022-08-30,RFPL,265.0,284.2,263.0,267.0,10730,2861179.1
2022-08-31,RFPL,270.0,271.1,252.9,258.0,17589,4580455.2
2022-09-01,RFPL,255.0,271.0,250.0,266.0,9216,2370198.4
2022-09-02,RFPL,261.0,267.5,260.0,267.0,5110,1342686.4
2022-09-04,RFPL,267.0,269.3,262.0,267.0,4608,1220921.4
2022-09-05,RFPL,262.0,272.3,261.5,264.0,6407,1707279.0
2022-09-06,RFPL,260.0,265.0,252.0,252.0,5655,1446657.7
2022-09-07,RFPL,250.0,252.0,246.0,249.1,14255,3533030.2
2022-09-08,RFPL,254.0,264.0,240.0,250.0,12004,2982845.1
2022-09-11,RFPL,249.0,255.0,240.9,244.5,4744,1163772.1
2022-09-12,RFPL,239.7,244.0,235.3,238.1,10390,2482592.5
2022-09-13,RFPL,235.0,255.7,235.0,248.2,7165,1778646.3
2022-09-14,RFPL,248.0,261.9,247.2,260.4,13799,3554146.0
2022-09-15,RFPL,255.2,264.0,240.0,245.0,16392,4051554.5
2022-09-16,RFPL,240.1,241.0,222.0,232.0,12149,2804384.1
