BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-08-06,RHPL,0.0,292.0,262.8,263.0,6040.0,1686340.0
2019-08-07,RHPL,0.0,250.0,237.0,237.0,1720.0,408590.0
2019-08-08,RHPL,0.0,248.0,214.0,214.0,450161.0,97699181.0
2019-08-11,RHPL,0.0,219.0,207.0,214.0,217982.0,45959468.0
2019-08-12,RHPL,0.0,216.0,210.0,212.0,120516.0,25688270.0
2019-08-13,RHPL,0.0,215.0,210.0,211.0,67745.0,14349793.0
2019-08-14,RHPL,0.0,212.0,207.0,208.0,75889.0,15871479.0
2019-08-15,RHPL,0.0,212.0,204.0,210.0,42895.0,8952760.0
2019-08-18,RHPL,0.0,211.0,205.0,205.0,82602.0,17052529.0
2019-08-19,RHPL,0.0,208.0,200.0,206.0,105338.0,21516357.0
2019-08-20,RHPL,0.0,207.0,200.0,207.0,81600.0,16560280.0
2019-08-21,RHPL,0.0,204.0,200.0,200.0,47080.0,9448315.0
2019-08-22,RHPL,0.0,203.0,200.0,200.0,31447.0,6318507.0
2019-08-25,RHPL,0.0,202.0,192.0,195.0,55104.0,10742252.0
2019-08-26,RHPL,0.0,195.0,187.0,187.0,45230.0,8546790.0
2019-08-27,RHPL,0.0,195.0,185.0,191.0,27836.0,5290598.0
2019-08-28,RHPL,0.0,190.0,184.0,185.0,15595.0,2896715.0
2019-08-29,RHPL,0.0,187.0,182.0,185.0,31482.0,5802952.0
2019-09-01,RHPL,0.0,185.0,174.0,174.0,39290.0,7034340.0
2019-09-02,RHPL,0.0,174.0,170.0,173.0,32525.0,5584080.0
2019-09-03,RHPL,0.0,179.0,167.0,179.0,31313.0,5396414.0
2019-09-04,RHPL,0.0,181.0,172.0,177.0,25040.0,4403430.0
2019-09-05,RHPL,0.0,177.0,171.0,173.0,31245.0,5414465.0
2019-09-08,RHPL,0.0,176.0,168.0,168.0,19940.0,3393376.0
2019-09-09,RHPL,0.0,170.0,166.0,166.0,22735.0,3803325.0
2019-09-10,RHPL,0.0,170.0,160.0,161.0,45858.0,7449020.0
2019-09-11,RHPL,0.0,164.0,160.0,161.0,20610.0,3318470.0
2019-09-12,RHPL,0.0,162.0,158.0,158.0,28131.0,4486298.0
2019-09-15,RHPL,0.0,159.0,152.0,154.0,56655.0,8812910.0
2019-09-16,RHPL,0.0,159.0,151.0,155.0,38818.0,6026696.0
2019-09-17,RHPL,0.0,170.0,153.0,167.0,73396.0,11517294.0
2019-09-18,RHPL,0.0,172.0,162.0,169.0,78420.0,13065398.0
2019-09-19,RHPL,0.0,169.0,163.0,163.0,41800.0,6916190.0
2019-09-22,RHPL,0.0,163.0,155.0,155.0,32550.0,5104320.0
2019-09-23,RHPL,0.0,161.0,153.0,154.0,27512.0,4285448.0
2019-09-24,RHPL,0.0,156.0,153.0,155.0,14940.0,2311310.0
2019-09-25,RHPL,0.0,159.0,153.0,157.0,23697.0,3716505.0
2019-09-26,RHPL,0.0,161.0,155.0,157.0,29355.0,4626660.0
2019-09-29,RHPL,0.0,161.0,155.0,156.0,25010.0,3919780.0
2019-09-30,RHPL,0.0,161.0,156.0,160.0,10185.0,1607130.0
2019-10-01,RHPL,0.0,161.0,158.0,159.0,14012.0,2233706.0
2019-10-02,RHPL,0.0,162.0,157.0,158.0,14100.0,2249340.0
2019-10-03,RHPL,0.0,161.0,158.0,160.0,18535.0,2961030.0
2019-10-10,RHPL,0.0,162.0,158.0,161.0,5720.0,921630.0
2019-10-14,RHPL,0.0,163.0,158.0,158.0,6600.0,1045780.0
2019-10-15,RHPL,0.0,161.0,159.0,159.0,8600.0,1374390.0
2019-10-16,RHPL,0.0,163.0,159.0,161.0,15173.0,2449539.0
2019-10-17,RHPL,0.0,167.0,158.0,167.0,17962.0,2937949.0
2019-10-20,RHPL,0.0,167.0,161.0,166.0,20430.0,3342590.0
2019-10-21,RHPL,0.0,166.0,163.0,165.0,12250.0,2014510.0
2019-10-22,RHPL,0.0,174.0,163.0,169.0,22444.0,3751298.0
2019-10-23,RHPL,0.0,180.0,167.0,174.0,26193.0,4571307.0
2019-10-24,RHPL,0.0,182.0,172.0,180.0,63175.0,11303825.0
2019-10-31,RHPL,0.0,184.0,172.0,175.0,22420.0,3936640.0
2019-11-03,RHPL,0.0,177.0,170.0,171.0,23491.0,4061574.0
2019-11-04,RHPL,0.0,174.0,169.0,172.0,14780.0,2515120.0
2019-11-05,RHPL,0.0,173.0,170.0,171.0,10196.0,1746556.0
2019-11-06,RHPL,0.0,173.0,170.0,172.0,13085.0,2243640.0
2019-11-07,RHPL,0.0,172.0,169.0,171.0,9850.0,1672980.0
2019-11-10,RHPL,0.0,172.0,167.0,172.0,23095.0,3906770.0
2019-11-11,RHPL,0.0,176.0,168.0,170.0,23960.0,4057100.0
2019-11-12,RHPL,0.0,176.0,167.0,168.0,16365.0,2748740.0
2019-11-13,RHPL,0.0,169.0,166.0,167.0,14885.0,2484780.0
2019-11-14,RHPL,0.0,170.0,166.0,169.0,29211.0,4913870.0
2019-11-17,RHPL,0.0,169.0,166.0,166.0,23170.0,3873810.0
2019-11-18,RHPL,0.0,166.0,162.0,166.0,13089.0,2147357.0
2019-11-19,RHPL,0.0,165.0,163.0,163.0,9551.0,1562793.0
2019-11-20,RHPL,0.0,169.0,162.0,164.0,11875.0,1949300.0
2019-11-21,RHPL,0.0,166.0,162.0,166.0,16819.0,2752744.0
2019-11-24,RHPL,0.0,167.0,162.0,163.0,5791.0,946537.0
2019-11-25,RHPL,0.0,164.0,162.0,163.0,15870.0,2583480.0
2019-11-26,RHPL,0.0,163.0,162.0,162.0,14800.0,2400450.0
2019-11-27,RHPL,0.0,166.0,161.0,164.0,9754.0,1592634.0
2019-11-28,RHPL,0.0,166.0,163.0,163.0,8200.0,1340790.0
2019-12-01,RHPL,0.0,165.0,163.0,164.0,9217.0,1514268.0
2019-12-02,RHPL,0.0,169.0,164.0,166.0,17920.0,2990640.0
2019-12-03,RHPL,0.0,171.0,166.0,169.0,22080.0,3732970.0
2019-12-04,RHPL,0.0,175.0,169.0,172.0,18185.0,3136410.0
2019-12-05,RHPL,0.0,175.0,170.0,173.0,15070.0,2594060.0
2019-12-08,RHPL,0.0,172.0,169.0,171.0,10250.0,1741670.0
2019-12-09,RHPL,0.0,177.0,170.0,172.0,18712.0,3252804.0
2019-12-10,RHPL,0.0,177.0,171.0,171.0,18560.0,3206250.0
2019-12-11,RHPL,0.0,176.0,170.0,173.0,11020.0,1901390.0
2019-12-12,RHPL,0.0,185.0,172.0,179.0,32795.0,5817265.0
2019-12-15,RHPL,0.0,182.0,174.0,176.0,23055.0,4079590.0
2019-12-16,RHPL,0.0,177.0,171.0,172.0,13736.0,2377766.0
2019-12-17,RHPL,0.0,178.0,169.0,172.0,14180.0,2446090.0
2019-12-18,RHPL,0.0,173.0,170.0,171.0,10250.0,1755170.0
2019-12-19,RHPL,0.0,174.0,170.0,173.0,8010.0,1365520.0
2019-12-22,RHPL,0.0,173.0,170.0,172.0,20610.0,3521300.0
