BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-09-02,RMF1,10.0,10.15,9.98,10.1,16950,170491.8
2021-09-05,RMF1,10.1,10.3,9.85,9.95,40555,406688.0
2021-09-06,RMF1,9.95,10.1,9.95,10.05,30050,301525.5
2021-09-07,RMF1,9.95,10.09,9.95,10.0,9120,91526.0
2021-09-08,RMF1,10.0,10.05,9.97,10.03,14900,149025.52
2021-09-09,RMF1,9.95,10.0,9.85,9.88,63081,625125.19
2021-09-12,RMF1,9.89,10.0,9.89,9.96,21600,215410.0
2021-09-13,RMF1,9.98,9.98,9.85,9.92,21100,209395.96
2021-09-14,RMF1,9.9,10.05,9.9,9.91,18800,186398.0
2021-09-15,RMF1,9.9,10.1,9.9,9.93,6700,67234.0
2021-09-16,RMF1,9.85,10.0,9.82,9.85,55350,545588.5
2021-09-20,RMF1,9.8,9.89,9.71,9.71,50450,491267.0
2021-09-21,RMF1,9.6,9.8,9.5,9.61,27650,268715.0
2021-09-22,RMF1,9.7,10.0,9.62,9.65,74300,721626.0
2021-09-23,RMF1,9.47,9.88,9.47,9.7,56000,541549.6
2021-09-26,RMF1,9.7,9.8,9.58,9.59,10400,100460.9
2021-09-27,RMF1,9.5,9.69,9.32,9.5,15600,146963.0
2021-09-28,RMF1,9.32,9.52,9.32,9.4,21564,203289.5
2021-09-29,RMF1,9.4,9.67,9.4,9.61,16550,158148.5
2021-09-30,RMF1,9.6,9.65,9.42,9.52,12050,114918.5
2021-10-03,RMF1,9.33,9.5,9.3,9.5,18180,171570.9
2021-10-04,RMF1,9.32,9.69,9.31,9.32,12370,116027.5
2021-10-05,RMF1,9.3,9.61,9.25,9.51,4650,43923.5
2021-10-06,RMF1,9.7,9.89,9.61,9.62,9450,91404.5
2021-10-10,RMF1,9.62,9.9,9.57,9.81,9200,89281.0
2021-10-11,RMF1,9.62,9.75,9.56,9.75,3600,34611.0
2021-10-17,RMF1,9.7,10.04,9.7,10.04,12400,122757.0
2021-10-18,RMF1,9.85,9.89,9.7,9.89,13200,129838.0
2021-10-19,RMF1,9.9,9.9,9.36,9.41,35911,338598.81
2021-10-20,RMF1,9.5,9.97,9.5,9.9,17400,167502.0
2021-10-21,RMF1,10.0,10.0,9.71,9.9,4970,48799.7
2021-10-24,RMF1,9.72,9.9,9.54,9.7,25350,244704.21
2021-10-25,RMF1,9.65,9.89,9.65,9.77,10350,100859.0
2021-10-26,RMF1,9.77,10.0,9.65,9.97,4600,45765.0
2021-10-27,RMF1,9.79,9.9,9.78,9.82,5700,55915.0
2021-10-28,RMF1,9.7,9.9,9.7,9.78,19160,187101.5
2021-10-31,RMF1,9.78,9.81,9.6,9.76,29500,286585.0
2021-11-01,RMF1,9.8,9.85,9.65,9.66,15900,153921.5
2021-11-02,RMF1,9.66,9.8,9.6,9.6,67700,653260.0
2021-11-03,RMF1,9.78,9.78,9.6,9.61,26600,256664.0
2021-11-08,RMF1,9.5,9.7,9.5,9.69,12255,118735.5
2021-11-09,RMF1,9.7,9.7,9.47,9.5,47500,453306.0
2021-11-11,RMF1,9.36,9.6,9.36,9.48,10650,100680.7
2021-11-14,RMF1,9.36,9.54,9.36,9.54,13080,123420.5
2021-11-15,RMF1,9.54,9.72,9.2,9.55,10610,100223.8
2021-11-16,RMF1,9.5,9.69,9.4,9.64,19475,185424.75
