BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2015-12-29,SADBLP,0.0,200.0,200.0,200.0,112320.0,22464000.0
2017-11-02,SADBLP,0.0,205.0,204.0,205.0,108305.0,22156116.0
2017-11-22,SADBLP,0.0,205.0,205.0,205.0,129348.0,26516340.0
2018-02-26,SADBLP,0.0,165.0,165.0,165.0,95636.0,15779940.0
2018-06-07,SADBLP,0.0,150.0,150.0,150.0,126373.0,18955950.0
2018-08-08,SADBLP,0.0,150.0,150.0,150.0,18147.0,2722050.0
2018-08-12,SADBLP,0.0,150.0,150.0,150.0,16885.0,2532750.0
2018-12-31,SADBLP,0.0,100.0,100.0,100.0,31000.0,3100000.0
2019-04-03,SADBLP,0.0,118.0,118.0,118.0,17317.0,2043406.0
2019-04-04,SADBLP,0.0,118.0,118.0,118.0,2085.0,246030.0
2019-04-11,SADBLP,0.0,118.0,118.0,118.0,4317.0,509406.0
2019-06-27,SADBLP,0.0,118.0,118.0,118.0,46076.0,5436968.0
2019-07-16,SADBLP,0.0,118.0,118.0,118.0,28480.0,3360640.0
2019-07-25,SADBLP,0.0,118.0,118.0,118.0,9709.0,1145662.0
2019-12-01,SADBLP,0.0,116.0,116.0,116.0,10000.0,1160000.0
2019-12-29,SADBLP,0.0,114.0,114.0,114.0,13679.0,1559406.0
2019-12-30,SADBLP,0.0,114.0,114.0,114.0,12003.0,1368342.0
2020-07-15,SADBLP,0.0,114.0,114.0,114.0,2187.0,249318.0
2020-09-23,SADBLP,0.0,102.0,102.0,102.0,24743.0,2523786.0
2020-11-24,SADBLP,0.0,104.0,104.0,104.0,11612.0,1207648.0
2020-12-27,SADBLP,0.0,104.0,104.0,104.0,6165.0,641160.0
2021-03-02,SADBLP,0.0,121.0,121.0,121.0,5000.0,605000.0
2021-03-03,SADBLP,0.0,119.0,119.0,119.0,10000.0,1190000.0
2021-03-22,SADBLP,0.0,121.0,121.0,121.0,108122.0,13082762.0
2021-04-04,SADBLP,0.0,121.0,121.0,121.0,186849.0,22608729.0
2021-04-07,SADBLP,0.0,121.0,121.0,121.0,9434.0,1141514.0
2021-07-27,SADBLP,236.0,236.0,236.0,236.0,6290.0,1484440.0
2021-11-18,SADBLP,232.0,232.0,232.0,232.0,19825.0,4599400.0
2021-11-21,SADBLP,230.0,230.0,230.0,230.0,6086.0,1399780.0
2021-12-21,SADBLP,226.0,226.0,226.0,226.0,27000.0,6102000.0
2022-01-02,SADBLP,226.0,226.0,226.0,226.0,19827.0,4480902.0
2022-01-17,SADBLP,226.0,226.0,226.0,226.0,21810.0,4929060.0
2022-01-30,SADBLP,226.0,226.0,226.0,226.0,10000.0,2260000.0
2022-02-08,SADBLP,226.0,226.0,226.0,226.0,12592.0,2845792.0
2022-03-22,SADBLP,222.0,222.0,222.0,222.0,10500.0,2331000.0
2022-03-30,SADBLP,222.0,222.0,222.0,222.0,4709.0,1045398.0
2022-04-06,SADBLP,222.0,222.0,222.0,222.0,2500.0,555000.0
2022-05-20,SADBLP,222.0,222.0,222.0,222.0,124410.0,27619020.0
2022-06-23,SADBLP,218.0,218.0,218.0,218.0,25000.0,5450000.0
2022-06-24,SADBLP,214.0,214.0,214.0,214.0,80000.0,17120000.0
2022-07-12,SADBLP,214.0,214.0,214.0,214.0,4035.0,863490.0
2022-11-16,SADBLP,157.0,157.0,157.0,157.0,4007.0,629099.0
2022-11-23,SADBLP,157.0,157.0,157.0,157.0,50000.0,7850000.0
2022-12-07,SADBLP,157.0,157.0,157.0,157.0,19710.0,3094470.0
2023-01-26,SADBLP,157.0,157.0,157.0,157.0,6000.0,942000.0
2023-03-09,SADBLP,157.0,157.0,157.0,157.0,4383.0,688131.0
2023-04-17,SADBLP,157.0,157.0,157.0,157.0,9926.0,1558382.0
2023-06-04,SADBLP,157.0,157.0,157.0,157.0,9000.0,1413000.0
2023-06-27,SADBLP,157.0,157.0,157.0,157.0,10773.0,1691361.0
2023-10-16,SADBLP,163.0,163.0,163.0,163.0,5970.0,973110.0
2023-10-18,SADBLP,160.0,160.0,160.0,160.0,28000.0,4480000.0
