BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2018-02-28,SAEF,0.0,10.05,10.0,10.05,5500.0,55250.0
2018-03-04,SAEF,0.0,10.0,9.85,10.0,10900.0,108865.0
2018-03-05,SAEF,0.0,9.8,9.6,9.79,8600.0,83269.0
2018-03-06,SAEF,0.0,10.0,9.6,10.0,15000.0,149235.0
2018-03-07,SAEF,0.0,10.0,10.0,10.0,1000.0,10000.0
2018-03-11,SAEF,0.0,9.82,9.76,9.8,7000.0,68590.0
2018-03-12,SAEF,0.0,10.0,9.8,9.82,12500.0,123300.0
2018-03-14,SAEF,0.0,10.0,9.85,9.9,3500.0,34800.0
2018-03-15,SAEF,0.0,9.71,9.71,9.71,500.0,4855.0
2018-03-19,SAEF,0.0,10.2,9.65,10.2,32500.0,323070.0
2018-03-22,SAEF,0.0,10.0,9.8,9.8,4500.0,44220.0
2018-03-26,SAEF,0.0,9.6,9.6,9.6,3000.0,28800.0
2018-03-27,SAEF,0.0,9.5,9.5,9.5,5000.0,47500.0
2018-03-28,SAEF,0.0,9.55,9.5,9.51,5000.0,47530.0
2018-03-29,SAEF,0.0,9.51,9.32,9.45,24000.0,226720.0
2018-04-03,SAEF,0.0,9.45,9.45,9.45,1000.0,9450.0
2018-04-04,SAEF,0.0,9.64,9.51,9.51,13000.0,123965.0
2018-04-05,SAEF,0.0,9.51,9.32,9.51,12000.0,112220.0
2018-04-08,SAEF,0.0,9.7,9.7,9.7,11500.0,111550.0
2018-04-09,SAEF,0.0,9.9,9.72,9.9,10900.0,107475.0
2018-04-10,SAEF,0.0,10.05,9.8,10.05,16000.0,160300.0
2018-04-11,SAEF,0.0,10.0,9.95,10.0,18200.0,181995.0
2018-04-15,SAEF,0.0,9.8,9.8,9.8,2900.0,28420.0
2018-04-16,SAEF,0.0,9.7,9.65,9.65,11000.0,106650.0
2018-04-18,SAEF,0.0,9.5,9.35,9.35,2000.0,18850.0
2018-04-19,SAEF,0.0,9.53,9.2,9.53,4230.0,39544.2
2018-04-22,SAEF,0.0,9.89,9.34,9.89,7500.0,72350.0
2018-04-24,SAEF,0.0,10.0,9.8,10.0,91890.0,908162.0
2018-04-25,SAEF,0.0,10.01,10.0,10.01,4000.0,40010.0
2018-04-29,SAEF,0.0,9.9,9.8,9.9,23000.0,226120.0
2018-05-02,SAEF,0.0,9.75,9.57,9.57,5000.0,48060.0
2018-05-03,SAEF,0.0,9.76,9.76,9.76,1000.0,9760.0
2018-05-06,SAEF,0.0,9.65,9.57,9.65,4000.0,38520.0
2018-05-07,SAEF,0.0,9.46,9.46,9.46,23300.0,220418.0
2018-05-08,SAEF,0.0,9.8,9.64,9.8,2850.0,27620.0
2018-05-09,SAEF,0.0,9.8,9.8,9.8,800.0,7840.0
2018-05-10,SAEF,0.0,10.0,10.0,10.0,200.0,2000.0
2018-05-14,SAEF,0.0,9.8,9.6,9.6,8000.0,77400.0
2018-05-15,SAEF,0.0,9.41,9.41,9.41,500.0,4705.0
2018-05-16,SAEF,0.0,9.4,9.4,9.4,2100.0,19740.0
2018-05-17,SAEF,0.0,9.59,9.5,9.59,200.0,1909.0
2018-05-20,SAEF,0.0,9.5,9.5,9.5,2000.0,19000.0
2018-05-21,SAEF,0.0,9.6,9.45,9.45,3000.0,28650.0
2018-05-22,SAEF,0.0,9.8,9.51,9.8,25200.0,241182.0
2018-05-23,SAEF,0.0,10.0,9.8,9.8,1500.0,14900.0
2018-05-24,SAEF,0.0,9.6,9.6,9.6,1500.0,14400.0
2018-05-29,SAEF,0.0,9.6,9.6,9.6,3000.0,28800.0
2018-05-30,SAEF,0.0,9.6,9.41,9.5,2500.0,23760.0
2018-06-04,SAEF,0.0,9.31,9.31,9.31,2000.0,18620.0
2018-06-07,SAEF,0.0,9.31,9.13,9.3,2000.0,18588.0
2018-06-10,SAEF,0.0,9.49,9.49,9.49,5000.0,47450.0
2018-06-11,SAEF,0.0,9.4,9.25,9.3,7000.0,65025.0
2018-06-12,SAEF,0.0,9.5,9.31,9.31,16700.0,158417.0
2018-06-13,SAEF,0.0,9.28,9.28,9.28,5000.0,46400.0
2018-06-14,SAEF,0.0,9.28,9.1,9.1,1000.0,9118.0
2018-06-17,SAEF,0.0,9.1,9.09,9.1,1100.0,10005.0
2018-06-18,SAEF,0.0,9.1,9.1,9.1,5000.0,45500.0
2018-06-19,SAEF,0.0,9.47,9.28,9.47,25000.0,236275.0
2018-06-20,SAEF,0.0,9.3,9.3,9.3,50000.0,465000.0
2018-06-27,SAEF,0.0,9.2,9.12,9.2,3000.0,27440.0
2018-06-28,SAEF,0.0,9.38,9.38,9.38,1000.0,9380.0
2018-07-01,SAEF,0.0,9.19,9.01,9.05,6500.0,58900.0
2018-07-02,SAEF,0.0,9.0,9.0,9.0,1000.0,9000.0
2018-07-03,SAEF,0.0,9.12,9.0,9.12,41000.0,369120.0
2018-07-04,SAEF,0.0,9.1,9.0,9.1,5000.0,45290.0
2018-07-05,SAEF,0.0,9.0,9.0,9.0,500.0,4500.0
2018-07-11,SAEF,0.0,9.0,8.82,8.97,2100.0,18827.0
2018-07-12,SAEF,0.0,9.01,9.01,9.01,1625.0,14641.25
2018-07-15,SAEF,0.0,9.37,9.19,9.37,3000.0,27750.0
2018-07-16,SAEF,0.0,9.56,9.2,9.56,2800.0,26408.0
2018-07-18,SAEF,0.0,9.37,9.37,9.37,900.0,8433.0
2018-07-19,SAEF,0.0,9.56,9.37,9.56,1500.0,14150.0
2018-07-23,SAEF,0.0,9.37,9.37,9.37,1000.0,9370.0
2018-07-24,SAEF,0.0,9.36,9.18,9.27,1100.0,10233.0
2018-07-26,SAEF,0.0,9.25,9.08,9.08,14200.0,130536.0
2018-07-29,SAEF,0.0,9.01,9.01,9.01,550.0,4955.5
2018-07-30,SAEF,0.0,9.15,9.15,9.15,500.0,4575.0
2018-07-31,SAEF,0.0,9.12,9.12,9.12,500.0,4560.0
2018-08-01,SAEF,0.0,9.2,9.2,9.2,5000.0,46000.0
2018-08-05,SAEF,0.0,9.11,9.05,9.11,1000.0,9080.0
2018-08-08,SAEF,0.0,9.19,9.01,9.19,6400.0,58744.0
2018-08-09,SAEF,0.0,9.25,9.1,9.16,30000.0,275890.0
2018-08-12,SAEF,0.0,9.25,9.15,9.25,19000.0,174750.0
2018-08-13,SAEF,0.0,9.3,9.25,9.3,6950.0,64567.5
2018-08-15,SAEF,0.0,9.3,9.3,9.3,2000.0,18600.0
2018-08-21,SAEF,0.0,9.11,9.0,9.0,2500.0,22610.0
2018-08-22,SAEF,0.0,9.0,9.0,9.0,8200.0,73800.0
2018-08-28,SAEF,0.0,9.0,9.0,9.0,1500.0,13500.0
2018-08-29,SAEF,0.0,8.88,8.86,8.88,1000.0,8870.0
2018-08-30,SAEF,0.0,8.95,8.95,8.95,1000.0,8950.0
2018-09-03,SAEF,0.0,9.3,9.0,9.3,7300.0,66076.0
2018-09-04,SAEF,0.0,9.6,9.49,9.58,13200.0,126268.0
2018-09-06,SAEF,0.0,9.39,9.39,9.39,2500.0,23475.0
2018-09-09,SAEF,0.0,9.58,9.39,9.58,9110.0,87083.8
2018-09-11,SAEF,0.0,9.77,9.5,9.57,18000.0,173640.0
2018-09-12,SAEF,0.0,9.4,9.4,9.4,500.0,4700.0
2018-09-13,SAEF,0.0,9.69,9.49,9.6,33490.0,318385.0
2018-09-16,SAEF,0.0,9.89,9.7,9.89,17160.0,167432.4
2018-09-17,SAEF,0.0,9.8,9.8,9.8,2000.0,19600.0
2018-09-18,SAEF,0.0,10.0,10.0,10.0,10000.0,100000.0
2018-09-20,SAEF,0.0,9.8,9.6,9.6,1000.0,9700.0
2018-09-23,SAEF,0.0,9.65,9.6,9.65,5000.0,48100.0
2018-09-25,SAEF,0.0,9.6,9.6,9.65,11750.0,112900.0
2018-10-01,SAEF,0.0,9.45,9.41,9.45,1800.0,16978.0
2018-10-02,SAEF,0.0,9.4,9.4,9.4,1000.0,9400.0
2018-10-07,SAEF,0.0,9.45,9.45,9.45,1000.0,9450.0
2018-10-08,SAEF,0.0,9.27,9.27,9.27,2000.0,18540.0
2018-10-14,SAEF,0.0,9.4,9.3,9.32,4500.0,42070.0
2018-10-15,SAEF,0.0,9.51,9.51,9.51,500.0,4755.0
2018-10-21,SAEF,0.0,9.51,9.51,9.51,5000.0,47550.0
2018-10-23,SAEF,0.0,9.75,9.51,9.75,8000.0,76725.0
2018-10-25,SAEF,0.0,9.75,9.4,9.4,3000.0,28980.0
2018-10-28,SAEF,0.0,9.5,9.4,9.45,7850.0,74204.5
2018-10-29,SAEF,0.0,9.42,9.23,9.23,2960.0,27408.2
2018-10-30,SAEF,0.0,9.3,9.27,9.3,8600.0,79740.0
2018-11-01,SAEF,0.0,9.3,9.3,9.3,600.0,5580.0
2018-11-04,SAEF,0.0,9.15,9.15,9.15,500.0,4575.0
2018-11-05,SAEF,0.0,9.25,9.25,9.25,500.0,4625.0
2018-11-11,SAEF,0.0,9.25,9.08,9.0,10000.0,90800.0
2018-11-12,SAEF,0.0,9.1,9.0,9.0,5000.0,45000.0
2018-11-13,SAEF,0.0,9.0,8.85,8.0,9000.0,78000.0
2018-11-14,SAEF,0.0,8.16,8.0,8.0,1000.0,8000.0
2018-11-15,SAEF,0.0,8.0,8.0,8.0,500.0,4000.0
2018-11-20,SAEF,0.0,8.4,8.0,8.0,2900.0,24312.0
2018-11-25,SAEF,0.0,8.16,8.0,8.16,800.0,6528.0
2018-11-26,SAEF,0.0,8.32,8.16,8.32,5000.0,41600.0
2018-11-28,SAEF,0.0,8.52,8.32,8.52,5500.0,46710.0
2018-11-29,SAEF,0.0,8.69,8.45,8.52,10000.0,85215.0
2018-12-02,SAEF,0.0,8.56,8.52,8.55,6500.0,55585.0
2018-12-03,SAEF,0.0,8.72,8.55,8.56,4000.0,34400.0
2018-12-04,SAEF,0.0,8.73,8.56,8.73,1000.0,8730.0
2018-12-09,SAEF,0.0,8.73,8.56,8.56,2090.0,17895.4
2018-12-10,SAEF,0.0,8.73,8.56,8.64,6500.0,56295.0
2018-12-11,SAEF,0.0,8.81,8.64,8.65,12000.0,104320.0
2018-12-12,SAEF,0.0,8.7,8.65,8.7,4930.0,42864.7
2018-12-16,SAEF,0.0,8.86,8.7,8.8,6500.0,57290.0
2018-12-17,SAEF,0.0,8.8,8.63,8.68,950.0,8213.5
2018-12-18,SAEF,0.0,8.85,8.68,8.85,4500.0,39825.0
2018-12-20,SAEF,0.0,8.85,8.68,8.75,6850.0,59878.0
2018-12-24,SAEF,0.0,8.75,8.6,8.64,1300.0,11204.0
