BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-10-31,SAHAS,405.3,445.8,405.3,445.8,667,293759.1
2021-11-01,SAHAS,445.8,490.3,445.8,490.3,957,466425.9
2021-11-02,SAHAS,500.0,539.3,500.0,539.3,2891,1557835.2
2021-11-03,SAHAS,550.0,593.2,550.0,593.2,7962,4719682.1
2021-11-08,SAHAS,605.0,652.5,605.0,652.5,28872,18817807.9
2021-11-09,SAHAS,665.5,717.7,665.0,717.7,369134,257954417.8
2021-11-11,SAHAS,732.0,789.4,681.0,772.5,124511,93553669.9
2021-11-14,SAHAS,772.5,772.5,696.5,705.0,186015,134423732.3
2021-11-15,SAHAS,705.0,733.0,691.1,714.0,84049,59725214.0
2021-11-16,SAHAS,714.0,765.0,700.5,762.0,106613,78470416.5
2021-11-17,SAHAS,762.0,780.0,747.0,752.0,111965,85758375.1
2021-11-18,SAHAS,740.0,752.0,725.0,726.0,79612,58472768.3
2021-11-21,SAHAS,712.0,748.6,712.0,712.0,57348,41165888.6
2021-11-22,SAHAS,701.0,733.0,701.0,723.0,61413,44398345.0
2021-11-23,SAHAS,723.0,725.0,705.0,710.0,61860,44138550.0
2021-11-24,SAHAS,700.0,725.1,697.0,716.0,40398,28644275.0
2021-11-25,SAHAS,716.0,730.0,705.0,706.0,36247,25842139.0
2021-11-28,SAHAS,692.0,704.0,679.0,682.0,61690,42432079.6
2021-11-29,SAHAS,675.0,683.0,655.0,658.0,59294,39655691.4
2021-11-30,SAHAS,655.0,678.3,640.0,649.0,42982,27933731.3
2021-12-01,SAHAS,636.1,666.6,636.1,649.0,24083,15753269.8
2021-12-02,SAHAS,648.0,653.0,616.6,620.0,38173,24152942.0
2021-12-05,SAHAS,608.0,618.0,592.0,600.0,41265,24760495.9
2021-12-06,SAHAS,591.0,649.0,575.0,649.0,55590,33512905.5
2021-12-07,SAHAS,661.0,673.9,616.2,635.0,59575,38352655.5
2021-12-08,SAHAS,622.3,634.0,594.0,595.0,31289,18929146.0
2021-12-09,SAHAS,595.0,619.0,572.0,581.0,44125,25700423.0
2021-12-12,SAHAS,570.1,584.6,545.0,545.0,39265,21998112.2
2021-12-13,SAHAS,535.0,542.0,500.0,513.0,38196,19595979.6
2021-12-14,SAHAS,505.0,564.0,505.0,563.0,14615,7901219.0
2021-12-15,SAHAS,566.0,600.0,545.0,548.0,30603,17373730.2
2021-12-16,SAHAS,548.0,570.0,523.0,540.0,36059,19324673.7
2021-12-20,SAHAS,530.0,545.2,514.0,524.5,18596,9764185.6
2021-12-21,SAHAS,514.1,540.0,514.1,533.2,23307,12306574.5
2021-12-22,SAHAS,522.6,560.0,522.6,558.9,25566,14142929.3
2021-12-23,SAHAS,565.0,571.5,540.2,551.0,41614,23228297.5
2021-12-26,SAHAS,551.0,572.0,542.1,557.0,27500,15203716.8
2021-12-27,SAHAS,555.0,564.0,530.0,533.2,50149,27239805.4
2021-12-28,SAHAS,523.0,540.0,515.0,537.0,21213,11283709.0
2021-12-29,SAHAS,537.0,548.0,530.0,545.0,16170,8739423.0
2022-01-02,SAHAS,540.0,565.0,534.2,549.0,15457,8417646.9
2022-01-03,SAHAS,545.0,559.0,539.0,544.0,46593,25564459.0
2022-01-04,SAHAS,541.0,568.0,536.0,566.0,27443,15226271.3
2022-01-05,SAHAS,565.0,608.0,560.6,580.0,69522,40744392.3
2022-01-06,SAHAS,570.0,608.0,569.0,607.0,67178,40122758.1
2022-01-09,SAHAS,610.0,655.8,610.0,626.0,70612,44462698.0
2022-01-10,SAHAS,626.0,652.8,618.1,641.0,98654,62817870.6
2022-01-11,SAHAS,639.0,659.9,628.0,640.0,55114,35518861.7
2022-01-12,SAHAS,640.0,680.0,630.0,633.0,69261,44828249.8
2022-01-13,SAHAS,630.0,662.0,630.0,651.0,49360,31894723.6
2022-01-16,SAHAS,651.0,675.0,645.0,648.0,73826,48711285.4
2022-01-17,SAHAS,648.0,660.0,637.0,651.0,50062,32502580.4
2022-01-18,SAHAS,650.0,663.0,636.0,645.0,39260,25363218.7
2022-01-19,SAHAS,635.0,650.0,621.2,625.0,39319,24814965.6
2022-01-20,SAHAS,615.1,636.0,615.1,632.5,44219,27757637.0
2022-01-23,SAHAS,640.0,650.0,624.0,624.0,28508,18076617.3
2022-01-24,SAHAS,630.0,634.0,585.0,596.0,61455,37216571.8
2022-01-25,SAHAS,590.0,604.0,584.0,584.0,45434,26916291.5
2022-01-26,SAHAS,584.0,597.0,570.0,575.3,37192,21555101.4
2022-01-27,SAHAS,585.0,593.0,567.5,579.0,19650,11447017.5
2022-01-30,SAHAS,590.0,620.0,590.0,620.0,54130,33064320.0
2022-01-31,SAHAS,632.0,632.0,610.3,625.9,40002,24848791.3
2022-02-01,SAHAS,626.0,664.9,615.0,660.0,99983,64652281.2
2022-02-03,SAHAS,673.2,726.0,673.2,700.0,243194,171135531.8
2022-02-06,SAHAS,698.0,734.0,680.0,720.0,169085,119743605.8
2022-02-07,SAHAS,734.4,734.4,700.0,701.0,101453,72209854.1
2022-02-08,SAHAS,714.0,734.0,682.1,689.0,81890,57278616.5
2022-02-09,SAHAS,690.0,700.0,676.0,689.0,50041,34226961.0
2022-02-10,SAHAS,689.0,693.0,671.0,673.4,51427,34854960.2
2022-02-13,SAHAS,660.0,661.0,625.0,630.0,95498,60689457.9
2022-02-14,SAHAS,629.0,648.0,629.0,639.7,37280,23825280.2
2022-02-15,SAHAS,635.0,678.0,635.0,675.0,31341,20503396.1
2022-02-16,SAHAS,675.0,684.0,651.0,660.0,39735,26447485.6
2022-02-17,SAHAS,648.1,675.0,648.1,660.0,29969,19750016.5
2022-02-20,SAHAS,648.0,681.0,625.0,650.2,69901,45946870.5
2022-02-21,SAHAS,638.0,695.0,638.0,690.0,88463,59943198.2
2022-02-22,SAHAS,703.8,715.0,690.0,692.0,103869,73065018.8
2022-02-23,SAHAS,690.0,700.0,681.0,686.0,37756,26033406.4
2022-02-24,SAHAS,673.0,690.0,660.0,665.2,66226,44469943.4
2022-02-27,SAHAS,674.0,685.0,651.9,671.0,44118,29656434.7
2022-02-28,SAHAS,684.0,694.0,640.1,640.2,64135,42416459.8
2022-03-02,SAHAS,650.0,650.0,620.0,625.0,58139,36512026.0
2022-03-06,SAHAS,612.5,634.0,603.0,615.0,42341,26124378.9
2022-03-07,SAHAS,627.0,627.0,608.0,610.0,22758,14052026.9
2022-03-09,SAHAS,610.0,617.0,595.0,595.0,30491,18393624.5
2022-03-10,SAHAS,594.0,630.0,591.0,628.0,36156,22163665.0
2022-03-13,SAHAS,639.9,650.0,625.0,648.0,37429,24020261.2
2022-03-14,SAHAS,650.0,650.0,632.5,637.2,12016,7698735.0
2022-03-15,SAHAS,637.0,642.0,626.0,627.3,29790,18796780.0
2022-03-16,SAHAS,627.3,638.0,615.0,615.0,34061,21163832.9
2022-03-20,SAHAS,620.0,625.0,608.0,610.0,23212,14209723.3
2022-03-21,SAHAS,600.0,641.0,600.0,634.0,33593,20861245.5
2022-03-22,SAHAS,621.5,656.0,621.5,645.0,51779,33427503.7
2022-03-23,SAHAS,632.1,642.0,632.1,638.0,15415,9811673.4
2022-03-24,SAHAS,627.0,640.0,626.5,627.0,18812,11876250.4
