BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2020-11-22,SAPDBLP,0.0,102.0,102.0,102.0,26406.0,2693412.0
2020-12-13,SAPDBLP,0.0,102.0,102.0,102.0,4372.0,445944.0
2020-12-15,SAPDBLP,0.0,102.0,102.0,102.0,15346.0,1565292.0
2020-12-29,SAPDBLP,0.0,102.0,102.0,102.0,11914.0,1215228.0
2021-02-14,SAPDBLP,0.0,104.0,104.0,104.0,6588.0,685152.0
2021-02-21,SAPDBLP,0.0,104.0,104.0,104.0,5088.0,529152.0
2021-05-02,SAPDBLP,0.0,104.0,104.0,104.0,5028.0,522912.0
2021-06-28,SAPDBLP,207.0,207.0,207.0,207.0,10659.0,2206413.0
2021-07-27,SAPDBLP,207.0,207.0,207.0,207.0,12856.0,2661192.0
2021-08-01,SAPDBLP,207.0,207.0,207.0,207.0,12630.0,2614410.0
2021-08-11,SAPDBLP,207.0,207.0,207.0,207.0,17680.0,3659760.0
2021-10-24,SAPDBLP,198.0,198.0,198.0,198.0,6830.0,1352340.0
2022-02-23,SAPDBLP,194.0,194.0,194.0,194.0,10246.0,1987724.0
2022-02-28,SAPDBLP,194.0,194.0,194.0,194.0,10658.0,2067652.0
2022-08-10,SAPDBLP,145.0,145.0,145.0,145.0,91700.0,13296500.0
2023-08-29,SAPDBLP,129.0,129.0,129.0,129.0,95007.0,12255903.0
2023-08-30,SAPDBLP,129.0,129.0,129.0,129.0,27787.0,3584523.0
