BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-04-24,SBBLPO,0.0,167.0,164.0,164.0,200.0,33100.0
2012-04-26,SBBLPO,0.0,161.0,149.0,149.0,500.0,77500.0
2012-04-29,SBBLPO,0.0,147.0,135.0,135.0,700.0,98700.0
2012-05-02,SBBLPO,0.0,133.0,129.0,129.0,300.0,39300.0
2012-05-03,SBBLPO,0.0,127.0,127.0,127.0,300.0,38100.0
2012-05-07,SBBLPO,0.0,121.0,115.0,115.0,632000.0,72681200.0
2012-05-09,SBBLPO,0.0,113.0,109.0,109.0,300000.0,32705000.0
2012-05-10,SBBLPO,0.0,109.0,109.0,109.0,153000.0,16677000.0
2012-05-24,SBBLPO,0.0,111.0,111.0,111.0,65000.0,7215000.0
2012-05-31,SBBLPO,0.0,115.0,113.0,115.0,50000.0,5660000.0
2012-06-06,SBBLPO,0.0,122.0,120.0,122.0,3000.0,362000.0
2012-06-26,SBBLPO,0.0,130.0,124.0,130.0,6000.0,758000.0
2012-06-27,SBBLPO,0.0,140.0,136.0,140.0,4000.0,550000.0
2012-07-02,SBBLPO,0.0,149.0,147.0,149.0,2000.0,296000.0
2013-02-20,SBBLPO,0.0,151.0,151.0,151.0,62800.0,9482800.0
2013-02-25,SBBLPO,0.0,158.0,158.0,158.0,200.0,31600.0
2013-09-24,SBBLPO,0.0,158.0,158.0,158.0,17214.0,2719812.0
2014-06-09,SBBLPO,0.0,161.0,161.0,161.0,40000.0,6440000.0
2014-06-12,SBBLPO,0.0,164.0,164.0,164.0,58440.0,9584160.0
2014-06-23,SBBLPO,0.0,172.0,172.0,172.0,1560.0,268320.0
2016-04-10,SBBLPO,0.0,172.0,172.0,172.0,69679.0,11984788.0
2016-05-26,SBBLPO,0.0,450.0,450.0,450.0,69679.0,31355550.0
2016-06-06,SBBLPO,0.0,450.0,450.0,450.0,132996.0,59848200.0
2017-04-10,SBBLPO,0.0,265.0,265.0,265.0,74170.0,19655050.0
2017-05-22,SBBLPO,0.0,265.0,260.0,265.0,25956.0,6803960.0
2017-05-28,SBBLPO,0.0,265.0,265.0,265.0,30.0,7950.0
2018-08-13,SBBLPO,0.0,170.0,170.0,170.0,20262.0,3444540.0
2019-04-29,SBBLPO,0.0,181.0,181.0,181.0,700.0,126700.0
2019-05-09,SBBLPO,0.0,181.0,181.0,181.0,1805000.0,325080500.0
2019-05-12,SBBLPO,0.0,181.0,181.0,181.0,913835.0,164581683.5
2020-01-12,SBBLPO,0.0,180.0,180.0,180.0,80000.0,14400000.0
2020-01-21,SBBLPO,0.0,180.0,180.0,180.0,220000.0,39600000.0
2020-10-14,SBBLPO,0.0,180.0,180.0,180.0,100000.0,18000000.0
2021-09-15,SBBLPO,272.5,272.5,272.5,272.5,35000.0,9537500.0
2021-09-20,SBBLPO,267.1,267.1,261.8,261.8,235460.0,61831366.0
2022-03-02,SBBLPO,185.0,185.0,185.0,185.0,5300.0,980500.0
2022-03-22,SBBLPO,185.0,185.0,185.0,185.0,14918.0,2759830.0
2022-04-24,SBBLPO,185.0,185.0,185.0,185.0,1000000.0,220010000.0
2022-07-05,SBBLPO,151.0,151.0,151.0,151.0,2000000.0,302000000.0
