BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-06-02,SBD87,0.0,1000.0,1000.0,995.0,380.0,380500.0
2021-06-03,SBD87,0.0,1000.0,998.0,998.0,205.0,204630.0
2021-06-06,SBD87,995.0,1000.0,990.0,1000.0,175.0,173995.0
2021-06-07,SBD87,1002.0,1005.0,990.0,1000.0,425.0,425475.0
2021-06-08,SBD87,995.0,1001.0,995.0,1001.0,470.0,468250.0
2021-06-09,SBD87,995.0,1001.0,995.0,996.0,450.0,449150.0
2021-06-10,SBD87,996.0,1000.0,995.0,995.0,255.0,253995.0
2021-06-13,SBD87,990.0,1005.0,990.0,1000.0,590.0,590345.0
2021-06-14,SBD87,1000.0,1008.0,996.0,1008.0,260.0,261730.0
2021-06-15,SBD87,995.0,1005.0,995.0,999.0,925.0,924825.0
2021-06-16,SBD87,996.0,1001.0,996.0,1001.0,120.0,119810.0
2021-06-17,SBD87,1001.0,1001.0,1000.0,1000.0,300.0,300100.0
2021-06-20,SBD87,997.0,1000.0,997.0,1000.0,290.0,289955.0
2021-06-21,SBD87,1003.0,1003.0,1001.0,1001.0,75.0,75135.0
2021-06-22,SBD87,1000.0,1005.0,1000.0,1002.0,140.0,140380.0
2021-06-23,SBD87,1000.0,1002.0,1000.0,1002.0,75.0,75100.0
2021-06-24,SBD87,1002.0,1010.0,1000.0,1010.0,355.0,357175.0
2021-06-27,SBD87,1002.0,1005.0,1002.0,1005.0,210.0,210815.0
2021-06-28,SBD87,1005.0,1005.0,1005.0,1005.0,220.0,221100.0
2021-06-29,SBD87,1003.0,1007.0,1003.0,1007.0,100.0,100500.0
2021-07-01,SBD87,1005.0,1005.0,1004.0,1004.0,45.0,45200.0
2021-07-04,SBD87,1001.0,1005.0,1001.0,1005.0,230.0,230810.0
2021-07-05,SBD87,1004.0,1004.0,1002.0,1002.0,275.0,275750.0
2021-07-06,SBD87,1005.0,1005.0,1004.0,1004.0,80.0,80350.0
2021-07-07,SBD87,1003.0,1005.0,1003.0,1005.0,65.0,65275.0
2021-07-11,SBD87,1005.0,1008.0,1005.0,1008.0,325.0,327300.0
2021-07-12,SBD87,1007.0,1007.0,1006.0,1006.0,147.0,147979.0
2021-07-13,SBD87,1004.0,1009.0,1004.0,1009.0,50.0,50325.0
2021-07-15,SBD87,1004.0,1004.0,1004.0,1004.0,25.0,25100.0
2021-07-18,SBD87,984.3,995.0,984.3,995.0,95.0,93722.5
2021-07-19,SBD87,995.0,995.0,995.0,995.0,450.0,447750.0
2021-07-20,SBD87,995.0,1000.0,995.0,995.0,75.0,74675.0
2021-07-22,SBD87,995.0,996.0,994.0,996.0,130.0,129357.0
2021-07-25,SBD87,995.0,995.0,995.0,995.0,450.0,447750.0
2021-07-26,SBD87,985.0,985.0,985.0,985.0,270.0,265950.0
2021-07-27,SBD87,981.0,985.0,981.0,985.0,180.0,177180.0
2021-07-28,SBD87,985.0,995.0,984.0,990.0,235.0,232400.0
2021-07-29,SBD87,985.1,995.0,985.1,995.0,75.0,74308.0
2021-08-01,SBD87,990.0,990.0,990.0,990.0,25.0,24750.0
2021-08-02,SBD87,985.0,985.0,985.0,985.0,355.0,349675.0
2021-08-03,SBD87,990.0,990.0,990.0,990.0,40.0,39600.0
2021-08-04,SBD87,983.0,985.6,983.0,985.0,320.0,315041.0
2021-08-05,SBD87,986.0,986.0,986.0,986.0,10.0,9860.0
2021-08-08,SBD87,985.0,986.2,985.0,986.2,55.0,54208.0
2021-08-09,SBD87,986.2,987.0,986.2,986.2,95.0,93737.0
2021-08-10,SBD87,986.0,988.0,986.0,986.1,75.0,74002.5
2021-08-11,SBD87,986.1,988.5,986.1,988.5,150.0,148155.0
2021-08-12,SBD87,988.5,988.0,988.0,988.0,45.0,44460.0
2021-08-15,SBD87,988.0,988.0,985.1,985.1,330.0,325337.5
