BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2020-09-14,SBIBD86,0.0,1021.0,1000.0,1021.0,105.0,105295.0
2020-09-16,SBIBD86,0.0,1050.0,1050.0,1050.0,980.0,1029000.0
2020-09-17,SBIBD86,0.0,1029.0,1029.0,1029.0,25.0,25725.0
2020-09-23,SBIBD86,0.0,1029.0,1015.0,1015.0,80.0,81900.0
2020-09-28,SBIBD86,0.0,1015.0,1015.0,1015.0,25.0,25375.0
2020-10-01,SBIBD86,0.0,1000.0,1000.0,1000.0,50.0,50000.0
2020-10-05,SBIBD86,0.0,1019.0,1019.0,1019.0,50.0,50950.0
2020-10-07,SBIBD86,0.0,1015.0,1015.0,1015.0,25.0,25375.0
2020-10-12,SBIBD86,0.0,1015.0,1015.0,1015.0,50.0,50750.0
2020-10-13,SBIBD86,0.0,1020.0,1020.0,1020.0,10.0,10200.0
2020-11-01,SBIBD86,0.0,1040.0,1040.0,1040.0,250.0,260000.0
2020-11-02,SBIBD86,0.0,1050.0,1050.0,1050.0,950.0,997500.0
2020-11-05,SBIBD86,0.0,1036.0,1036.0,1036.0,10.0,10360.0
2020-11-09,SBIBD86,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2020-11-11,SBIBD86,0.0,1031.0,1031.0,1031.0,25.0,25775.0
2020-11-12,SBIBD86,0.0,1031.0,1031.0,1031.0,25.0,25775.0
2020-12-01,SBIBD86,0.0,1011.0,1011.0,1011.0,100.0,101100.0
2020-12-02,SBIBD86,0.0,1013.0,1013.0,1013.0,30.0,30390.0
2020-12-10,SBIBD86,0.0,1015.0,1015.0,1015.0,25.0,25375.0
2020-12-14,SBIBD86,0.0,1022.0,1022.0,1022.0,200.0,204400.0
2020-12-15,SBIBD86,0.0,1042.0,1042.0,1042.0,230.0,239660.0
2020-12-20,SBIBD86,0.0,1050.0,1050.0,1050.0,30.0,31500.0
2020-12-22,SBIBD86,0.0,1045.0,1045.0,1045.0,50.0,52250.0
2020-12-23,SBIBD86,0.0,1050.0,1050.0,1050.0,500.0,525000.0
2020-12-27,SBIBD86,0.0,1071.0,1071.0,1071.0,25.0,26775.0
2020-12-28,SBIBD86,0.0,1060.0,1060.0,1060.0,100.0,106000.0
2020-12-30,SBIBD86,0.0,1065.0,1065.0,1065.0,500.0,532500.0
2021-01-03,SBIBD86,0.0,1050.0,1045.0,1045.0,845.0,885525.0
2021-01-04,SBIBD86,0.0,1050.0,1050.0,1050.0,50.0,52500.0
2021-01-06,SBIBD86,0.0,1051.0,1051.0,1051.0,99.0,104049.0
2021-01-17,SBIBD86,0.0,1050.0,1050.0,1050.0,50.0,52500.0
