BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-12-30,SBLD2082,0.0,975.0,975.0,975.0,50000.0,48750000.0
2020-01-20,SBLD2082,0.0,977.0,977.0,977.0,50.0,48850.0
2020-01-29,SBLD2082,0.0,959.0,959.0,959.0,25.0,23975.0
2020-01-30,SBLD2082,0.0,959.0,959.0,959.0,25.0,23975.0
2020-03-12,SBLD2082,0.0,978.0,960.0,978.0,65.0,62695.0
2020-07-01,SBLD2082,0.0,978.0,978.0,978.0,75.0,73350.0
2020-07-02,SBLD2082,0.0,978.0,978.0,978.0,10.0,9780.0
2020-07-13,SBLD2082,0.0,997.0,997.0,997.0,25.0,24925.0
2020-07-15,SBLD2082,0.0,1016.0,1016.0,1016.0,50.0,50800.0
2020-07-16,SBLD2082,0.0,1016.0,1016.0,1016.0,25.0,25400.0
2020-07-26,SBLD2082,0.0,1036.0,1036.0,1036.0,75.0,77700.0
2020-07-29,SBLD2082,0.0,1035.0,1035.0,1035.0,40.0,41400.0
2020-07-30,SBLD2082,0.0,1035.0,1035.0,1035.0,25.0,25875.0
2020-08-02,SBLD2082,0.0,1035.0,1035.0,1035.0,25.0,25875.0
2020-08-05,SBLD2082,0.0,1020.0,1015.0,1015.0,50.0,50875.0
2020-08-09,SBLD2082,0.0,1010.0,1010.0,1010.0,25.0,25250.0
2020-08-10,SBLD2082,0.0,1010.0,1010.0,1010.0,25.0,25250.0
2020-08-18,SBLD2082,0.0,1015.0,1015.0,1015.0,25.0,25375.0
2020-08-19,SBLD2082,0.0,1025.0,1008.0,1025.0,135.0,136655.0
2020-08-23,SBLD2082,0.0,1014.0,1011.0,1014.0,100.0,101225.0
2020-08-25,SBLD2082,0.0,1010.0,1010.0,1010.0,50.0,50500.0
2020-08-26,SBLD2082,0.0,1016.0,1014.0,1016.0,50.0,50750.0
2020-08-27,SBLD2082,0.0,1017.0,1015.0,1017.0,50.0,50800.0
2020-08-31,SBLD2082,0.0,1037.0,1037.0,1037.0,25.0,25925.0
2020-09-06,SBLD2082,0.0,1021.0,1021.0,1021.0,25.0,25525.0
2020-09-14,SBLD2082,0.0,1023.0,1023.0,1023.0,100.0,102300.0
2020-09-15,SBLD2082,0.0,1023.0,1023.0,1023.0,100.0,102300.0
2020-09-16,SBLD2082,0.0,1027.0,1026.0,1026.0,75.0,77000.0
