BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2013-02-04,SBLPO,0.0,110.0,110.0,110.0,22894.0,2518340.0
2014-04-15,SBLPO,0.0,108.0,108.0,108.0,11076.0,1196208.0
2014-08-18,SBLPO,0.0,106.0,106.0,106.0,31208.0,3308048.0
2015-07-01,SBLPO,0.0,328.0,306.0,306.0,50.0,15820.0
2015-07-02,SBLPO,0.0,300.0,279.0,279.0,60.0,17400.0
2015-07-05,SBLPO,0.0,274.0,254.0,254.0,50.0,13200.0
2015-07-07,SBLPO,0.0,249.0,230.0,230.0,18984.0,4385604.0
2015-07-08,SBLPO,0.0,226.0,210.0,210.0,550.0,121100.0
2015-07-16,SBLPO,0.0,206.0,190.0,190.0,168453.0,32006500.0
2015-08-12,SBLPO,0.0,187.0,187.0,187.0,63142.0,11807554.0
2016-07-28,SBLPO,0.0,706.0,706.0,706.0,36000.0,25416000.0
2017-03-21,SBLPO,0.0,350.0,350.0,350.0,20319.0,7111650.0
2017-05-16,SBLPO,0.0,350.0,350.0,350.0,50000.0,17500000.0
2017-06-15,SBLPO,0.0,350.0,350.0,350.0,40419.0,14146650.0
2017-06-27,SBLPO,0.0,350.0,350.0,350.0,3566.0,1248100.0
2017-07-02,SBLPO,0.0,350.0,350.0,350.0,7924.0,2773400.0
2017-10-09,SBLPO,0.0,215.0,215.0,215.0,6738.0,1448670.0
2017-10-10,SBLPO,0.0,211.0,211.0,211.0,10708.0,2259388.0
2017-10-25,SBLPO,0.0,207.0,203.0,203.0,8000.0,1632000.0
2017-10-29,SBLPO,0.0,200.0,200.0,200.0,10000.0,2000000.0
2017-11-05,SBLPO,0.0,200.0,200.0,200.0,10000.0,2000000.0
2017-11-06,SBLPO,0.0,196.0,196.0,196.0,10071.0,1973916.0
2017-12-13,SBLPO,0.0,196.0,196.0,196.0,70000.0,13720000.0
2017-12-31,SBLPO,0.0,195.0,195.0,195.0,48092.0,9377940.0
