BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-06-11,SICLPO,0.0,442.0,419.0,419.0,81200.0,34023700.0
2014-07-15,SICLPO,0.0,419.0,419.0,419.0,12000.0,5028000.0
2014-09-04,SICLPO,0.0,419.0,419.0,419.0,56966.0,23868754.0
2014-10-21,SICLPO,0.0,411.0,411.0,411.0,29465.0,12110115.0
2014-12-15,SICLPO,0.0,403.0,403.0,403.0,10000.0,4030000.0
2015-02-24,SICLPO,0.0,403.0,403.0,403.0,30822.0,12421266.0
2015-07-09,SICLPO,0.0,367.0,367.0,367.0,6202.0,2276134.0
2015-08-09,SICLPO,0.0,367.0,367.0,367.0,6037.0,2215579.0
2016-06-19,SICLPO,0.0,1775.0,1775.0,1775.0,60899.0,108095725.0
2016-08-10,SICLPO,0.0,1740.0,1740.0,1740.0,20000.0,34800000.0
2016-08-11,SICLPO,0.0,1740.0,1740.0,1740.0,33540.0,58359600.0
2016-08-21,SICLPO,0.0,1706.0,1640.0,1640.0,15000.0,24649000.0
2016-08-22,SICLPO,0.0,1610.0,1610.0,1610.0,15500.0,24955000.0
2016-08-23,SICLPO,0.0,1578.0,1578.0,1578.0,10000.0,15780000.0
2016-08-24,SICLPO,0.0,1578.0,1578.0,1578.0,15000.0,23670000.0
2016-08-28,SICLPO,0.0,1578.0,1578.0,1578.0,20000.0,31560000.0
2016-08-29,SICLPO,0.0,1578.0,1578.0,1578.0,15000.0,23670000.0
2016-08-30,SICLPO,0.0,1578.0,1578.0,1578.0,9000.0,14202000.0
2016-08-31,SICLPO,0.0,1578.0,1578.0,1578.0,11566.0,18251148.0
2016-09-08,SICLPO,0.0,1547.0,1458.0,1458.0,40.0,60090.0
2016-09-11,SICLPO,0.0,1429.0,1320.0,1346.0,17667.0,23323390.0
2016-09-28,SICLPO,0.0,1346.0,1346.0,1346.0,16000.0,21536000.0
2016-09-29,SICLPO,0.0,1346.0,1346.0,1346.0,15985.0,21515810.0
2016-10-26,SICLPO,0.0,1320.0,1320.0,1320.0,17707.0,23373240.0
2017-03-16,SICLPO,0.0,1294.0,1294.0,1294.0,16603.0,21484282.0
2017-08-03,SICLPO,0.0,1220.0,1220.0,1220.0,500.0,610000.0
2017-10-29,SICLPO,0.0,1220.0,1220.0,1220.0,30000.0,36600000.0
2017-11-02,SICLPO,0.0,1220.0,1220.0,1220.0,500.0,610000.0
2017-12-06,SICLPO,0.0,1196.0,1196.0,1196.0,9991.0,11949236.0
2018-07-19,SICLPO,0.0,600.0,600.0,600.0,7235.0,4341000.0
2019-07-29,SICLPO,0.0,440.0,440.0,440.0,200.0,88000.0
2021-01-11,SICLPO,0.0,1009.0,1009.0,1009.0,47471.0,47898239.0
2021-09-30,SICLPO,911.0,911.0,911.0,911.0,100000.0,91100000.0
2021-10-03,SICLPO,911.0,911.0,911.0,911.0,150000.0,136650000.0
2021-10-05,SICLPO,911.0,911.0,911.0,911.0,150000.0,136650000.0
2021-10-11,SICLPO,911.0,911.0,911.0,911.0,100000.0,91100000.0
2022-01-30,SICLPO,1065.0,1065.0,1065.0,1065.0,36890.0,39287850.0
2022-01-31,SICLPO,1050.0,1050.0,1050.0,1050.0,23504.0,24679200.0
