BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-12-29,SILPO,0.0,380.0,380.0,380.0,13200.0,5016000.0
2017-02-09,SILPO,0.0,500.0,500.0,500.0,6500.0,3250000.0
2017-02-12,SILPO,0.0,500.0,500.0,500.0,5850.0,2925000.0
2017-02-22,SILPO,0.0,510.0,510.0,510.0,1300.0,663000.0
2017-02-23,SILPO,0.0,520.0,520.0,520.0,5850.0,3042000.0
2018-01-21,SILPO,0.0,550.0,550.0,550.0,386.0,212300.0
2018-03-07,SILPO,0.0,550.0,550.0,550.0,1000.0,550000.0
2019-05-22,SILPO,0.0,295.0,295.0,295.0,88596.0,26135820.0
2021-02-01,SILPO,0.0,595.0,595.0,595.0,10000.0,5950000.0
2021-11-02,SILPO,532.0,532.0,532.0,532.0,5000.0,2660000.0
