BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2016-10-19,SINDUP,0.0,250.0,250.0,250.0,26271.0,6567750.0
2016-11-24,SINDUP,0.0,250.0,250.0,250.0,1500.0,375000.0
2017-02-22,SINDUP,0.0,250.0,250.0,250.0,10000.0,2500000.0
2017-06-20,SINDUP,0.0,190.0,190.0,190.0,21580.0,4100200.0
2017-06-25,SINDUP,0.0,190.0,190.0,190.0,20974.0,3985060.0
2017-12-19,SINDUP,0.0,107.0,107.0,107.0,11554.0,1236278.0
2018-07-04,SINDUP,0.0,111.0,111.0,111.0,12713.0,1411143.0
2018-12-30,SINDUP,0.0,111.0,111.0,111.0,4979.0,552669.0
2019-07-17,SINDUP,0.0,111.0,111.0,111.0,100.0,11100.0
2019-08-15,SINDUP,0.0,111.0,111.0,111.0,32314.0,3586854.0
2019-08-26,SINDUP,0.0,111.0,111.0,111.0,7693.0,853923.0
2019-09-11,SINDUP,0.0,111.0,111.0,111.0,31328.0,3477408.0
2020-01-01,SINDUP,0.0,111.0,111.0,111.0,9535.0,1058385.0
2020-03-01,SINDUP,0.0,111.0,111.0,111.0,6616.0,588824.0
2020-03-11,SINDUP,0.0,111.0,111.0,111.0,1077.0,95853.0
2021-02-21,SINDUP,0.0,111.0,111.0,111.0,90950.0,10095450.0
2021-04-12,SINDUP,0.0,111.0,111.0,111.0,251479.0,27914169.0
2021-04-20,SINDUP,0.0,111.0,111.0,111.0,26828.0,2977908.0
2021-04-25,SINDUP,0.0,111.0,111.0,111.0,883.0,78587.0
2021-10-10,SINDUP,225.0,225.0,225.0,225.0,34926.0,7858350.0
2022-09-01,SINDUP,161.0,161.0,161.0,161.0,8096.0,1303456.0
2022-09-06,SINDUP,161.0,161.0,161.0,161.0,5000.0,805000.0
2022-09-15,SINDUP,161.0,161.0,161.0,161.0,5000.0,805000.0
2022-09-29,SINDUP,158.0,158.0,158.0,158.0,3097.0,489326.0
2022-10-10,SINDUP,155.0,155.0,155.0,155.0,40000.0,6200000.0
2022-11-01,SINDUP,155.0,155.0,155.0,155.0,9000.0,1395000.0
2022-11-27,SINDUP,152.0,152.0,152.0,152.0,10000.0,1520000.0
2023-01-05,SINDUP,152.0,152.0,152.0,152.0,10695.0,1625640.0
2023-02-01,SINDUP,150.0,150.0,150.0,150.0,10000.0,1500000.0
2023-02-16,SINDUP,150.0,150.0,150.0,150.0,10000.0,1500000.0
2023-10-09,SINDUP,143.0,143.0,143.0,143.0,4000.0,572000.0
2023-11-01,SINDUP,143.0,143.0,143.0,143.0,8000.0,1144000.0
