BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-01-25,SJLIC,387.0,408.7,379.0,408.7,1965,800489.6
2023-01-26,SJLIC,408.7,449.5,408.7,449.5,1160,515974.0
2023-01-29,SJLIC,458.4,494.4,458.4,494.4,1815,894162.1
2023-01-30,SJLIC,504.2,543.8,504.2,519.8,332697,176540086.6
2023-01-31,SJLIC,525.0,525.0,502.0,509.1,132067,67135356.6
2023-02-01,SJLIC,503.5,512.9,500.2,505.0,38506,19455974.1
2023-02-02,SJLIC,512.0,512.0,490.2,495.0,53653,26632738.3
2023-02-05,SJLIC,500.0,503.0,490.0,490.3,45585,22592256.7
2023-02-06,SJLIC,490.0,491.9,481.2,483.0,28038,13609416.7
2023-02-07,SJLIC,480.0,509.4,480.0,507.0,50596,25216231.8
2023-02-08,SJLIC,517.1,519.0,503.8,503.8,51613,26372943.1
2023-02-09,SJLIC,500.0,509.0,500.0,506.0,27221,13696291.4
2023-02-12,SJLIC,495.9,504.0,487.0,491.3,40248,19881638.0
2023-02-14,SJLIC,490.0,495.0,487.0,488.1,36181,17721487.8
2023-02-15,SJLIC,494.9,494.9,486.0,487.0,28795,14081006.6
2023-02-16,SJLIC,485.0,489.8,480.4,481.2,28057,13567725.8
2023-02-20,SJLIC,480.0,487.9,480.0,486.0,23780,11480410.6
2023-02-22,SJLIC,486.0,503.8,485.1,496.2,33192,16416565.3
2023-02-23,SJLIC,491.1,494.9,483.0,485.1,36749,17928977.2
2023-02-26,SJLIC,477.0,490.0,462.0,489.0,49016,23522808.5
2023-02-27,SJLIC,493.0,493.0,477.6,491.0,27603,13371533.9
2023-02-28,SJLIC,491.0,493.0,481.3,485.0,21115,10303848.5
2023-03-01,SJLIC,484.0,487.0,477.2,477.2,23740,11405793.2
2023-03-02,SJLIC,471.0,476.0,467.0,467.0,36071,16927049.2
2023-03-05,SJLIC,467.0,475.7,461.3,462.0,22983,10672185.2
